"","mydata[, 2]"
"2014-12-15",1118.5280592051
"2014-12-16",1111.18537462234
"2014-12-17",1106.71048448034
"2014-12-18",1106.25321665426
"2014-12-19",1121.88462699307
"2014-12-22",1124.69855678974
"2014-12-24",1125.37456132252
"2014-12-29",1128.31246116336
"2014-12-30",1129.67138388212
"2015-01-05",1156.34168863547
"2015-01-06",1164.10492226652
"2015-01-07",1173.51984516643
"2015-01-08",1164.1517612602
"2015-01-09",1162.95044589849
"2015-01-13",1158.59284492336
"2015-01-14",1152.19912421981
"2015-01-15",1151.75809003295
"2015-01-16",1142.76181856147
"2015-01-20",1146.01497004902
"2015-01-21",1146.91380732904
"2015-01-22",1155.93037973681
"2015-01-23",1158.73781613244
"2015-01-26",1151.08426568172
"2015-01-27",1150.34699118825
"2015-01-28",1152.98292062243
"2015-01-29",1141.82100074026
"2015-01-30",1143.04616409011
"2015-02-02",1141.77844476574
"2015-02-03",1137.57822188781
"2015-02-04",1136.87659148569
"2015-02-05",1135.80878166363
"2015-02-06",1134.07607886339
"2015-02-09",1134.81064014483
"2015-02-10",1132.28487257242
"2015-02-12",1131.35189492549
"2015-02-13",1135.90929640969
"2015-02-24",1130.25402909216
"2015-02-25",1138.71171117425
"2015-02-26",1143.26981283554
"2015-03-02",1142.00244773898
"2015-03-03",1139.95959981951
"2015-03-04",1142.2800952966
"2015-03-05",1132.21240251587
"2015-03-06",1148.33191971689
"2015-03-09",1142.34859919195
"2015-03-10",1138.73261783382
"2015-03-11",1133.32820569121
"2015-03-12",1129.19839102165
"2015-03-13",1129.67918935678
"2015-03-16",1127.80885160625
"2015-03-17",1128.57122469414
"2015-03-18",1126.91085545476
"2015-03-19",1131.13314411689
"2015-03-20",1128.56416828764
"2015-03-23",1129.81174541916
"2015-03-24",1130.21851611853
"2015-03-25",1133.78230200828
"2015-03-26",1140.82940464714
"2015-03-27",1143.65294529666
"2015-03-30",1151.8476030538
"2015-03-31",1145.86699979507
"2015-04-01",1151.91417810491
"2015-04-02",1156.05992677904
"2015-04-08",1156.59731730554
"2015-04-09",1169.53566839677
"2015-04-10",1173.63411944889
"2015-04-13",1179.20640034354
"2015-04-14",1177.77704098291
"2015-04-15",1185.42396159117
"2015-04-16",1192.8017829361
"2015-04-17",1207.98050309997
"2015-04-20",1191.08051906701
"2015-04-21",1177.26871075398
"2015-04-22",1178.07447890597
"2015-04-23",1186.70056175322
"2015-04-24",1190.64091233157
"2015-04-27",1198.01284796034
"2015-04-28",1206.57256480975
"2015-04-30",1200.00624389754
"2015-05-07",1183.33378988757
"2015-05-08",1175.62575835964
"2015-05-11",1184.88890375973
"2015-05-12",1183.67367026111
"2015-05-13",1183.25915350847
"2015-05-14",1203.04172553218
"2015-05-15",1201.65448340991
"2015-05-18",1187.74551153353
"2015-05-19",1186.49865384024
"2015-05-20",1183.15281651367
