Date,price1,price2
20110928,64.1617,18.998
20110929,62.6712,18.613
20110930,62.169,18.8918
20111003,60.0038,18.2601
20111004,58.2823,17.323
20111005,61.3073,16.7418
20111006,63.8368,16.8631
20111007,63.3784,17.3566
20111011,67.1788,18.4282
20111012,68.5743,18.7151
20111013,67.783,19.9041
20111014,69.5511,19.5509
20111017,69.2158,20.2036
20111018,70.0762,19.4634
20111019,70.266,20.0617
20111020,70.4975,19.3709
20111021,72.6954,19.4169
20111024,77.147,19.9275
20111025,76.3121,20.928
20111026,76.6585,20.8031
20111027,80.7508,21.5645
20111028,81.4534,23.0199
20111031,79.5824,22.1747
20111101,76.6984,21.4443
20111102,78.3929,20.4186
20111104,79.9353,21.5446
20111107,79.4624,21.8161
20111108,79.945,21.7321
20111109,77.57,22.1364
20111110,77.5327,21.1643
20111111,80.1,21.409
20111114,81.4279,22.1827
20111115,81.3484,22.2268
20111116,81.3287,22.023
20111117,79.1037,21.5407
20111118,78.957,21.3214
20111121,76.2453,21.5392
20111122,75.4894,21.1111
20111125,73.4872,20.1814
20111128,76.4543,20.856
20111129,76.5316,21.3325
20111130,81.1588,21.1676
20111201,81.3099,22.5167
20111202,81.4827,22.6032
20111205,81.8057,22.6224
20111206,80.5517,22.1779
20111207,79.3756,22.3092
20111208,78.7572,22.2719
20111209,79.9216,21.9135
20111212,78.1818,22.3183
20111213,77.4896,21.74
20111214,73.4091,21.3926
20111215,73.9349,20.7794
20111216,73.9677,20.3996
20111219,74.0575,19.9129
20111220,76.3251,20.1716
20111221,76.2975,20.6424
20111222,77.0624,20.1184
20111227,77.199,20.1913
20111228,75.4573,19.9762
20111229,75.9313,19.7035
20111230,76.3854,20.153
20120104,79.7709,20.8578
20120105,79.9681,20.9249
20120106,80.4341,20.5044
20120110,83.6819,20.777
20120111,83.9092,20.8297
20120112,84.85,21.2566
20120113,85.7477,22.139
20120117,87.236,22.4638
20120118,87.7425,22.8329
20120119,88.3721,23.2487
20120120,88.933,23.3648
20120123,89.784,23.4241
20120124,89.5597,23.5191
20120125,90.9286,23.6121
20120126,94.6992,23.3322
20120127,93.5549,23.7096
20120130,92.7482,24.0808
20120131,92.609,24.3576
20120201,93.4914,24.2
20120202,93.1548,24.3267
20120203,95.6406,24.1139
20120206,95.868,24.7916
20120207,95.7487,24.8237
20120208,96.0687,24.5391
20120209,95.8442,24.0727
20120210,93.8722,23.8274
20120213,95.2854,23.7328
20120214,96.1452,23.4369
20120215,95.4803,24.4289
20120216,95.7411,24.9005
20120217,96.109,25.6733
20120221,97.2863,26.1633
20120222,97.7976,25.7204
20120223,97.867,26.0733
20120224,98.0311,25.9434
20120227,97.6627,26.3564
20120228,97.6748,25.8177
20120229,96.75,26.0086
20120301,96.0661,25.3076
20120302,95.0379,25.063
20120305,93.1597,25.0465
20120306,89.5278,24.6688
20120307,91.0298,23.9167
20120308,92.6748,24.7088
20120309,93.2415,24.8966
20120312,92.1799,24.671
20120313,94.1757,24.3175
20120314,94.6949,24.6807
20120315,95.0934,24.7318
20120316,95.9632,25.2301
20120319,95.7901,25.8609
20120321,92.656,25.2862
20120322,89.8249,25.0729
20120323,90.752,24.6129
20120326,91.7717,24.879
20120327,91.6017,25.0442
20120328,88.3985,25.2907
20120329,88.3719,24.8262
20120330,89.7844,24.9438
20120402,90.1736,25.5721
20120403,90.1892,25.3476
20120404,88.951,25.1955
20120405,89.6045,24.9443
20120409,87.3465,24.7296
20120410,85.3758,25.0671
20120411,85.8022,24.6789
20120412,89.0689,25.0918
20120413,89.4789,25.5995
20120416,90.477,25.105
20120417,91.4472,24.6789
20120418,92.0278,25.0697
20120419,91.489,25.253
20120420,91.4717,25.5024
20120423,90.0518,25.8835
20120424,91.6948,25.7298
20120425,88.3236,25.4339
20120426,88.0282,25.293
20120427,88.6703,25.2934
20120501,86.8422,24.4774
20120502,86.1098,24.5181
20120507,82.5823,23.4761
20120508,80.7421,23.5194
20120509,81.1128,22.5763
20120510,81.363,22.286
20120511,81.0782,22.2696
20120514,79.6352,22.6468
20120515,79.1961,21.8399
20120516,78.4998,21.3957
20120517,75.2482,21.4858
20120518,75.1685,20.7987
20120521,77.4046,20.497
20120522,77.9621,21.2625
20120523,77.042,21.1072
20120524,77.3019,20.7762
20120525,76.5097,20.5218
20120529,78.4803,21.1303
20120530,76.3647,21.2492
20120531,73.8593,20.8219
20120601,72.6259,20.1708
20120604,70.8408,19.3839
20120605,71.0984,19.685
20120606,72.7025,20.2176
20120607,74.9089,20.644
20120608,73.4429,20.5938
20120611,73.4268,20.8942
20120612,72.9016,20.7233
20120613,72.5586,20.7339
20120614,72.5207,20.6332
20120615,73.2754,20.8067
20120618,73.1816,21.379
20120619,75.257,21.1955
20120620,74.0405,21.1551
20120621,72.6722,21.0016
20120622,72.1793,20.3779
20120625,70.1521,20.5451
20120626,69.9548,20.3385
20120627,69.7146,20.1485
20120628,69.3546,20.5334
20120629,71.5758,20.4722
20120702,70.8319,20.6845
20120703,72.7002,20.3965
20120705,73.5751,21.2942
20120706,71.4497,21.3994
20120709,70.5952,20.7182
20120710,68.6283,20.1023
20120711,67.6622,19.5487
20120712,67.0833,19.2471
20120713,68.8125,19.2134
20120717,68.8478,19.133
20120718,70.0675,18.7564
20120719,70.5307,19.3254
20120720,69.3484,19.1208
20120723,69.1768,18.5621
20120724,69.6414,18.4373
20120725,70.5493,18.0337
20120726,70.9467,18.684
20120727,72.7435,19.471
20120730,73.1156,19.1434
20120731,72.4326,19.5829
20120801,71.159,17.9152
20120802,70.8687,18.1411
20120803,72.5926,17.8761
20120806,73.804,18.3877
20120807,74.6999,18.4994
20120808,74.242,18.8933
20120809,75.299,18.7261
20120810,75.353,18.8763
20120813,75.3142,18.5083
20120814,75.4118,18.4165
20120815,74.2014,18.6025
20120816,75.2721,19.0594
20120817,76.6044,19.4639
20120820,76.7417,19.492
20120821,77.684,18.911
20120822,75.4929,18.9195
20120823,74.7805,18.8925
20120824,74.3294,18.6538
20120827,74.1543,18.5508
20120828,73.5583,18.1859
20120829,72.8077,18.0604
20120830,72.3641,17.6134
20120831,72.7412,17.2484
20120904,70.7534,16.9636
20120905,70.4196,16.5625
20120906,72.0249,16.3771
20120907,74.8884,17.4863
20120910,74.9194,18.1794
20120911,75.5371,17.8954
20120912,76.0946,17.7848
20120913,76.6698,17.9815
20120914,79.4482,18.5952
20120918,79.0131,18.3031
20120919,79.9761,18.5812
20120920,78.6178,18.1883
20120921,78.5441,17.7011
20120924,77.5948,17.5058
20120925,75.2373,17.2047
20120926,74.0115,17.1891
20120927,74.2723,17.3493
20120928,73.2782,17.5037
20121001,73.4547,17.0697
20121002,72.463,17.0736
20121003,72.5154,16.964
20121004,73.3397,17.0995
20121005,73.3235,17.3034
20121009,72.5325,17.0003
20121010,70.9455,16.7653
20121011,70.7293,16.9222
20121012,70.8457,17.278
20121015,70.4409,18.0086
20121016,71.9667,18.1327
20121017,73.5185,18.3705
20121018,74.446,18.8638
20121019,72.2998,19.3799
20121022,72.3595,18.8967
20121023,71.6778,19.0709
20121024,71.269,18.5264
20121025,71.2113,18.5307
20121026,72.0478,18.4502
20121031,72.9722,18.693
20121101,74.6951,18.8072
20121102,74.2038,19.588
20121105,74.0904,19.5741
20121106,75.5499,19.4028
20121107,73.4871,19.5746
20121108,72.1245,19.1753
20121109,72.5959,18.8629
20121112,72.965,18.9697
20121113,72.2684,18.7306
20121114,70.3778,18.3695
20121115,69.7883,18.7906
20121116,69.7964,19.1459
20121119,71.6352,19.7824
20121120,71.3837,19.5021
20121121,71.3654,19.5452
20121126,72.4332,20.2721
20121127,72.4713,19.8922
20121128,72.3598,19.5858
20121129,73.8454,19.6579
20121130,73.3361,19.8093
20121203,72.8608,20.0699
20121204,72.2736,19.9245
20121205,73.7912,19.9555
20121206,73.4669,20.3465
20121207,74.7381,20.3309
20121210,74.768,20.4321
20121211,75.1175,20.183
20121212,75.6545,20.1582
20121213,75.8822,20.3974
20121214,76.4218,20.3521
20121217,76.6406,21.0442
20121218,77.7993,21.3362
20121219,78.2769,21.9916
20121220,77.1075,22.0125
20121221,75.5783,22.1112
20121226,75.8615,21.9745
20121227,75.3462,22.1036
20121228,75.226,22.3692
20130104,81.6229,22.9887
20130107,82.1136,23.61
20130108,81.1844,22.93
20130109,81.4985,22.7637
20130110,81.7963,23.0173
20130111,81.9051,23.1328
20130115,82.2965,23.7608
20130116,82.164,22.9889
20130117,82.613,22.6364
20130118,83.6908,23.3324
20130122,83.6901,23.2711
20130123,83.7062,22.987
20130124,83.5468,22.7403
20130125,82.2448,23.0761
20130128,84.08,23.1173
20130129,84.9011,23.2104
20130130,85.0806,23.2687
20130131,84.9037,23.5219
20130201,85.7436,23.5806
20130204,84.8223,23.5501
20130205,85.1975,23.0841
20130206,84.5073,23.6285
20130207,82.9465,23.286
20130208,83.5864,22.9955
20130212,83.8509,23.0745
20130213,83.3408,22.87
20130214,83.0215,22.9249
20130215,82.7129,22.5522
20130219,82.4651,22.7421
20130220,80.989,22.8462
20130221,78.8674,22.1505
20130222,79.0281,21.9395
20130225,78.0531,22.2903
20130226,77.1857,22.1431
20130227,79.067,21.8481
20130228,79.8629,22.5576
20130301,78.7458,21.9567
20130304,77.4331,21.6982
20130305,78.1619,21.5214
20130306,77.5687,21.3386
20130307,77.3502,20.7503
20130308,77.9883,20.6605
20130311,78.4878,20.9469
20130312,77.6229,21.3689
20130313,77.1662,20.8386
20130314,76.4933,20.5222
20130315,76.4653,20.5517
20130318,76.9675,20.5213
20130319,76.039,20.9627
20130321,74.9852,21.0667
20130322,75.3136,21.6281
20130325,74.7278,22.0682
20130326,75.0501,21.6944
20130327,74.6591,21.6942
20130328,75.115,21.3196
20130401,74.0455,21.2824
20130402,73.358,20.4229
20130403,72.5374,20.1757
20130404,72.7409,18.9356
20130405,72.8737,20.5004
20130408,72.631,20.5673
20130409,73.8343,21.2193
20130410,74.657,21.417
20130411,74.1559,22.3039
20130412,73.1493,22.7084
