OEX Index,NKY Index,HSI Index,HSCEI Index,SHCSI100 Index,KOSPI2 Index,TAMSCI Index,E100 Index
,6762 JT Equity,,,,,,
,3401 JT Equity,,,,,,
,4543 JT Equity,,,,,,
,9001 JT Equity,,,,,,
,9602 JT Equity,,,,,,
,5707 JT Equity,,,,,,
,5301 JT Equity,,,,,,
,8766 JT Equity,,,,,,
,4043 JT Equity,,,,,,
,9681 JT Equity,,,,,,
,9501 JT Equity,,,,,,
,8035 JT Equity,,,,,,
,9531 JT Equity,,,,,,
,8804 JT Equity,,,,,,
,9005 JT Equity,,,,,,
,3289 JT Equity,,,,,,
,7911 JT Equity,,,,,,
,3402 JT Equity,,,,,,
,6502 JT Equity,,,,,,
,4042 JT Equity,,,,,,
,5332 JT Equity,,,,,,
,5901 JT Equity,,,,,,
,3101 JT Equity,,,,,,
,7203 JT Equity,,,,,,
,8015 JT Equity,,,,,,
,4704 JT Equity,,,,,,
,4208 JT Equity,,,,,,
,3103 JT Equity,,,,,,
,8270 JT Equity,,,,,,
,9021 JT Equity,,,,,,
,4689 JT Equity,,,,,,
,7951 JT Equity,,,,,,
,9064 JT Equity,,,,,,
,6506 JT Equity,,,,,,
,6841 JT Equity,,,,,,
,5101 JT Equity,,,,,,
