Date,OEX,v_rtn,v_disp,zscore_S,corr,enter_disp,exit_disp
6/19/2017,1081.23999,0.008760567,0.003180897,1.593847166,0.616840656,0,1
6/20/2017,1074.689941,-0.006057905,0.003697233,2.014626599,0.559855763,0,1
6/21/2017,1074.439941,-0.000232625,0.003667876,1.515827729,0.51894717,0,1
6/22/2017,1073.880005,-0.000521142,0.003669691,1.234473304,0.470530475,0,1
6/23/2017,1075.430054,0.00144341,0.003668341,1.013635013,0.470752557,0,1
6/26/2017,1075.26001,-0.000158117,0.00364184,0.807861739,0.451241718,0,1
6/27/2017,1066.359985,-0.008277091,0.004285863,1.371219015,-0.038221407,0,1
6/28/2017,1075.73999,0.008796284,0.005159808,1.803111671,0.065376289,0,1
6/29/2017,1066.680054,-0.00842205,0.005750737,1.837978872,-0.366306076,0,1
6/30/2017,1067.709961,0.000965526,0.00576417,1.672975735,-0.711784495,0,1
7/3/2017,1070.5,0.002613106,0.005039893,0.706251517,-0.65594857,0,1
7/5/2017,1072.77002,0.002120523,0.004808612,0.318392474,-0.616870344,0,0
7/6/2017,1062.75,-0.009340324,0.005541426,0.988385096,-0.639505364,0,1
7/7/2017,1068.650024,0.005551657,0.005890911,1.169141606,-0.605637699,0,1
7/10/2017,1069.619995,0.00090766,0.005875676,0.97891257,-0.473150518,0,1
7/11/2017,1068.810059,-0.000757218,0.005874691,0.907321754,-0.201117392,0,1
7/12/2017,1075.969971,0.006698956,0.005626325,0.250700847,-0.431007271,0,0
7/13/2017,1078.410034,0.00226778,0.005019839,-1.288884944,-0.497649412,1,0
7/14/2017,1083.130005,0.004376787,0.004209066,-2.136890305,-0.723030469,1,0
7/17/2017,1082.449951,-0.00062786,0.004257693,-1.558887553,-0.77973462,1,0
7/18/2017,1083.949951,0.001385745,0.004238054,-1.317755319,-0.844800513,1,0
7/19/2017,1089.209961,0.004852632,0.004370812,-1.009410962,-0.876140384,1,0
7/20/2017,1089.26001,4.59E-05,0.002573685,-2.18396456,-0.901702757,1,0
7/21/2017,1087.73999,-0.001395461,0.002585738,-1.652254476,-0.879337444,1,0
7/24/2017,1086.819946,-0.000845831,0.002695758,-1.269819509,-0.850215739,1,0
7/25/2017,1090.069946,0.002990376,0.002600812,-1.142274385,-0.846880051,1,0
7/26/2017,1091.469971,0.001284344,0.002070524,-1.400936448,-0.813711115,1,0
7/27/2017,1092.25,0.000714659,0.00206034,-1.197322808,-0.780087475,1,0
7/28/2017,1089.530029,-0.002490246,0.002057509,-0.986183371,-0.73639197,1,0
7/31/2017,1088.939941,-0.000541599,0.002052554,-0.820770997,-0.612580403,1,0
8/1/2017,1092.410034,0.003186671,0.00218812,-0.507269236,-0.343392646,1,0
8/2/2017,1094.920044,0.002297681,0.00181504,-1.540275203,-0.75441028,1,0
8/3/2017,1092.900024,-0.001844902,0.001948636,-0.890799127,-0.777505839,1,0
8/4/2017,1095.420044,0.00230581,0.001936163,-0.762365707,-0.735061454,1,0
8/7/2017,1097.209961,0.001634001,0.001879543,-0.875344561,-0.595426951,1,0
8/8/2017,1095.219971,-0.001813682,0.001911258,-0.760147151,-0.701346602,1,0
8/9/2017,1095.140015,-7.30E-05,0.001896983,-0.731674382,-0.703521271,1,0
8/10/2017,1079.890015,-0.01392516,0.004667284,2.976448231,-0.890799827,0,1
8/11/2017,1081.800049,0.00176873,0.004717452,2.014849758,-0.942116316,0,1
8/14/2017,1092.050049,0.009474949,0.005621618,1.936713366,-0.735263239,0,1
