X,data1,data2,rt_J,rt_N,correlation,zscoreJ,zscoreN,gc1,gc2
9/21/2012,78.17,9110,-0.004221568,-0.004468716,0.196932929,0.404932775,-0.408509504,0.184906046,0.241584084
9/24/2012,77.84,9069.29,-0.000513875,0.002453334,0.215846311,-0.07921061,-0.098377557,0.199160735,0.234679068
9/25/2012,77.8,9091.54,-0.000771208,-0.020330989,0.224530417,0.041817764,0.074234174,0.2037149,0.224336081
9/26/2012,77.74,8906.7,-0.001800875,0.004846913,0.220535986,-0.805746258,1.294126136,0.206764999,0.19244925
9/27/2012,77.6,8949.87,0.004381443,-0.008906275,0.220605414,-0.763658754,-0.971304703,0.238105792,0.182279004
9/28/2012,77.94,8870.16,0.000641519,-0.00830312,0.213885572,0.627643391,-0.932287104,0.226046184,0.217025592
10/1/2012,77.99,8796.51,0.002179767,-0.001189108,0.21490556,-0.363482474,0.352864467,0.238426777,0.183599934
10/2/2012,78.16,8786.05,0.004094166,-0.004459342,0.211709988,-1.442501516,-0.550127437,0.253634653,0.171785457
10/3/2012,78.48,8746.87,0,0.008885464,0.212092496,0.842672988,-1.473348187,0.191598324,0.168409275
10/4/2012,78.48,8824.59,0.002420999,0.004386606,0.21535521,0.716234052,1.82982365,0.185051521,0.167092425
10/5/2012,78.67,8863.3,-0.005338757,-0.010572811,0.211351196,-1.762875788,-0.946165394,0.197268567,0.171181006
10/9/2012,78.25,8769.59,-0.000894569,-0.019768313,0.210304448,1.157728535,-0.224602409,0.178946422,0.147580632
10/10/2012,78.18,8596.23,0.002174469,-0.005752522,0.207209294,-0.628605592,-1.057864332,0.133614353,0.191806662
10/11/2012,78.35,8546.78,0.001021059,-0.00148126,0.211806139,0.993508866,0.510811814,0.116353298,0.199036236
10/12/2012,78.43,8534.12,0.002167538,0.005133511,0.205867964,-2.773753306,-2.668608648,0.121937587,0.181153443
10/15/2012,78.6,8577.93,0.003689567,0.014383424,0.206413704,-1.2421859,0.66010069,0.123910623,0.172274546
10/16/2012,78.89,8701.31,0.00101407,0.012094731,0.208830388,1.042706425,-1.196725052,0.122150785,0.144623256
10/17/2012,78.97,8806.55,0.003925541,0.020020326,0.209007441,2.584549628,2.041954427,0.097132797,0.160712336
10/18/2012,79.28,8982.86,0.000504541,0.002206424,0.20287725,-2.386128083,0.780093147,0.098594298,0.149516715
10/19/2012,79.32,9002.68,0.007942511,0.000891957,0.205055733,0.811519533,0.116656877,0.095034386,0.159674229
10/22/2012,79.95,9010.71,-0.001250782,0.000392866,0.205283674,0.592592202,-0.479861927,0.093552708,0.15246676
10/23/2012,79.85,9014.25,-0.000626174,-0.006650581,0.211557961,-0.660135773,-0.507382025,0.086401055,0.135517554
10/24/2012,79.8,8954.3,0.006390977,0.011268329,0.218381463,-2.286989008,-0.677392379,0.145216571,0.143340106
10/25/2012,80.31,9055.2,-0.008342672,-0.013488382,0.221958493,2.530231371,-2.234600283,0.173186187,0.18947626
10/26/2012,79.64,8933.06,0.002009041,-0.000416431,0.22686277,-0.462074464,0.528761465,0.191711332,0.196049644
10/29/2012,79.8,8929.34,-0.002130326,-0.009783478,0.231988112,-0.451879132,-1.019834139,0.198399446,0.207028914
10/30/2012,79.63,8841.98,0.001758131,0.009761388,0.235462496,0.00759236,-1.056355508,0.203572527,0.231488513
10/31/2012,79.77,8928.29,0.004512975,0.002081026,0.245095089,-4.461786625,-2.318607012,0.194791844,0.228786192
11/1/2012,80.13,8946.87,0.003743916,0.011663297,0.246286101,-0.413989919,-1.657781247,0.192112375,0.2074761
11/2/2012,80.43,9051.22,-0.001740644,-0.004836917,0.246154232,-3.135259119,-5.140581107,0.223544746,0.216902335
11/5/2012,80.29,9007.44,0.000747291,-0.003584814,0.246064719,0.953527142,-0.284094653,0.223990371,0.163423051
11/6/2012,80.35,8975.15,-0.004480398,-0.000251806,0.252587958,1.224290533,-5.34701897,0.204251791,0.188283875
11/7/2012,79.99,8972.89,-0.006500813,-0.01512779,0.25770216,1.925621035,7.955427934,0.209162915,0.169384788
11/8/2012,79.47,8837.15,0.000251667,-0.009001771,0.257699937,-2.828139841,0.611402561,0.217998898,0.158401603
11/9/2012,79.49,8757.6,0,-0.009267379,0.257958504,2.295779352,-6.639346405,0.19621129,0.128077157
11/12/2012,79.49,8676.44,-0.001383822,-0.001773769,0.262611005,0.15160715,1.646071332,0.50522909,0.145536348
11/13/2012,79.38,8661.05,0.01095994,0.000424891,0.277242372,0.272159725,2.126257509,0.442329725,0.013206053
11/14/2012,80.25,8664.73,0.011588785,0.019041563,0.318608978,-2.319978957,1.982482692,0.549229484,0.000539244
11/15/2012,81.18,8829.72,0.001724563,0.022021083,0.323799601,-3.393609732,-4.061102897,0.525842008,0.000176296
11/16/2012,81.32,9024.16,0.00122971,0.014299392,0.31855949,-0.492476787,-1.495352171,0.460777941,0.000163421
11/19/2012,81.42,9153.2,0.003193319,-0.001153695,0.320520646,-4.24537702,-5.798936899,0.485702274,0.00017722
11/20/2012,81.68,9142.64,0.010284035,0.008737083,0.317425106,-2.264109477,-3.917164811,0.545272445,0.000128227
11/21/2012,82.52,9222.52,-0.000727096,0.015644314,0.312885418,7.968020993,3.934321914,0.516851586,7.14E-05
11/22/2012,82.46,9366.8,-0.004487024,0.002363667,0.312949121,-0.928019827,4.798360073,0.709570777,7.09E-05
11/26/2012,82.09,9388.94,0.000852723,0.003659625,0.312719677,1.800727353,6.2561078,0.692582253,4.88E-05
11/27/2012,82.16,9423.3,-0.00097371,-0.012198487,0.314274763,-0.139552608,-3.231250476,0.688391756,5.34E-05
11/28/2012,82.08,9308.35,0.000487329,0.009940537,0.317062968,1.858720036,4.033280012,0.690454601,5.32E-05
11/29/2012,82.12,9400.88,0.004262056,0.004800614,0.316474118,-2.568265679,2.894292412,0.655306146,5.76E-05
11/30/2012,82.47,9446.01,-0.002546381,0.001288375,0.317612478,-0.261394381,-4.278505254,0.646688544,5.73E-05
12/3/2012,82.26,9458.18,-0.004862631,-0.002719339,0.31819373,0.755488596,-2.35561092,0.654971091,5.48E-05
12/4/2012,81.86,9432.46,0.007451747,0.003856894,0.317213754,-0.320620497,3.827114209,0.656442321,6.59E-05
12/5/2012,82.47,9468.84,-0.000727537,0.008060121,0.316848523,-0.501265446,-2.007766619,0.652462939,4.17E-05
