,1099 HK Equity,,1066 HK Equity,,874 HK Equity,,460 HK Equity,,867 HK Equity,,1666 HK Equity,,2877 HK Equity,,853 HK Equity,,325 HK Equity,,8058 HK Equity,,8231 HK Equity,,963 HK Equity
6/29/2012,2.7457,2/8/2011,1.2,2/8/2011,1.48266,,,,,2/8/2011,0.9422,2/8/2011,2.58245,7/8/2013,0.7852,4/8/2013,0.96081,2/8/2011,1.1820,2/8/2011,0.22356,7/11/2011,0.26962
7/3/2012,2.6951,2/9/2011,1.17,2/9/2011,1.42841,,,,,2/9/2011,0.9270,2/9/2011,2.50999,7/9/2013,0.7864,4/9/2013,0.96082,2/9/2011,1.1522,2/9/2011,0.22094,7/12/2011,0.26941
7/4/2012,2.6948,2/10/2011,1.17,2/10/2011,1.48142,,,,,2/10/2011,0.8901,2/10/2011,2.33125,,,4/10/2013,0.96097,2/10/2011,1.1323,2/10/2011,0.21823,7/13/2011,0.26962
7/5/2012,2.6434,2/11/2011,1.17,2/11/2011,1.49049,,,,,2/11/2011,0.8936,2/11/2011,2.42942,,,4/11/2013,0.96117,2/11/2011,1.1275,2/11/2011,0.21934,7/14/2011,0.26966
7/6/2012,2.6506,2/14/2011,1.21,2/14/2011,1.50079,,,,,2/14/2011,0.9172,2/14/2011,2.57186,,,4/12/2013,0.96114,2/14/2011,1.1801,2/14/2011,0.2155,7/15/2011,0.26943
7/9/2012,2.624,2/15/2011,1.2,2/15/2011,1.47295,,,,,2/15/2011,0.9131,2/15/2011,2.55841,,,4/15/2013,0.96102,2/15/2011,1.1676,2/15/2011,0.21555,7/18/2011,0.26934
7/10/2012,2.6049,2/16/2011,1.19,2/16/2011,1.49673,,,,,2/16/2011,0.9028,2/16/2011,2.52879,,,4/16/2013,0.96102,2/16/2011,1.1476,2/16/2011,0.21565,7/19/2011,0.26939
7/11/2012,2.766,2/17/2011,1.22,2/17/2011,1.53066,,,,,2/17/2011,0.8967,2/17/2011,2.63884,,,4/17/2013,0.96096,2/17/2011,1.1493,2/17/2011,0.20803,7/20/2011,0.27591
7/12/2012,2.7264,2/18/2011,1.2,2/18/2011,1.5569,,,,,2/18/2011,0.9549,2/18/2011,2.72971,,,4/18/2013,0.96084,2/18/2011,1.1561,2/18/2011,0.20682,7/21/2011,0.27595
7/13/2012,2.7071,2/21/2011,1.21,2/21/2011,1.59046,,,,,2/21/2011,0.9550,2/21/2011,2.72999,,,4/19/2013,0.96087,2/21/2011,1.1575,2/21/2011,0.20555,7/22/2011,0.30165
7/16/2012,2.7199,2/22/2011,1.18,2/22/2011,1.50914,,,,,2/22/2011,0.9667,2/22/2011,2.6179,,,4/22/2013,0.96086,2/22/2011,1.1550,2/22/2011,0.20533,7/25/2011,0.30158
7/17/2012,2.7137,2/23/2011,1.21,2/23/2011,1.5163,,,,,2/23/2011,1.0263,2/23/2011,2.62338,,,4/23/2013,0.9608,2/23/2011,1.1430,2/23/2011,0.2091,7/26/2011,0.30166
7/18/2012,2.6818,2/24/2011,1.2,2/24/2011,1.43909,,,,,2/24/2011,1.0004,2/24/2011,2.64859,,,4/24/2013,0.9608,2/24/2011,1.1159,2/24/2011,0.20778,7/27/2011,0.30163
7/19/2012,2.7077,2/25/2011,1.2,2/25/2011,1.40355,,,,,2/25/2011,0.9793,2/25/2011,2.69421,,,4/25/2013,0.96076,2/25/2011,1.1033,2/25/2011,0.20912,7/28/2011,0.30158
7/20/2012,2.7459,2/28/2011,1.23,2/28/2011,1.42518,,,,,2/28/2011,0.9608,2/28/2011,2.86962,,,4/26/2013,0.96087,2/28/2011,1.2133,2/28/2011,0.2157,7/29/2011,0.3015
7/23/2012,2.6944,3/1/2011,1.25,3/1/2011,1.46347,,,,,3/1/2011,0.9243,3/1/2011,2.77289,,,4/29/2013,0.96119,3/1/2011,1.1733,3/1/2011,0.20797,8/1/2011,0.27598
7/24/2012,2.7133,3/2/2011,1.21,3/2/2011,1.50434,,,,,3/2/2011,0.9178,3/2/2011,2.79817,,,4/30/2013,0.96128,3/2/2011,1.1488,3/2/2011,0.21564,8/2/2011,0.27584
7/25/2012,2.6423,3/3/2011,1.18,3/3/2011,1.48664,,,,,3/3/2011,0.8944,3/3/2011,2.85003,,,5/2/2013,0.9615,3/3/2011,1.1516,3/3/2011,0.20669,8/3/2011,0.27565
7/26/2012,2.6358,3/4/2011,1.19,3/4/2011,1.50235,,,,,3/4/2011,0.8924,3/4/2011,2.9405,,,5/3/2013,0.96141,3/4/2011,1.1865,3/4/2011,0.20545,8/4/2011,0.27559
