,1099 HK Equity,,1066 HK Equity,,874 HK Equity,,460 HK Equity,,867 HK Equity,,1666 HK Equity,,2877 HK Equity,,853 HK Equity,,325 HK Equity,,8058 HK Equity,,8231 HK Equity,,963 HK Equity
12/9/2011,2.3232,7/27/2010,1.17,7/27/2010,0.90242,1/17/2013,0.4566,12/14/2012,0.73418,7/27/2010,0.6600,7/27/2010,2.60041,12/12/2012,0.5806,9/13/2012,0.42816,7/27/2010,1.3594,7/27/2010,0.20211,12/20/2010,0.28678
12/12/2011,2.3179,7/28/2010,1.16,7/28/2010,0.8884,1/18/2013,0.4605,12/17/2012,0.73417,7/28/2010,0.6601,7/28/2010,2.83901,12/13/2012,0.5664,9/14/2012,0.42956,7/28/2010,1.3596,7/28/2010,0.20214,12/21/2010,0.33445
12/13/2011,2.3398,7/29/2010,1.14,7/29/2010,0.87051,1/21/2013,0.4631,12/18/2012,0.73418,7/29/2010,0.6696,7/29/2010,2.70423,12/14/2012,0.5703,9/17/2012,0.41795,7/29/2010,1.3856,7/29/2010,0.2099,12/22/2010,0.33422
12/14/2011,2.3302,7/30/2010,1.13,7/30/2010,0.86903,1/22/2013,0.4488,12/19/2012,0.68515,7/30/2010,0.6600,7/30/2010,2.66502,12/17/2012,0.5522,9/18/2012,0.43857,7/30/2010,1.4188,7/30/2010,0.20084,12/23/2010,0.33306
12/15/2011,2.2644,8/2/2010,1.19,8/2/2010,0.90671,1/23/2013,0.4502,12/20/2012,0.70838,8/2/2010,0.6646,8/2/2010,2.80128,12/18/2012,0.5523,9/19/2012,0.4321,8/2/2010,1.4580,8/2/2010,0.20865,12/24/2010,0.33287
12/16/2011,2.2945,8/3/2010,1.22,8/3/2010,0.89555,1/24/2013,0.4463,12/21/2012,0.7174,8/3/2010,0.6486,8/3/2010,2.89282,12/19/2012,0.551,9/20/2012,0.42948,8/3/2010,1.4844,8/3/2010,0.20875,12/28/2010,0.33288
12/19/2011,2.253,8/4/2010,1.19,8/4/2010,0.90292,1/25/2013,0.4372,12/24/2012,0.72383,8/4/2010,0.6518,8/4/2010,2.93674,12/20/2012,0.5471,9/21/2012,0.43207,8/4/2010,1.5379,8/4/2010,0.20866,12/29/2010,0.32764
12/20/2011,2.3334,8/5/2010,1.18,8/5/2010,0.89515,1/28/2013,0.4357,12/27/2012,0.74561,8/5/2010,0.6457,8/5/2010,2.83355,12/21/2012,0.5484,9/24/2012,0.43338,8/5/2010,1.5121,8/5/2010,0.20865,12/30/2010,0.3277
12/21/2011,2.3517,8/6/2010,1.13,8/6/2010,0.87986,1/29/2013,0.4331,12/28/2012,0.77788,8/6/2010,0.6390,8/6/2010,2.82122,12/24/2012,0.5458,9/25/2012,0.44624,8/6/2010,1.4995,8/6/2010,0.20869,12/31/2010,0.32807
12/22/2011,2.313,8/9/2010,1.15,8/9/2010,0.88768,1/30/2013,0.4434,12/31/2012,0.7741,8/9/2010,0.6442,8/9/2010,2.9117,12/27/2012,0.5612,9/26/2012,0.44493,8/9/2010,1.5151,8/9/2010,0.20614,1/3/2011,0.32824
12/23/2011,2.4201,8/10/2010,1.14,8/10/2010,0.90681,1/31/2013,0.4435,1/2/2013,0.76377,8/10/2010,0.6355,8/10/2010,2.84021,12/28/2012,0.5483,9/27/2012,0.44622,8/10/2010,1.5277,8/10/2010,0.20609,1/4/2011,0.3282
12/28/2011,2.41,8/11/2010,1.1,8/11/2010,0.91287,2/1/2013,0.4435,1/3/2013,0.76764,8/11/2010,0.6309,8/11/2010,2.76823,12/31/2012,0.5251,9/28/2012,0.48102,8/11/2010,1.3648,8/11/2010,0.20858,1/5/2011,0.30885
12/29/2011,2.3699,8/12/2010,1.12,8/12/2010,0.87541,2/4/2013,0.445,1/4/2013,0.76637,8/12/2010,0.6222,8/12/2010,2.6391,1/2/2013,0.5445,10/3/2012,0.49646,8/12/2010,1.3208,8/12/2010,0.21113,1/6/2011,0.30747
12/30/2011,2.4026,8/13/2010,1.14,8/13/2010,0.8826,2/5/2013,0.4372,1/7/2013,0.79734,8/13/2010,0.6330,8/13/2010,2.63107,1/3/2013,0.5496,10/4/2012,0.48616,8/13/2010,1.3149,8/13/2010,0.19685,1/7/2011,0.29466
1/3/2012,2.4511,8/16/2010,1.18,8/16/2010,0.89424,2/6/2013,0.441,1/8/2013,0.82055,8/16/2010,0.6365,8/16/2010,2.75347,1/4/2013,0.5574,10/5/2012,0.4876,8/16/2010,1.3227,8/16/2010,0.20587,1/10/2011,0.29444
1/4/2012,2.3327,8/17/2010,1.23,8/17/2010,0.88547,2/7/2013,0.4449,1/9/2013,0.81529,8/17/2010,0.6530,8/17/2010,2.72204,1/7/2013,0.5677,10/8/2012,0.4876,8/17/2010,1.4157,8/17/2010,0.20592,1/11/2011,0.29455
1/5/2012,2.3026,8/18/2010,1.2,8/18/2010,0.89843,2/8/2013,0.4449,1/10/2013,0.81276,8/18/2010,0.6556,8/18/2010,2.71589,1/8/2013,0.5599,10/9/2012,0.48116,8/18/2010,1.4416,8/18/2010,0.20594,1/12/2011,0.29456
1/6/2012,2.2793,8/19/2010,1.2,8/19/2010,0.88674,2/14/2013,0.4514,1/11/2013,0.79463,8/19/2010,0.6495,8/19/2010,2.75418,1/9/2013,0.5908,10/10/2012,0.47338,8/19/2010,1.3977,8/19/2010,0.20592,1/13/2011,0.28943
1/9/2012,2.2868,8/20/2010,1.22,8/20/2010,0.86421,2/15/2013,0.4668,1/14/2013,0.78945,8/20/2010,0.6576,8/20/2010,2.64278,1/10/2013,0.5883,10/11/2012,0.47598,8/20/2010,1.3555,8/20/2010,0.20576,1/14/2011,0.28942
1/10/2012,2.3282,8/23/2010,1.22,8/23/2010,0.86303,2/18/2013,0.4669,1/15/2013,0.83719,8/23/2010,0.6568,8/23/2010,2.62383,1/11/2013,0.5534,10/12/2012,0.47603,8/23/2010,1.3582,8/23/2010,0.20579,1/17/2011,0.28936
1/11/2012,2.3203,8/24/2010,1.22,8/24/2010,0.86668,2/19/2013,0.4604,1/16/2013,0.82038,8/24/2010,0.6472,8/24/2010,2.68105,1/14/2013,0.5469,10/15/2012,0.47606,8/24/2010,1.3373,8/24/2010,0.19931,1/18/2011,0.28672
1/12/2012,2.3355,8/25/2010,1.27,8/25/2010,0.83064,2/20/2013,0.4771,1/17/2013,0.81267,8/25/2010,0.6386,8/25/2010,2.62309,1/15/2013,0.574,10/16/2012,0.48249,8/25/2010,1.3013,8/25/2010,0.19673,1/19/2011,0.28671
1/13/2012,2.3485,8/26/2010,1.26,8/26/2010,0.85364,2/21/2013,0.4809,1/18/2013,0.8294,8/26/2010,0.6411,8/26/2010,2.57762,1/16/2013,0.5753,10/17/2012,0.47605,8/26/2010,1.3036,8/26/2010,0.19541,1/20/2011,0.28648
1/16/2012,2.2837,8/27/2010,1.24,8/27/2010,0.8536,2/22/2013,0.4706,1/21/2013,0.80615,8/27/2010,0.6376,8/27/2010,2.58395,1/17/2013,0.5663,10/18/2012,0.48901,8/27/2010,1.3035,8/27/2010,0.1954,1/21/2011,0.28628
1/17/2012,2.3774,8/30/2010,1.22,8/30/2010,0.90113,2/25/2013,0.4616,1/22/2013,0.82159,8/30/2010,0.6470,8/30/2010,2.5967,1/18/2013,0.6179,10/19/2012,0.48645,8/30/2010,1.3164,8/30/2010,0.18897,1/24/2011,0.29372
1/18/2012,2.3373,8/31/2010,1.25,8/31/2010,0.89091,2/26/2013,0.4628,1/23/2013,0.82936,8/31/2010,0.6711,8/31/2010,2.62258,1/21/2013,0.5985,10/22/2012,0.49806,8/31/2010,1.3242,8/31/2010,0.18898,1/25/2011,0.29391
1/19/2012,2.3378,9/1/2010,1.24,9/1/2010,0.92743,2/27/2013,0.4602,1/24/2013,0.83581,9/1/2010,0.6603,9/1/2010,2.6112,1/22/2013,0.6539,10/24/2012,0.51483,9/1/2010,1.3841,9/1/2010,0.18909,1/26/2011,0.2941
1/20/2012,2.371,9/2/2010,1.26,9/2/2010,1.01413,2/28/2013,0.4643,1/25/2013,0.86151,9/2/2010,0.6975,9/2/2010,2.7155,1/23/2013,0.6552,10/25/2012,0.49288,9/2/2010,1.4002,9/2/2010,0.19562,1/27/2011,0.29405
1/26/2012,2.3438,9/3/2010,1.32,9/3/2010,1.01527,3/1/2013,0.481,1/28/2013,0.85722,9/3/2010,0.6906,9/3/2010,2.76659,1/24/2013,0.6823,10/26/2012,0.50966,9/3/2010,1.3872,9/3/2010,0.19044,1/28/2011,0.29385
1/27/2012,2.3442,9/6/2010,1.35,9/6/2010,1.03665,3/4/2013,0.4835,1/29/2013,0.84809,9/6/2010,0.6954,9/6/2010,2.72362,1/25/2013,0.6603,10/29/2012,0.50966,9/6/2010,1.3753,9/6/2010,0.19059,1/31/2011,0.28997
1/30/2012,2.3415,9/7/2010,1.38,9/7/2010,1.0363,3/5/2013,0.4861,1/30/2013,0.86098,9/7/2010,0.7020,9/7/2010,2.78064,1/28/2013,0.6394,10/30/2012,0.50193,9/7/2010,1.3311,9/7/2010,0.1931,2/1/2011,0.29003
1/31/2012,2.3698,9/8/2010,1.36,9/8/2010,1.03337,3/6/2013,0.4913,1/31/2013,0.85869,9/8/2010,0.6932,9/8/2010,2.72176,1/29/2013,0.6651,10/31/2012,0.52256,9/8/2010,1.3126,9/8/2010,0.19303,2/2/2011,0.29022
2/1/2012,2.3342,9/9/2010,1.4,9/9/2010,1.08248,3/7/2013,0.4835,2/1/2013,0.91415,9/9/2010,0.6951,9/9/2010,2.65793,1/30/2013,0.6625,11/1/2012,0.52903,9/9/2010,1.3438,9/9/2010,0.18406,2/7/2011,0.29036
2/2/2012,2.3725,9/10/2010,1.41,9/10/2010,1.12905,3/8/2013,0.4886,2/4/2013,0.90539,9/10/2010,0.7407,9/10/2010,2.77434,1/31/2013,0.6537,11/2/2012,0.54708,9/10/2010,1.3904,9/10/2010,0.18024,2/8/2011,0.29037
2/3/2012,2.6502,9/13/2010,1.47,9/13/2010,1.1729,3/11/2013,0.4796,2/5/2013,0.9143,9/13/2010,0.7433,9/13/2010,3.00627,2/1/2013,0.6627,11/5/2012,0.55224,9/13/2010,1.3828,9/13/2010,0.19956,2/9/2011,0.29031
2/6/2012,2.7664,9/14/2010,1.44,9/14/2010,1.15634,3/12/2013,0.477,2/6/2013,0.92076,9/14/2010,0.7700,9/14/2010,3.0518,2/4/2013,0.699,11/6/2012,0.54836,9/14/2010,1.3649,9/14/2010,0.19315,2/10/2011,0.29012
2/7/2012,2.6891,9/15/2010,1.4,9/15/2010,1.16522,3/13/2013,0.4743,2/7/2013,0.91551,9/15/2010,0.7657,9/15/2010,2.96776,2/5/2013,0.6899,11/7/2012,0.56512,9/15/2010,1.3519,9/15/2010,0.19313,2/11/2011,0.28989
2/8/2012,2.8115,9/16/2010,1.41,9/16/2010,1.13173,3/14/2013,0.4756,2/8/2013,0.91035,9/16/2010,0.7768,9/16/2010,2.99991,2/6/2013,0.6822,11/8/2012,0.56635,9/16/2010,1.3442,9/16/2010,0.19313,2/14/2011,0.2899
2/9/2012,2.8044,9/17/2010,1.43,9/17/2010,1.12692,3/15/2013,0.4716,2/14/2013,0.92982,9/17/2010,0.8277,9/17/2010,3.00084,2/7/2013,0.6615,11/9/2012,0.57669,9/17/2010,1.3523,9/17/2010,0.20349,2/15/2011,0.27201
2/10/2012,2.7531,9/20/2010,1.43,9/20/2010,1.16942,3/18/2013,0.4612,2/15/2013,0.92851,9/20/2010,0.8779,9/20/2010,3.00728,2/8/2013,0.6795,11/12/2012,0.51867,9/20/2010,1.3703,9/20/2010,0.19447,2/16/2011,0.26443
2/13/2012,2.8695,9/21/2010,1.45,9/21/2010,1.16856,3/19/2013,0.4509,2/18/2013,0.93241,9/21/2010,0.8718,9/21/2010,2.98259,2/14/2013,0.6951,11/13/2012,0.52899,9/21/2010,1.3657,9/21/2010,0.19455,2/17/2011,0.26966
2/14/2012,2.7148,9/22/2010,1.41,9/22/2010,1.14723,3/20/2013,0.4574,2/19/2013,0.91173,9/22/2010,0.8744,9/22/2010,3.08722,2/15/2013,0.6886,11/14/2012,0.53416,9/22/2010,1.3638,9/22/2010,0.20109,2/18/2011,0.26462
2/15/2012,2.6375,9/24/2010,1.41,9/24/2010,1.15378,3/21/2013,0.4638,2/20/2013,0.91556,9/24/2010,0.8702,9/24/2010,3.09394,2/18/2013,0.6667,11/15/2012,0.57147,9/24/2010,1.3613,9/24/2010,0.19853,2/21/2011,0.26336
2/16/2012,2.7147,9/27/2010,1.38,9/27/2010,1.10593,3/22/2013,0.4779,2/21/2013,0.89996,9/27/2010,0.8701,9/27/2010,3.35129,2/19/2013,0.6435,11/16/2012,0.56761,9/27/2010,1.3534,9/27/2010,0.19334,2/22/2011,0.26949
2/17/2012,2.6954,9/28/2010,1.35,9/28/2010,1.09826,3/25/2013,0.4677,2/22/2013,0.89221,9/28/2010,0.8680,9/28/2010,3.48686,2/20/2013,0.6551,11/19/2012,0.55986,9/28/2010,1.3432,9/28/2010,0.19722,2/23/2011,0.26939
2/20/2012,2.5986,9/29/2010,1.32,9/29/2010,1.11249,3/26/2013,0.4678,2/25/2013,0.91924,9/29/2010,0.8938,9/29/2010,3.51922,2/21/2013,0.6421,11/20/2012,0.53676,9/29/2010,1.3484,9/29/2010,0.19723,2/24/2011,0.26935
2/21/2012,2.618,9/30/2010,1.42,9/30/2010,1.07735,3/27/2013,0.4921,2/26/2013,0.91132,9/30/2010,0.9429,9/30/2010,3.52458,2/22/2013,0.6382,11/21/2012,0.52642,9/30/2010,1.3660,9/30/2010,0.19717,2/25/2011,0.28225
2/22/2012,2.6435,10/4/2010,1.4,10/4/2010,1.12532,3/28/2013,0.4947,2/27/2013,0.91397,10/4/2010,0.9603,10/4/2010,3.28701,2/25/2013,0.6227,11/22/2012,0.52898,10/4/2010,1.3406,10/4/2010,0.19722,2/28/2011,0.28247
2/23/2012,2.6044,10/5/2010,1.44,10/5/2010,1.14105,4/2/2013,0.5024,2/28/2013,0.9156,10/5/2010,0.9756,10/5/2010,3.15884,2/26/2013,0.5994,11/23/2012,0.52128,10/5/2010,1.3151,10/5/2010,0.19985,3/1/2011,0.28242
2/24/2012,2.7082,10/6/2010,1.42,10/6/2010,1.14502,4/3/2013,0.5012,3/1/2013,0.9297,10/6/2010,0.9671,10/6/2010,3.24294,2/27/2013,0.5994,11/26/2012,0.53806,10/6/2010,1.3281,10/6/2010,0.19986,3/2/2011,0.28238
2/27/2012,2.6112,10/7/2010,1.42,10/7/2010,1.12325,4/5/2013,0.4893,3/4/2013,0.89477,10/7/2010,0.9543,10/7/2010,3.22402,2/28/2013,0.6267,11/27/2012,0.54192,10/7/2010,1.3128,10/7/2010,0.19989,3/3/2011,0.28244
2/28/2012,2.6692,10/8/2010,1.41,10/8/2010,1.09566,4/8/2013,0.4856,3/5/2013,0.91543,10/8/2010,0.9238,10/8/2010,3.20963,3/1/2013,0.6228,11/28/2012,0.54063,10/8/2010,1.3148,10/8/2010,0.20753,3/4/2011,0.28249
2/29/2012,2.7206,10/11/2010,1.4,10/11/2010,1.08142,4/9/2013,0.492,3/6/2013,0.9206,10/11/2010,0.9216,10/11/2010,3.19658,3/4/2013,0.6176,11/29/2012,0.5329,10/11/2010,1.3147,10/11/2010,0.20623,3/7/2011,0.28127
3/1/2012,2.6176,10/12/2010,1.36,10/12/2010,1.05936,4/10/2013,0.4934,3/7/2013,0.92311,10/12/2010,0.9021,10/12/2010,3.03503,3/5/2013,0.6344,11/30/2012,0.55354,10/12/2010,1.2991,10/12/2010,0.20362,3/8/2011,0.28119
3/2/2012,2.5971,10/13/2010,1.36,10/13/2010,1.07602,4/11/2013,0.4909,3/8/2013,0.92308,10/13/2010,0.9257,10/13/2010,3.06697,3/6/2013,0.6589,12/3/2012,0.54451,10/13/2010,1.2655,10/13/2010,0.19974,3/9/2011,0.28125
3/5/2012,2.6149,10/14/2010,1.35,10/14/2010,1.08278,4/12/2013,0.5205,3/11/2013,0.94105,10/14/2010,0.9238,10/14/2010,3.16456,3/7/2013,0.6317,12/4/2012,0.5458,10/14/2010,1.3071,10/14/2010,0.2114,3/10/2011,0.27603
3/6/2012,2.5351,10/15/2010,1.36,10/15/2010,1.06995,4/15/2013,0.563,3/12/2013,0.92823,10/15/2010,0.9217,10/15/2010,3.06159,3/8/2013,0.6369,12/5/2012,0.5458,10/15/2010,1.2891,10/15/2010,0.2011,3/11/2011,0.26323
3/7/2012,2.5245,10/18/2010,1.36,10/18/2010,1.02483,4/16/2013,0.5514,3/13/2013,0.90607,10/18/2010,0.9217,10/18/2010,3.03581,3/11/2013,0.6897,12/6/2012,0.53935,10/18/2010,1.2646,10/18/2010,0.20368,3/14/2011,0.25799
3/8/2012,2.6046,10/19/2010,1.33,10/19/2010,1.05285,4/17/2013,0.541,3/14/2013,0.94094,10/19/2010,0.9901,10/19/2010,3.17014,3/12/2013,0.6743,12/7/2012,0.52774,10/19/2010,1.2694,10/19/2010,0.20619,3/15/2011,0.2693
3/9/2012,2.6752,10/20/2010,1.35,10/20/2010,1.06802,4/18/2013,0.5487,3/15/2013,0.94064,10/20/2010,0.9791,10/20/2010,3.11131,3/13/2013,0.6612,12/10/2012,0.53548,10/20/2010,1.2484,10/20/2010,0.20613,3/16/2011,0.26928
3/12/2012,2.6618,10/21/2010,1.4,10/21/2010,1.04961,4/19/2013,0.5564,3/18/2013,0.92892,10/21/2010,1.0346,10/21/2010,3.18746,3/14/2013,0.7038,12/11/2012,0.52774,10/21/2010,1.2621,10/21/2010,0.20091,3/17/2011,0.26913
3/13/2012,2.6612,10/22/2010,1.35,10/22/2010,1.04074,4/22/2013,0.5757,3/19/2013,0.94182,10/22/2010,1.0004,10/22/2010,3.06555,3/15/2013,0.7164,12/12/2012,0.52903,10/22/2010,1.2597,10/22/2010,0.20738,3/18/2011,0.28588
3/14/2012,2.8023,10/25/2010,1.4,10/25/2010,1.06217,4/23/2013,0.5654,3/20/2013,0.992,10/25/2010,0.9797,10/25/2010,3.07436,3/18/2013,0.6996,12/13/2012,0.52903,10/25/2010,1.3148,10/25/2010,0.20882,3/21/2011,0.28597
3/15/2012,2.7829,10/26/2010,1.43,10/26/2010,1.04912,4/24/2013,0.5744,3/21/2013,0.98548,10/26/2010,1.0311,10/26/2010,3.07389,3/19/2013,0.7292,12/14/2012,0.52257,10/26/2010,1.3894,10/26/2010,0.21266,3/22/2011,0.2861
3/16/2012,2.731,10/27/2010,1.35,10/27/2010,1.0942,4/25/2013,0.5589,3/22/2013,1.00729,10/27/2010,1.0074,10/27/2010,3.22202,3/20/2013,0.7215,12/17/2012,0.52127,10/27/2010,1.3636,10/27/2010,0.21394,3/23/2011,0.28614
3/19/2012,2.7891,10/28/2010,1.22,10/28/2010,1.0714,4/26/2013,0.5384,3/25/2013,1.01013,10/28/2010,0.9820,10/28/2010,3.20389,3/21/2013,0.724,12/18/2012,0.51741,10/28/2010,1.3280,10/28/2010,0.21918,3/24/2011,0.28615
3/20/2012,2.6729,10/29/2010,1.33,10/29/2010,1.06434,4/29/2013,0.554,3/26/2013,0.99999,10/29/2010,0.9869,10/29/2010,3.40588,3/22/2013,0.769,12/19/2012,0.52903,10/29/2010,1.3237,10/29/2010,0.21416,3/25/2011,0.28612
3/21/2012,2.7174,11/1/2010,1.32,11/1/2010,1.08104,4/30/2013,0.5605,3/27/2013,1.00089,11/1/2010,0.9718,11/1/2010,3.48306,3/25/2013,0.7705,12/20/2012,0.51741,11/1/2010,1.3365,11/1/2010,0.21672,3/28/2011,0.28591
3/22/2012,2.775,11/2/2010,1.34,11/2/2010,1.06564,5/2/2013,0.5723,3/28/2013,1.01508,11/2/2010,0.9547,11/2/2010,3.52849,3/26/2013,0.7075,12/21/2012,0.50966,11/2/2010,1.3856,11/2/2010,0.21674,3/29/2011,0.26951
3/23/2012,2.9222,11/3/2010,1.35,11/3/2010,1.06566,5/3/2013,0.5671,4/2/2013,1.01256,11/3/2010,0.9676,11/3/2010,3.75431,3/27/2013,0.6698,12/24/2012,0.51997,11/3/2010,1.3959,11/3/2010,0.21674,3/30/2011,0.26978
3/26/2012,2.7934,11/4/2010,1.3,11/4/2010,1.08352,5/6/2013,0.5722,4/3/2013,1.01265,11/4/2010,0.9889,11/4/2010,3.66333,3/28/2013,0.6596,12/27/2012,0.51084,11/4/2010,1.4318,11/4/2010,0.22315,3/31/2011,0.27004
3/27/2012,2.8397,11/5/2010,1.32,11/5/2010,1.09669,5/7/2013,0.5631,4/5/2013,1.00315,11/5/2010,0.9849,11/5/2010,3.55456,4/2/2013,0.657,12/28/2012,0.51988,11/5/2010,1.4192,11/5/2010,0.22321,4/1/2011,0.26996
3/28/2012,2.8529,11/8/2010,1.33,11/8/2010,1.08379,5/8/2013,0.5902,4/8/2013,0.99816,11/8/2010,1.0064,11/8/2010,3.61907,4/3/2013,0.67,12/31/2012,0.51349,11/8/2010,1.4012,11/8/2010,0.22321,4/4/2011,0.28307
3/29/2012,2.8142,11/9/2010,1.33,11/9/2010,1.11981,5/9/2013,0.5877,4/9/2013,1.00461,11/9/2010,0.9955,11/9/2010,3.44458,4/5/2013,0.6336,1/2/2013,0.52251,11/9/2010,1.4759,11/9/2010,0.22319,4/6/2011,0.28303
3/30/2012,2.7949,11/10/2010,1.33,11/10/2010,1.14177,5/10/2013,0.585,4/10/2013,1.02409,11/10/2010,0.9848,11/10/2010,3.33501,4/8/2013,0.6466,1/3/2013,0.54961,11/10/2010,1.4192,11/10/2010,0.22319,4/7/2011,0.28311
4/2/2012,2.7686,11/11/2010,1.34,11/11/2010,1.187,5/13/2013,0.5798,4/11/2013,1.0024,11/11/2010,0.9956,11/11/2010,3.47715,4/9/2013,0.6607,1/4/2013,0.55865,11/11/2010,1.4554,11/11/2010,0.21289,4/8/2011,0.28326
4/3/2012,2.8205,11/12/2010,1.31,11/12/2010,1.15721,5/14/2013,0.5901,4/12/2013,0.99593,11/12/2010,0.9590,11/12/2010,3.35423,4/10/2013,0.6441,1/7/2013,0.58059,11/12/2010,1.4114,11/12/2010,0.20512,4/11/2011,0.28317
4/5/2012,2.7369,11/15/2010,1.29,11/15/2010,1.16611,5/15/2013,0.6017,4/15/2013,0.98163,11/15/2010,0.9610,11/15/2010,3.34739,4/11/2013,0.6404,1/8/2013,0.66573,11/15/2010,1.4112,11/15/2010,0.2051,4/12/2011,0.28301
4/10/2012,2.6916,11/16/2010,1.24,11/16/2010,1.20566,5/16/2013,0.5964,4/16/2013,0.99709,11/16/2010,0.9542,11/16/2010,3.26237,4/12/2013,0.679,1/9/2013,0.66565,11/16/2010,1.3540,11/16/2010,0.19987,4/13/2011,0.28294
4/11/2012,2.6595,11/17/2010,1.22,11/17/2010,1.15245,5/20/2013,0.6017,4/17/2013,0.9996,11/17/2010,0.9389,11/17/2010,3.12605,4/15/2013,0.6647,1/10/2013,0.66569,11/17/2010,1.3020,11/17/2010,0.19079,4/14/2011,0.28297
4/12/2012,2.6853,11/18/2010,1.2,11/18/2010,1.21239,5/21/2013,0.6043,4/18/2013,0.9982,11/18/2010,0.9587,11/18/2010,3.27602,4/16/2013,0.6557,1/11/2013,0.66563,11/18/2010,1.3465,11/18/2010,0.21281,4/15/2011,0.283
4/13/2012,2.6677,11/19/2010,1.21,11/19/2010,1.24584,5/22/2013,0.6081,4/19/2013,0.99951,11/19/2010,0.9673,11/19/2010,3.30161,4/17/2013,0.6492,1/14/2013,0.66562,11/19/2010,1.3284,11/19/2010,0.2128,4/18/2011,0.28289
4/16/2012,2.6553,11/22/2010,1.21,11/22/2010,1.40035,5/23/2013,0.6132,4/22/2013,0.99821,11/22/2010,0.9821,11/22/2010,3.35904,4/18/2013,0.6401,1/15/2013,0.66563,11/22/2010,1.3410,11/22/2010,0.20631,4/19/2011,0.28285
4/17/2012,2.6034,11/23/2010,1.19,11/23/2010,1.40749,5/24/2013,0.5925,4/23/2013,1.00974,11/23/2010,0.9882,11/23/2010,3.33827,4/19/2013,0.6414,1/16/2013,0.66559,11/23/2010,1.3147,11/23/2010,0.20751,4/20/2011,0.2831
4/18/2012,2.6801,11/24/2010,1.2,11/24/2010,1.37659,5/27/2013,0.6028,4/24/2013,1.03292,11/24/2010,1.0054,11/24/2010,3.31258,4/22/2013,0.617,1/17/2013,0.66562,11/24/2010,1.3147,11/24/2010,0.20752,4/21/2011,0.28322
4/19/2012,2.6665,11/25/2010,1.23,11/25/2010,1.52327,5/28/2013,0.6157,4/25/2013,1.02386,11/25/2010,0.9708,11/25/2010,3.26692,4/23/2013,0.595,1/18/2013,0.93517,11/25/2010,1.3300,11/25/2010,0.20491,4/26/2011,0.2831
4/20/2012,2.7444,11/26/2010,1.24,11/26/2010,1.46561,5/29/2013,0.6273,4/26/2013,1.01239,11/26/2010,0.9702,11/26/2010,3.18106,4/24/2013,0.6259,1/21/2013,0.94416,11/26/2010,1.3265,11/26/2010,0.18674,4/27/2011,0.28316
4/23/2012,2.6091,11/29/2010,1.28,11/29/2010,1.48854,5/30/2013,0.6131,4/29/2013,0.99985,11/29/2010,1.0044,11/29/2010,3.21916,4/25/2013,0.6233,1/22/2013,0.94411,11/29/2010,1.3134,11/29/2010,0.18671,4/28/2011,0.28316
4/24/2012,2.5619,11/30/2010,1.37,11/30/2010,1.45767,5/31/2013,0.6106,4/30/2013,0.98061,11/30/2010,1.0023,11/30/2010,3.245,4/26/2013,0.6247,1/23/2013,0.94544,11/30/2010,1.3263,11/30/2010,0.19959,4/29/2011,0.28324
4/25/2012,2.5721,12/1/2010,1.34,12/1/2010,1.41913,6/3/2013,0.6145,5/2/2013,1.00532,12/1/2010,0.9766,12/1/2010,3.21945,4/29/2013,0.6056,1/24/2013,0.94415,12/1/2010,1.2929,12/1/2010,0.20862,5/3/2011,0.28323
4/26/2012,2.5569,12/2/2010,1.37,12/2/2010,1.54514,6/4/2013,0.6056,5/3/2013,1.00523,12/2/2010,0.9657,12/2/2010,3.41218,4/30/2013,0.6366,1/25/2013,0.94405,12/2/2010,1.3211,12/2/2010,0.21117,5/4/2011,0.28318
4/27/2012,2.5749,12/3/2010,1.35,12/3/2010,1.51004,6/5/2013,0.6455,5/6/2013,0.99872,12/3/2010,0.9663,12/3/2010,3.54318,5/2/2013,0.6393,1/28/2013,0.94359,12/3/2010,1.3271,12/3/2010,0.21001,5/5/2011,0.28307
4/30/2012,2.623,12/6/2010,1.42,12/6/2010,1.46894,6/6/2013,0.6468,5/7/2013,0.97928,12/6/2010,0.9879,12/6/2010,3.47907,5/3/2013,0.6328,1/29/2013,0.94218,12/6/2010,1.3272,12/6/2010,0.21003,5/6/2011,0.28307
5/2/2012,2.6296,12/7/2010,1.42,12/7/2010,1.45568,6/7/2013,0.6544,5/8/2013,0.97039,12/7/2010,1.0478,12/7/2010,3.42664,5/6/2013,0.6353,1/30/2013,0.94347,12/7/2010,1.3320,12/7/2010,0.2074,5/9/2011,0.28306
5/3/2012,2.5904,12/8/2010,1.39,12/8/2010,1.46497,6/10/2013,0.6491,5/9/2013,0.93571,12/8/2010,0.9977,12/8/2010,3.26978,5/7/2013,0.6391,1/31/2013,0.94507,12/8/2010,1.3208,12/8/2010,0.21884,5/11/2011,0.28308
5/4/2012,2.5098,12/9/2010,1.4,12/9/2010,1.42785,6/11/2013,0.6517,5/10/2013,0.92905,12/9/2010,1.0291,12/9/2010,3.27378,5/8/2013,0.6637,2/1/2013,0.9451,12/9/2010,1.3095,12/9/2010,0.21096,5/12/2011,0.28087
5/7/2012,2.4505,12/10/2010,1.47,12/10/2010,1.40722,6/13/2013,0.6492,5/13/2013,0.89289,12/10/2010,1.0591,12/10/2010,3.2029,5/9/2013,0.6818,2/4/2013,0.94795,12/10/2010,1.3120,12/10/2010,0.21867,5/13/2011,0.28086
