,489 HK,,7201 JP,,7203 JP,,7267 JP,,7269 JP,,7270 JP,,MSIL IN,,TTMT IN,,6902 JP,,7202 jp,,5108 jp,,volvb ss,,bmw gr,,000270 KS,,dai gr,,f,,005380 KS
9/6/2010,6.231,9/7/2010,-1.7621,9/7/2010,-0.643,9/7/2010,-1.4011,9/7/2010,-1.4053,9/7/2010,-3.8618,9/6/2010,2.3937,9/6/2010,2.0962,9/7/2010,-0.8772,9/7/2010,0,9/7/2010,-1.7532,9/6/2010,0.5011,9/6/2010,-0.2036,9/6/2010,4.6948,9/6/2010,-1.1275,9/7/2010,-2.237,9/6/2010,1.7007
9/7/2010,-4.2918,9/8/2010,-2.2422,9/8/2010,-3.6104,9/8/2010,-2.5222,9/8/2010,-1.5393,9/8/2010,-2.537,9/7/2010,0.9865,9/7/2010,0.401,9/8/2010,-2.7813,9/8/2010,-2.0478,9/8/2010,-2.3133,9/7/2010,-0.554,9/7/2010,-0.3854,9/7/2010,-0.1495,9/7/2010,-0.182,9/8/2010,0,9/7/2010,-0.6689
9/8/2010,2.3916,9/9/2010,0.7645,9/9/2010,3.5336,9/9/2010,1.2391,9/9/2010,-0.2316,9/9/2010,1.3015,9/8/2010,-0.6006,9/8/2010,-0.6015,9/9/2010,0.0867,9/9/2010,1.3937,9/9/2010,2.2327,9/8/2010,0.2786,9/8/2010,2.1281,9/8/2010,2.2455,9/8/2010,1.6407,9/9/2010,-0.4237,9/8/2010,2.3569
9/9/2010,-1.4599,9/10/2010,1.0622,9/10/2010,0.7167,9/10/2010,0.252,9/10/2010,1.1608,9/10/2010,1.7131,9/9/2010,0.5583,9/9/2010,-1.7475,9/10/2010,0.6929,9/10/2010,0.3436,9/10/2010,-0.3971,9/9/2010,2.8333,9/9/2010,0.6575,9/9/2010,-0.2928,9/9/2010,2.2839,9/10/2010,0.3404,9/9/2010,-0.6579
9/10/2010,-1.037,9/13/2010,1.952,9/13/2010,-0.1017,9/13/2010,1.6876,9/13/2010,0.6311,9/13/2010,-0.2105,9/13/2010,1.0154,9/13/2010,1.1972,9/13/2010,1.6774,9/13/2010,1.3699,9/13/2010,0.3987,9/10/2010,0.5943,9/10/2010,2.1477,9/10/2010,-1.3216,9/10/2010,1.9055,9/13/2010,1.6964,9/10/2010,-1.9868
9/13/2010,2.994,9/14/2010,-0.2946,9/14/2010,-1.6621,9/14/2010,0,9/14/2010,0.3991,9/14/2010,-0.6329,9/14/2010,1.3816,9/14/2010,2.7459,9/14/2010,0.5922,9/14/2010,1.3514,9/14/2010,-0.7942,9/13/2010,1.1278,9/13/2010,0.065,9/13/2010,3.7202,9/13/2010,-0.0803,9/14/2010,-0.0834,9/13/2010,4.7297
9/14/2010,0,9/15/2010,3.6928,9/15/2010,3.8289,9/15/2010,3.9548,9/15/2010,2.6689,9/15/2010,4.8832,9/15/2010,1.645,9/15/2010,-2.8999,9/15/2010,3.4903,9/15/2010,0,9/15/2010,2.8019,9/14/2010,0.4249,9/14/2010,1.6463,9/14/2010,-1.4347,9/14/2010,0.8381,9/15/2010,-0.9182,9/14/2010,1.2903
9/15/2010,-0.7267,9/16/2010,1.7094,9/16/2010,1.6611,9/16/2010,0.5435,9/16/2010,0.8296,9/16/2010,1.0121,9/16/2010,2.0933,9/16/2010,0.4099,9/16/2010,1.5035,9/16/2010,1,9/16/2010,1.4925,9/15/2010,1.2163,9/15/2010,0.4795,9/15/2010,0.7278,9/15/2010,0.3985,9/16/2010,4.802,9/15/2010,0.6369
9/16/2010,-1.0249,9/17/2010,0.5602,9/17/2010,3.9216,9/17/2010,1.8581,9/17/2010,0.7131,9/17/2010,0.8016,9/17/2010,-0.6405,9/17/2010,0.6512,9/17/2010,-0.5604,9/17/2010,0.6601,9/17/2010,-0.4476,9/16/2010,-1.2539,9/16/2010,0.2439,9/16/2010,-2.3121,9/16/2010,-0.3402,9/17/2010,0.4019,9/16/2010,-3.7975
9/17/2010,2.5148,9/21/2010,-0.6964,9/21/2010,-3.4591,9/21/2010,-0.4975,9/21/2010,0.5447,9/21/2010,-0.7952,9/20/2010,0.7599,9/20/2010,2.1197,9/21/2010,-1.248,9/21/2010,0.3279,9/21/2010,0.2569,9/17/2010,1.164,9/17/2010,-0.0529,9/17/2010,1.3314,9/17/2010,1.0924,9/20/2010,0.6405,9/17/2010,0
9/20/2010,5.3391,9/22/2010,-1.5428,9/22/2010,-0.9772,9/22/2010,-1.5667,9/22/2010,-0.6501,9/22/2010,-1.8036,9/21/2010,1.0151,9/21/2010,2.1892,9/22/2010,-0.0815,9/22/2010,-1.634,9/22/2010,-1.9859,9/20/2010,0.9414,9/20/2010,3.5563,9/20/2010,1.7518,9/20/2010,2.0711,9/21/2010,-0.1591,9/20/2010,2.3026
9/21/2010,-1.0959,9/24/2010,-0.5698,9/24/2010,0.6579,9/24/2010,-0.745,9/24/2010,-1.1996,9/24/2010,0.4082,9/22/2010,3.5914,9/22/2010,-0.8976,9/24/2010,0,9/24/2010,-1.3289,9/24/2010,-0.8497,9/21/2010,0.4663,9/21/2010,-1.0936,9/24/2010,5.5954,9/21/2010,0.0551,9/22/2010,-1.3546,9/24/2010,3.8585
9/22/2010,-0.277,9/27/2010,2.4355,9/27/2010,1.1438,9/27/2010,2.8659,9/27/2010,1.0486,9/27/2010,3.0488,9/23/2010,-0.3586,9/23/2010,0.3175,9/27/2010,2.8968,9/27/2010,3.367,9/27/2010,3.2301,9/22/2010,0,9/22/2010,-0.682,9/27/2010,1.4946,9/22/2010,-1.3557,9/23/2010,-0.5654,9/27/2010,0
9/24/2010,-0.6944,9/28/2010,1.3986,9/28/2010,-0.6462,9/28/2010,-0.7629,9/28/2010,-1.42,9/28/2010,-1.1834,9/24/2010,1.5871,9/24/2010,-0.1303,9/28/2010,-0.6741,9/28/2010,1.3029,9/28/2010,-0.447,9/23/2010,-2.1145,9/23/2010,0.385,9/28/2010,-0.2677,9/23/2010,-1.2067,9/24/2010,2.0309,9/28/2010,-3.096
9/27/2010,1.3986,9/29/2010,2.6207,9/29/2010,0,9/29/2010,0.1337,9/29/2010,0.277,9/29/2010,5.7884,9/27/2010,-0.1788,9/27/2010,1.0066,9/29/2010,0.8383,9/29/2010,2.8939,9/29/2010,-1.2187,9/24/2010,3.7408,9/24/2010,3.9179,9/29/2010,-1.4765,9/24/2010,3.8679,9/27/2010,-0.6369,9/29/2010,-2.8754
9/28/2010,-0.5517,9/30/2010,-2.0161,9/30/2010,-2.5041,9/30/2010,-1.1015,9/30/2010,-2.9834,9/30/2010,0.3774,9/28/2010,-0.7437,9/28/2010,-0.2953,9/30/2010,-2.019,9/30/2010,0.625,9/30/2010,-1.2338,9/27/2010,-0.7618,9/27/2010,-0.1795,9/30/2010,0.2725,9/27/2010,1.2195,9/28/2010,0.3205,9/30/2010,0.6579
9/29/2010,7.6283,10/1/2010,2.0576,10/1/2010,-0.5003,10/1/2010,0.9112,10/1/2010,0.8542,10/1/2010,2.4436,9/29/2010,-2.5918,9/29/2010,2.4017,10/1/2010,0.2828,10/1/2010,1.8634,10/1/2010,-0.6575,9/28/2010,0.3582,9/28/2010,1.0592,10/1/2010,0.8152,9/28/2010,-0.8821,9/29/2010,-1.5176,10/1/2010,2.6144
9/30/2010,2.3196,10/4/2010,0.672,10/4/2010,-0.704,10/4/2010,0.5017,10/4/2010,2.428,10/4/2010,2.5688,9/30/2010,0.7587,9/30/2010,-0.7547,10/4/2010,1.0475,10/4/2010,3.3537,10/4/2010,-0.3971,9/29/2010,1.7338,9/29/2010,1.0283,10/4/2010,2.965,9/29/2010,0.6946,9/30/2010,-0.7299,10/4/2010,1.2739
10/4/2010,2.5189,10/5/2010,0,10/5/2010,0.4389,10/5/2010,0.3328,10/5/2010,2.1499,10/5/2010,0.1789,10/1/2010,2.7101,10/1/2010,1.4616,10/5/2010,1.1563,10/5/2010,-1.7699,10/5/2010,0.6645,9/30/2010,-0.7519,9/30/2010,0.6655,10/5/2010,1.0471,9/30/2010,0.097,10/1/2010,0.1634,10/5/2010,0.9434
10/5/2010,-6.5111,10/6/2010,-2.4032,10/6/2010,-0.7731,10/6/2010,0.3317,10/6/2010,5.1808,10/6/2010,-1.9643,10/4/2010,0.0135,10/4/2010,2.2349,10/6/2010,1.2219,10/6/2010,1.8018,10/6/2010,0.7921,10/1/2010,-1.2626,10/1/2010,-3.5485,10/6/2010,-1.0363,10/1/2010,-2.4551,10/4/2010,4.7308,10/6/2010,-0.3115
10/6/2010,5.1248,10/7/2010,1.368,10/7/2010,0.0339,10/7/2010,-0.3306,10/7/2010,-1.0775,10/7/2010,-0.7286,10/5/2010,1.5674,10/5/2010,-0.4126,10/7/2010,-0.3115,10/7/2010,-1.7699,10/7/2010,-1.8991,10/4/2010,-2.3529,10/4/2010,-2.9937,10/7/2010,-0.5236,10/4/2010,-3.5434,10/5/2010,1.324,10/7/2010,-1.25
10/7/2010,-4.75,10/8/2010,-0.135,10/8/2010,-1.9641,10/8/2010,-0.8624,10/8/2010,-0.1037,10/8/2010,-0.5505,10/6/2010,0.888,10/6/2010,0.3835,10/8/2010,-3.0859,10/8/2010,-2.7027,10/8/2010,-0.6676,10/5/2010,1.8858,10/5/2010,4.0732,10/8/2010,1.7105,10/5/2010,2.8954,10/6/2010,1.7679,10/8/2010,1.2658
10/8/2010,2.3622,10/12/2010,-1.7568,10/12/2010,-1.5199,10/12/2010,-1.9739,10/12/2010,-1.1423,10/12/2010,-0.1845,10/7/2010,-1.7538,10/7/2010,-0.8782,10/12/2010,-2.3781,10/12/2010,-0.9259,10/12/2010,-1.6129,10/6/2010,-0.2057,10/6/2010,-1.1781,10/11/2010,2.7167,10/6/2010,-1.8797,10/7/2010,0.6042,10/11/2010,1.5625
10/11/2010,1.9231,10/13/2010,1.9257,10/13/2010,-0.1754,10/13/2010,0.3413,10/13/2010,3.2563,10/13/2010,-0.1848,10/8/2010,0.4765,10/8/2010,-2.2814,10/13/2010,1.7754,10/13/2010,1.5576,10/13/2010,-2.3907,10/7/2010,-5.3065,10/7/2010,0.8891,10/12/2010,-2.0151,10/7/2010,2.1424,10/8/2010,2.5526,10/12/2010,-2.4615
10/12/2010,2.7673,10/14/2010,1.6194,10/14/2010,2.9515,10/14/2010,2.2109,10/14/2010,1.882,10/14/2010,-2.037,10/11/2010,1.3392,10/11/2010,4.4109,10/14/2010,2.1501,10/14/2010,0.3067,10/14/2010,0.8397,10/8/2010,0.2176,10/8/2010,0.3204,10/13/2010,-0.1285,10/8/2010,0.4328,10/11/2010,0.8785,10/13/2010,2.2082
10/13/2010,1.5912,10/15/2010,0.1328,10/15/2010,-1.2287,10/15/2010,-1.3644,10/15/2010,-1.7973,10/15/2010,1.7013,10/12/2010,0.1845,10/12/2010,0.4342,10/15/2010,-1.7871,10/15/2010,-1.5291,10/15/2010,-1.5961,10/11/2010,1.2486,10/11/2010,-0.3693,10/14/2010,1.5444,10/11/2010,1.4254,10/12/2010,0,10/14/2010,3.3951
10/14/2010,6.0241,10/18/2010,-0.7958,10/18/2010,1.2094,10/18/2010,1.0121,10/18/2010,0.7626,10/18/2010,1.1152,10/13/2010,2.5229,10/13/2010,1.7076,10/18/2010,1.6175,10/18/2010,-2.4845,10/18/2010,1.481,10/12/2010,-0.429,10/12/2010,0.5711,10/15/2010,-0.8872,10/12/2010,2.8434,10/13/2010,-1.016,10/15/2010,-2.3881
10/15/2010,-2.5,10/19/2010,-0.2674,10/19/2010,-0.1024,10/19/2010,0.3674,10/19/2010,0.4541,10/19/2010,0.3676,10/14/2010,-0.0642,10/14/2010,0.5866,10/19/2010,0.7959,10/19/2010,0,10/19/2010,1.4593,10/13/2010,0.7539,10/13/2010,-0.3586,10/18/2010,-2.8133,10/13/2010,1.6843,10/14/2010,1.9795,10/18/2010,-5.8104
