"","ann.ret.60","ann.std.60","downrisk.60","drawdown.60","sharpe.60","sortino.60","omega.60","wl.60","skewness.60","kurtosis.60"
"GAAQFND.BH.Equity",0.0162447806689336,0.161690071981078,0.0294719082652397,-0.528999872840651,-0.055530730785533,0.08170672080208,1.15959213626357,0.490066225165563,0.62976464337159,2.85134904645268
"GAAQGBP.BH.Equity",0.0207899865748908,0.141427818140023,0.0253900658520909,-0.419283283332113,-0.060434585872902,0.0997498645294184,1.18957980543868,0.503311258278146,0.530933170029396,1.34987559449498
"GABASLT.VI.Equity",0.0435518432657731,0.0298974542122576,0.00542762693074402,-0.0660265913901024,-0.162681384863579,0.662527783922535,2.98320994327832,0.754966887417219,-1.19297799041827,4.09836613712359
"GABELLI.US.Equity",0.0457843113419876,0.0270003049888489,0.00461867697434855,-0.0535010402899999,-0.158090227676756,0.815773591206428,3.40333631847521,0.754966887417219,-1.07050591363947,2.93469225103632
"GABINTL.VI.Equity",0.045390455786616,0.107419252852753,0.021188563702811,-0.361607780852789,-0.0261831575248774,0.197657544368761,1.43855755894591,0.602649006622517,-0.526949937167185,2.86815300172553
"GAZFNDU.BM.Equity",-0.0535158461705678,0.656931508897948,0.114704005856623,-0.965425951959216,0.0451785055499822,0.118283945558668,1.26653360242804,0.450331125827815,0.771420404129918,4.56026550547772
"GBMGLOBA.CN.Equity",0.0858857270023989,0.151041394236778,0.029287296680998,-0.499000327999358,0.0654028627449168,0.268091959023864,1.63582939293458,0.609271523178808,-0.721447696883704,3.10558649711945
"GIACAPA.KY.Equity",0.0316359228745657,0.105071232871273,0.0209416395385584,-0.274788632202204,-0.0640104464068312,0.146047313680676,1.3066221036886,0.589403973509934,-0.375797288096942,0.397819323562464
"GIMIMLP.US.Equity",0.0288559386584299,0.119137141550871,0.0225980907020368,-0.341667545438163,-0.0593085377077976,0.130996239447585,1.23756352299796,0.52317880794702,-0.0277877664359042,-0.438603495754335
"GIMIRLP.US.Equity",0.0151796498903387,0.118758070051512,0.0229918840909783,-0.352988915278779,-0.0922000294892313,0.0799913704593898,1.14143017053389,0.516556291390728,0.0387096707309726,-0.346022649332986
"GLAZCAP.US.Equity",0.0649373866462817,0.0263731935215181,0.00344052861139503,-0.0262946666009999,0.0374884939840946,1.5362205035939,7.90383384370512,0.887417218543046,0.0107433575600065,4.04055654908393
"GLAZOFF.KY.Equity",0.0686765571683385,0.0253193717638183,0.00307554184533134,-0.0252031800000001,0.0789167029709307,1.81327656311535,9.0815547024952,0.900662251655629,0.122406169385734,3.86314888584721
"GLGELSA.KY.Equity",0.0764946994546265,0.0828228381186498,0.013948620037611,-0.180966558833912,0.0604014746089511,0.461990679576561,2.1246564417887,0.649006622516556,-0.0731932549470825,1.09455237751435
"GLHGLAN.US.Equity",0.0854469596485992,0.0351511755497038,0.00492955254944588,-0.039149,0.187937535667588,1.40115211489304,7.40693052885058,0.874172185430464,-0.570608699518732,4.16051592477672
"GLIFUNB.KY.Equity",0.157473992146912,0.238821866279871,0.0426589948631599,-0.429736232827216,0.139666818854092,0.342926520167148,1.73376562765222,0.609271523178808,-0.22961279882445,0.476373823823981
"GLOINVA.KY.Equity",0.0393484298038391,0.126490361266856,0.0256010253455154,-0.475656087102137,-0.0303577922654057,0.152005501194639,1.33732455410192,0.589403973509934,-0.534105114557986,1.81453370999725
"GOCMBPO.US.Equity",0.0139621255704667,0.159645897873894,0.043128878468458,-0.547013276794396,-0.0510532042547656,0.0613781827729755,1.4220004011782,0.860927152317881,-8.49557199467067,87.4933253089016
"GOLDCHI.KY.Equity",0.25806799982151,0.239174972695008,0.0379743758663271,-0.646451380742126,0.240968310788176,0.569789064661013,2.46789693593315,0.695364238410596,0.235897412258626,3.01733923100206
"GOODCAPT.CN.Equity",0.0151611186928515,0.157804597035792,0.0332979173366784,-0.573353519497702,-0.0589976839146861,0.0694459040824986,1.14975418600033,0.556291390728477,-0.73491356621692,3.05510920526119
"GOODWOOD.CN.Equity",0.00994497773495406,0.164131236254575,0.0350429918199826,-0.557957786743754,-0.0638944459697617,0.0562920653076516,1.12542782117749,0.556291390728477,-0.772019194360612,3.19494521709378
"GRANADA.KY.Equity",0.0379930878422674,0.0444568205793483,0.00590719816317963,-0.135375104370734,-0.140810759611241,0.540509045326571,2.03936921302534,0.596026490066225,1.37904954840879,4.58426211663036
