,1171 HK Equity,,.CHCOALIN G Index,,CLSPCHQI Index,,1171 HK Equity,,.CHCOALIN G Index,,CLSPCHQI Index
9/9/2011,21.75,9/16/2011,20284600,9/7/2012,115.73,9/9/2011,1.6355,9/16/2011,-2.46,9/7/2012,-0.32
9/16/2011,20.7,9/23/2011,19667900,9/21/2012,115.52,9/16/2011,-4.8276,9/23/2011,-3.04,9/21/2012,-0.18
9/23/2011,17.74,9/30/2011,17632800,10/5/2012,115.89,9/23/2011,-14.2995,9/30/2011,-10.35,10/5/2012,0.32
9/30/2011,17.12,10/14/2011,18088600,11/2/2012,118.21,9/30/2011,-3.4949,10/14/2011,2.58,11/2/2012,2
10/7/2011,16.2,10/21/2011,18717900,11/16/2012,117.47,10/7/2011,-5.3738,10/21/2011,3.48,11/16/2012,-0.63
10/14/2011,19.62,10/28/2011,19060600,11/30/2012,116.72,10/14/2011,21.1111,10/28/2011,1.83,11/30/2012,-0.64
10/21/2011,18.1,11/4/2011,19427100,12/14/2012,114.93,10/21/2011,-7.7472,11/4/2011,1.92,12/14/2012,-1.53
10/28/2011,20.65,11/11/2011,19827600,1/11/2013,115.7,10/28/2011,14.0884,11/11/2011,2.06,1/11/2013,0.67
11/4/2011,20.7,11/18/2011,20667800,1/25/2013,114.84,11/4/2011,0.2421,11/18/2011,4.24,1/25/2013,-0.74
11/11/2011,20.5,11/25/2011,21053600,2/8/2013,114.77,11/11/2011,-0.9662,11/25/2011,1.87,2/8/2013,-0.06
11/18/2011,19.48,12/2/2011,22128700,2/22/2013,115.01,11/18/2011,-4.9756,12/2/2011,5.11,2/22/2013,0.21
11/25/2011,17.4,12/9/2011,22103100,3/8/2013,115.3,11/25/2011,-10.6776,12/9/2011,-0.12,3/8/2013,0.25
12/2/2011,18.38,12/16/2011,21791500,3/22/2013,113.87,12/2/2011,5.6322,12/16/2011,-1.41,3/22/2013,-1.24
12/9/2011,17.58,12/23/2011,21174200,4/5/2013,113.59,12/9/2011,-4.3526,12/23/2011,-2.83,4/5/2013,-0.25
12/16/2011,16.2,12/30/2011,20497600,4/19/2013,113.27,12/16/2011,-7.8498,12/30/2011,-3.20,4/19/2013,-0.28
12/23/2011,16.74,1/6/2012,21132800,5/3/2013,113.4,12/23/2011,3.3333,1/6/2012,3.10,5/3/2013,0.11
12/30/2011,16.58,1/13/2012,21416000,5/17/2013,112.73,12/30/2011,-0.9558,1/13/2012,1.34,5/17/2013,-0.59
1/6/2012,16.22,2/3/2012,22828900,5/31/2013,112.98,1/6/2012,-2.1713,2/3/2012,6.60,5/31/2013,0.22
1/13/2012,17.6,2/10/2012,23212300,6/14/2013,112.52,1/13/2012,8.508,2/10/2012,1.68,6/14/2013,-0.41
1/20/2012,18.88,2/17/2012,23297100,6/28/2013,111.23,1/20/2012,7.2727,2/17/2012,0.37,6/28/2013,-1.15
1/27/2012,19.1,2/24/2012,23207100,7/12/2013,110.21,1/27/2012,1.1653,2/24/2012,-0.39,7/12/2013,-0.92
2/3/2012,18.62,3/2/2012,24043400,7/26/2013,108.23,2/3/2012,-2.5131,3/2/2012,3.60,7/26/2013,-1.8
2/10/2012,19.3,3/9/2012,22024200,8/9/2013,106.15,2/10/2012,3.652,3/9/2012,-8.40,8/9/2013,-1.92
2/17/2012,19.46,3/16/2012,21414800,8/23/2013,104.35,2/17/2012,0.829,3/16/2012,-2.77,8/23/2013,-1.7
2/24/2012,19.14,3/23/2012,21618300,9/6/2013,102.87,2/24/2012,-1.6444,3/23/2012,0.95,9/6/2013,-1.42
3/2/2012,19.14,3/30/2012,20557200,9/20/2013,102.71,3/2/2012,0,3/30/2012,-4.91,9/20/2013,-0.16
3/9/2012,18.04,4/6/2012,19924400,10/4/2013,102.59,3/9/2012,-5.7471,4/6/2012,-3.08,10/4/2013,-0.12
3/16/2012,17.5,4/13/2012,19934500,10/18/2013,102.64,3/16/2012,-2.9933,4/13/2012,0.05,10/18/2013,0.05
3/23/2012,16.7,4/20/2012,19482900,11/1/2013,103.02,3/23/2012,-4.5714,4/20/2012,-2.27,11/1/2013,0.37
3/30/2012,16.84,4/27/2012,18964200,11/15/2013,104.4,3/30/2012,0.8383,4/27/2012,-2.66,11/15/2013,1.34
4/6/2012,17.14,5/4/2012,20052600,11/29/2013,109.3,4/6/2012,1.7815,5/4/2012,5.74,11/29/2013,4.69
4/13/2012,17.02,5/11/2012,20315600,11/15/2013,104.4,4/13/2012,-0.7001,5/11/2012,1.31,,
4/20/2012,16.78,5/18/2012,21496000,11/29/2013,109.3,4/20/2012,-1.4101,5/18/2012,5.81,,
4/27/2012,16.32,5/25/2012,22804100,,,4/27/2012,-2.7414,5/25/2012,6.09,,
5/4/2012,16.16,6/1/2012,23572200,,,5/4/2012,-0.9804,6/1/2012,3.37,,
5/11/2012,14.64,6/8/2012,25719700,,,5/11/2012,-9.4059,6/8/2012,9.11,,
5/18/2012,13.32,6/15/2012,26422400,,,5/18/2012,-9.0164,6/15/2012,2.73,,
5/25/2012,12.64,6/22/2012,26222700,,,5/25/2012,-5.1051,6/22/2012,-0.76,,
6/1/2012,12.8,6/29/2012,25558400,,,6/1/2012,1.2658,6/29/2012,-2.53,,
6/8/2012,11.84,7/6/2012,25492000,,,6/8/2012,-7.5,7/6/2012,-0.26,,
6/15/2012,12.8,7/13/2012,24901400,,,6/15/2012,8.1081,7/13/2012,-2.32,,
6/22/2012,12.1,7/20/2012,24350200,,,6/22/2012,-5.4688,7/20/2012,-2.21,,
6/29/2012,11.98,7/27/2012,24541700,,,6/29/2012,-0.9917,7/27/2012,0.79,,
7/6/2012,12.16,8/3/2012,24679900,,,7/6/2012,1.5025,8/3/2012,0.56,,
7/13/2012,11.66,8/10/2012,23207500,,,7/13/2012,-4.1118,8/10/2012,-5.97,,
7/20/2012,11.56,8/17/2012,22416100,,,7/20/2012,-0.8576,8/17/2012,-3.41,,
7/27/2012,11.24,8/24/2012,21736200,,,7/27/2012,-2.7682,8/24/2012,-3.03,,
8/3/2012,12.36,8/31/2012,20323000,,,8/3/2012,9.9644,8/31/2012,-6.50,,
8/10/2012,13.14,9/7/2012,22109300,,,8/10/2012,6.3107,9/7/2012,8.79,,
8/17/2012,12.32,9/14/2012,21939800,,,8/17/2012,-6.2405,9/14/2012,-0.77,,
8/24/2012,11.68,9/21/2012,21585700,,,8/24/2012,-5.1948,9/21/2012,-1.61,,
8/31/2012,11.06,9/28/2012,21135700,,,8/31/2012,-5.3082,9/28/2012,-2.08,,
9/7/2012,11.26,10/12/2012,20624200,,,9/7/2012,1.8083,10/12/2012,-2.42,,
9/14/2012,12.06,10/19/2012,20308600,,,9/14/2012,7.1048,10/19/2012,-1.53,,
9/21/2012,11.78,10/26/2012,20156100,,,9/21/2012,-2.3217,10/26/2012,-0.75,,
9/28/2012,11.82,11/2/2012,20242400,,,9/28/2012,0.3396,11/2/2012,0.43,,
10/5/2012,12.14,11/9/2012,21040700,,,10/5/2012,2.7073,11/9/2012,3.94,,
10/12/2012,12.6,11/16/2012,21565100,,,10/12/2012,3.7891,11/16/2012,2.49,,
10/19/2012,12.7,11/23/2012,21527000,,,10/19/2012,0.7937,11/23/2012,-0.18,,
10/26/2012,12.06,11/30/2012,22078100,,,10/26/2012,-5.0394,11/30/2012,2.56,,
11/2/2012,12.28,12/7/2012,22392200,,,11/2/2012,1.8242,12/7/2012,1.42,,
11/9/2012,11.68,12/14/2012,22747100,,,11/9/2012,-4.886,12/14/2012,1.58,,
11/16/2012,11.26,12/21/2012,23343200,,,11/16/2012,-3.5959,12/21/2012,2.62,,
11/23/2012,11.92,12/28/2012,22944200,,,11/23/2012,5.8615,12/28/2012,-1.71,,
11/30/2012,11.86,1/11/2013,22540400,,,11/30/2012,-0.5034,1/11/2013,-1.76,,
12/7/2012,12.14,1/18/2013,22542200,,,12/7/2012,2.3609,1/18/2013,0.01,,
12/14/2012,12.34,1/25/2013,22424400,,,12/14/2012,1.6474,1/25/2013,-0.52,,
12/21/2012,12.54,2/1/2013,24811000,,,12/21/2012,1.6207,2/1/2013,10.64,,
12/28/2012,12.78,2/8/2013,24317900,,,12/28/2012,1.9139,2/8/2013,-1.99,,
1/4/2013,14,3/1/2013,25079922.8,,,1/4/2013,9.5462,3/1/2013,3.13,,
1/11/2013,13.86,3/8/2013,25000000,,,1/11/2013,-1,3/8/2013,-0.32,,
1/18/2013,13.52,3/15/2013,25388000,,,1/18/2013,-2.4531,3/15/2013,1.55,,
1/25/2013,13.16,3/22/2013,25722500,,,1/25/2013,-2.6627,3/22/2013,1.32,,
2/1/2013,13.28,3/29/2013,24981000,,,2/1/2013,0.9119,3/29/2013,-2.88,,
2/8/2013,12.86,4/12/2013,23629100,,,2/8/2013,-3.1627,4/12/2013,-5.41,,
2/15/2013,12.86,4/19/2013,21863600,,,2/15/2013,0,4/19/2013,-7.47,,
2/22/2013,11.82,4/26/2013,20749100,,,2/22/2013,-8.0871,4/26/2013,-5.10,,
3/1/2013,11.84,5/3/2013,19319200,,,3/1/2013,0.1692,5/3/2013,-6.89,,
3/8/2013,11.68,5/10/2013,19894500,,,3/8/2013,-1.3514,5/10/2013,2.98,,
3/15/2013,11.28,5/17/2013,20400100,,,3/15/2013,-3.4247,5/17/2013,2.54,,
3/22/2013,10.78,5/24/2013,21078900,,,3/22/2013,-4.4326,5/24/2013,3.33,,
3/29/2013,10.46,5/31/2013,21657953,,,3/29/2013,-2.9685,5/31/2013,2.75,,
4/5/2013,9.68,6/7/2013,26699900,,,4/5/2013,-7.457,6/7/2013,23.28,,
4/12/2013,9.4,6/14/2013,26999800,,,4/12/2013,-2.8926,6/14/2013,1.12,,
4/19/2013,8.84,6/21/2013,28502700,,,4/19/2013,-5.9574,6/21/2013,5.57,,
4/26/2013,8.44,6/28/2013,29691100,,,4/26/2013,-4.5249,6/28/2013,4.17,,
5/3/2013,7.83,7/5/2013,29931900,,,5/3/2013,-7.2275,7/5/2013,0.81,,
5/10/2013,8.22,7/12/2013,29791200,,,5/10/2013,4.9808,7/12/2013,-0.47,,
5/17/2013,7.87,7/19/2013,29101600,,,5/17/2013,-4.2579,7/19/2013,-2.31,,
5/24/2013,8.23,7/26/2013,28804000,,,5/24/2013,4.5743,7/26/2013,-1.02,,
5/31/2013,7.96,8/2/2013,28220500,,,5/31/2013,-3.2807,8/2/2013,-2.03,,
6/7/2013,7.75,8/9/2013,28469100,,,6/7/2013,-2.6382,8/9/2013,0.88,,
6/14/2013,6.78,8/16/2013,28114700,,,6/14/2013,-12.5161,8/16/2013,-1.24,,
6/21/2013,6.28,8/23/2013,27300600,,,6/21/2013,-7.3746,8/23/2013,-2.90,,
6/28/2013,5.56,8/30/2013,25812900,,,6/28/2013,-11.465,8/30/2013,-5.45,,
7/5/2013,5.56,9/6/2013,24602695,,,7/5/2013,0,9/6/2013,-4.69,,
7/12/2013,5.59,9/13/2013,23232600,,,7/12/2013,0.5396,9/13/2013,-5.57,,
7/19/2013,5.62,9/27/2013,22455500,,,7/19/2013,0.5367,9/27/2013,-3.34,,
7/26/2013,5.84,10/11/2013,22651200,,,7/26/2013,3.9146,10/11/2013,0.87,,
8/2/2013,5.34,10/18/2013,22646800,,,8/2/2013,-8.5616,10/18/2013,-0.02,,
8/9/2013,5.96,10/25/2013,21544200,,,8/9/2013,11.6105,10/25/2013,-4.87,,
8/16/2013,6.5,11/1/2013,20174300,,,8/16/2013,9.0604,11/1/2013,-6.36,,
8/23/2013,6.94,11/8/2013,19747200,,,8/23/2013,6.7692,11/8/2013,-2.12,,
8/30/2013,6.9,11/15/2013,20309700,,,8/30/2013,-0.5764,11/15/2013,2.85,,
9/6/2013,7.21,11/22/2013,19617600,,,9/6/2013,4.4928,11/22/2013,-3.41,,
9/13/2013,7.58,11/29/2013,19799200,,,9/13/2013,5.1318,11/29/2013,0.93,,
9/20/2013,8.21,,,,,9/20/2013,8.3113,,,,
9/27/2013,7.84,,,,,9/27/2013,-4.5067,,,,
10/4/2013,7.65,,,,,10/4/2013,-2.4235,,,,
10/11/2013,7.46,,,,,10/11/2013,-2.4837,,,,
10/18/2013,8.04,,,,,10/18/2013,7.7748,,,,
10/25/2013,7.58,,,,,10/25/2013,-5.7214,,,,
11/1/2013,8.05,,,,,11/1/2013,6.2005,,,,
11/8/2013,7.51,,,,,11/8/2013,-6.7081,,,,
11/15/2013,7.76,,,,,11/15/2013,3.3289,,,,
11/22/2013,8.63,,,,,11/22/2013,11.2113,,,,
11/29/2013,8.47,,,,,11/29/2013,-1.854,,,,
