Date,1171 HK equity,386 HK equity,857 HK equity,883 HK equity,005490 KS equity,2600 HK equity,5406 jp equity,6502 JP equity,1138 HK equity,6305 jp equity,6752 jp equity,105560 KS equity,2628 HK equity,8306 JP equity,8316 JP equity,8591 JP equity,8604 JP equity,055550 KS equity,2601 HK equity,1336 HK equity,8411 jp equity,8630 jp equity,8766 jp equity,2409 TT equity,FENG equity,IBM equity,762 HK equity,9984 jp equity,015760 KS equity,902 HK equity,8801 jp equity,esm7 index,nhm7 index
7/12/2016,4.8692,1.7914,1.5027,0.8303,3.2824,2.2265,3.6355,0.7936,0.9073,1.4296,1.3915,3.2691,1.9308,3.6664,2.9912,3.9995,1.4532,1.94,2.704,2.5886,3.4308,2.638,1.8306,-1.4625,-0.5076,1.1009,1.0113,0.8219,-0.5587,2.0005,3.4026,0.74,0.71
7/13/2016,1.1426,1.9676,0.3982,1.5787,6.5024,0.3908,1.7096,2.9365,3.8656,4.1306,2.1905,0.9078,1.095,5.9259,4.9665,1.9426,4.1126,0.3502,2.2876,1.1104,4.3808,3.0037,2.1747,3.5472,-1.5306,0.624,0.1527,1.0344,-0.3006,0.0271,3.8892,0.01,-0.45
7/14/2016,-2.0006,0.7141,1.3161,0.2256,0.7652,-0.7029,-0.978,-0.714,0.8917,1.0468,-2.1815,1.2836,1.9003,-0.9979,-1.4528,-0.1698,-1.4723,0.6461,0.9429,0.7364,-1.4722,0.5086,0.4355,-0.6572,3.6269,1.4302,1.6534,1.0969,1.4354,0.2403,-1.3773,0.54,0.2
7/15/2016,-2.813,-0.3424,-0.1812,-0.1003,-1.0017,-2.5535,2.0867,-1.1479,-2.1539,-0.0854,1.8877,1.8246,1.8446,4.1924,3.7661,2.693,5.7802,1.649,4.1984,0.8878,2.6082,2.6325,2.9702,0.84,-1.5,-0.312,0.1247,0.148,0.6071,0.6549,0.0424,-0.2,-0.39
7/19/2016,-2.321,-2.0636,-1.827,-1.1189,-3.9643,-1.1496,-0.6503,-0.0496,-0.8998,1.3404,0.2865,0.8413,-0.8008,-0.1141,-0.6503,-1.1947,1.0212,-0.0864,-2.1104,-1.0634,-0.711,2.8027,1.2281,3.8392,-1.5152,-0.1752,-2.6046,-10.9045,-0.3073,-1.5541,-0.6503,-0.05,0.05
7/20/2016,-3.9448,0.1748,0,1.5306,-0.8746,-0.7692,-2.6689,0.3103,-0.6742,-2.3844,-0.2034,-1.494,0.9122,-2.593,-2.4909,-0.3475,-3.1023,-0.8363,-0.3578,-0.3552,-1.282,-0.3939,-1.3219,-0.0654,-0.7692,1.1154,-0.2538,-0.1469,-0.359,3.139,0.1454,0.42,0.94
7/21/2016,0.8136,-1.0548,-0.3781,0.0928,-0.8512,1.155,1.9084,2.014,-0.6864,4.028,4.8387,1.2661,0.2182,3.0226,3.0706,2.0598,5.8038,1.3104,0.5308,0.527,1.7432,3.0665,2.698,4.3972,-2.3256,-0.564,3.4271,0.4771,1.8606,1.2965,2.1974,-0.44,-0.98
7/22/2016,-0.4215,-0.0142,-0.2,-0.6165,1.8266,-2.3127,-1.4106,-1.3496,-0.4697,-1.6678,-1.1543,2.7359,-0.1269,-1.7134,-1.9073,-0.7788,-2.2468,1.256,-1.6211,-1.2551,-1.3113,0.6573,-0.8218,-1.229,-0.5291,1.0097,-0.7521,-0.3205,-0.3557,-1.5161,-2.1881,0.44,-0.03
7/25/2016,-1.4213,0.3631,-0.3622,0.4144,0.9684,1.9713,0.31,-1.7104,0.6969,2.4683,0.2144,3.6986,-0.667,-0.8572,-0.1285,-0.1329,-0.1544,1.3767,0.0103,0.9081,-0.553,2.2044,0.6973,-2.9419,-0.7979,0.3579,0.2582,-2.9625,0.4235,-1.0791,1.164,-0.23,0
7/26/2016,-1.0463,0.5182,-1.3173,-2.6245,2.4033,-0.009,-3.3711,-8.3826,-0.4635,-1.4088,-2.0503,-0.1729,1.1272,-1.6588,-0.8874,-1.7812,-2.3038,0.123,1.0798,0.7027,-0.6731,-1.9231,-0.0103,1.5412,4.8257,-0.3259,1.5978,4.0424,1.679,0.6517,-2.3193,0.05,-0.07
