,992 HK Equity,,2018 HK Equity,,2038 HK Equity,,981 HK Equity,,3888 HK Equity,,696 HK Equity,,285 HK Equity,,2369 HK Equity,,354 HK Equity,,268 HK Equity,,1900 HK Equity,,161 HK Equity,,74 HK Equity,,1075 HK Equity,,877 HK Equity
5/12/2011,0.56355,5/12/2011,2.66977,5/12/2011,0.56483,5/12/2011,0.11194,5/12/2011,0.67548,5/12/2011,0.6742,5/12/2011,0.54682,5/12/2011,0.36669,5/12/2011,0.2406,5/12/2011,0.59957,,,5/12/2011,0.46448,5/12/2011,0.46448,5/12/2011,0.05404,5/8/2013,0.21263
5/13/2011,0.55838,5/13/2011,2.55774,5/13/2011,0.54809,5/13/2011,0.11322,5/13/2011,0.6909,5/13/2011,0.66903,5/13/2011,0.54937,5/13/2011,0.37182,5/13/2011,0.23931,5/13/2011,0.6047,,,5/13/2011,0.47732,5/13/2011,0.46703,5/13/2011,0.05404,5/9/2013,0.21137
5/16/2011,0.55288,5/16/2011,2.54581,5/16/2011,0.51945,5/16/2011,0.11443,5/16/2011,0.68531,5/16/2011,0.66088,5/16/2011,0.54259,5/16/2011,0.36644,5/16/2011,0.23787,5/16/2011,0.60945,,,5/16/2011,0.47059,5/16/2011,0.45773,5/16/2011,0.054,5/10/2013,0.21004
5/17/2011,0.54534,5/17/2011,2.52608,5/17/2011,0.50419,5/17/2011,0.10547,5/17/2011,0.60065,5/17/2011,0.65338,5/17/2011,0.54792,5/17/2011,0.36399,5/17/2011,0.23151,5/17/2011,0.61737,,,5/17/2011,0.47332,5/17/2011,0.45531,5/17/2011,0.05209,5/13/2013,0.21904
5/18/2011,0.54403,5/18/2011,2.5028,5/18/2011,0.55946,5/18/2011,0.10032,5/18/2011,0.57747,5/18/2011,0.65764,5/18/2011,0.54532,5/18/2011,0.36655,5/18/2011,0.23922,5/18/2011,0.61091,,,5/18/2011,0.46815,5/18/2011,0.45915,5/18/2011,0.05209,5/14/2013,0.21258
5/19/2011,0.54151,5/19/2011,2.51334,5/19/2011,0.54666,5/19/2011,0.10033,5/19/2011,0.58267,5/19/2011,0.64827,5/19/2011,0.54023,5/19/2011,0.25597,5/19/2011,0.23924,5/19/2011,0.60325,,,5/19/2011,0.46305,5/19/2011,0.43861,5/19/2011,0.05338,5/15/2013,0.20742
5/20/2011,0.54279,5/20/2011,2.43614,5/20/2011,0.54022,5/20/2011,0.09004,5/20/2011,0.55308,5/20/2011,0.64398,5/20/2011,0.5235,5/20/2011,0.24824,5/20/2011,0.24053,5/20/2011,0.60582,,,5/20/2011,0.46047,5/20/2011,0.44761,5/20/2011,0.05274,5/16/2013,0.20866
5/23/2011,0.54258,5/23/2011,2.36831,5/23/2011,0.52458,5/23/2011,0.08743,5/23/2011,0.55286,5/23/2011,0.63429,5/23/2011,0.52201,5/23/2011,0.24429,5/23/2011,0.23657,5/23/2011,0.59658,,,5/23/2011,0.45643,5/23/2011,0.45,5/23/2011,0.05079,5/20/2013,0.21129
5/24/2011,0.5439,5/24/2011,2.31189,5/24/2011,0.53233,5/24/2011,0.08872,5/24/2011,0.55547,5/24/2011,0.6129,5/24/2011,0.52718,5/24/2011,0.24816,5/24/2011,0.23659,5/24/2011,0.57861,,,5/24/2011,0.45003,5/24/2011,0.44232,5/24/2011,0.05208,5/21/2013,0.20874
5/25/2011,0.55251,5/25/2011,2.33341,5/25/2011,0.52939,5/25/2011,0.08223,5/25/2011,0.54481,5/25/2011,0.61762,5/25/2011,0.50626,5/25/2011,0.24156,5/25/2011,0.23771,5/25/2011,0.5962,,,5/25/2011,0.44587,5/25/2011,0.43173,5/25/2011,0.05204,5/22/2013,0.20099
5/26/2011,0.55615,5/26/2011,2.39927,5/26/2011,0.53303,5/26/2011,0.0822,5/26/2011,0.54073,5/26/2011,0.61009,5/26/2011,0.50606,5/26/2011,0.25174,5/26/2011,0.24018,5/26/2011,0.58569,,,5/26/2011,0.4444,5/26/2011,0.43156,5/26/2011,0.05073,5/23/2013,0.18679
5/27/2011,0.58579,5/27/2011,2.50761,5/27/2011,0.53056,5/27/2011,0.08222,5/27/2011,0.51514,5/27/2011,0.59093,5/27/2011,0.50743,5/27/2011,0.2428,5/27/2011,0.24023,5/27/2011,0.57038,,,5/27/2011,0.44448,5/27/2011,0.43035,5/27/2011,0.05139,5/24/2013,0.19063
5/30/2011,0.58746,5/30/2011,2.49123,5/30/2011,0.53475,5/30/2011,0.08356,5/30/2011,0.51419,5/30/2011,0.6016,5/30/2011,0.52318,5/30/2011,0.23267,5/30/2011,0.24038,5/30/2011,0.58103,,,5/30/2011,0.44606,5/30/2011,0.43449,5/30/2011,0.05142,5/27/2013,0.18805
5/31/2011,0.58888,5/31/2011,2.58438,5/31/2011,0.56445,5/31/2011,0.08486,5/31/2011,0.54131,5/31/2011,0.60945,5/31/2011,0.5143,5/31/2011,0.24172,5/31/2011,0.24044,5/31/2011,0.57473,,,5/31/2011,0.4693,5/31/2011,0.44873,5/31/2011,0.05079,5/28/2013,0.1829
6/1/2011,0.56957,6/1/2011,2.54314,6/1/2011,0.53614,6/1/2011,0.08357,6/1/2011,0.55028,6/1/2011,0.63128,6/1/2011,0.49243,6/1/2011,0.23914,6/1/2011,0.24043,6/1/2011,0.558,,,6/1/2011,0.45771,6/1/2011,0.441,6/1/2011,0.05271,5/29/2013,0.1829
6/2/2011,0.55269,6/2/2011,2.50897,6/2/2011,0.52441,6/2/2011,0.08355,6/2/2011,0.5694,6/2/2011,0.61953,6/2/2011,0.49228,6/2/2011,0.24293,6/2/2011,0.24036,6/2/2011,0.56297,,,6/2/2011,0.46272,6/2/2011,0.43701,6/2/2011,0.05141,5/30/2013,0.18032
6/3/2011,0.55417,6/3/2011,2.51241,6/3/2011,0.51302,6/3/2011,0.08358,6/3/2011,0.57731,6/3/2011,0.62103,6/3/2011,0.49245,6/3/2011,0.23915,6/3/2011,0.24044,6/3/2011,0.57346,,,6/3/2011,0.46674,6/3/2011,0.43202,6/3/2011,0.05207,5/31/2013,0.18421
6/7/2011,0.55657,6/7/2011,2.47821,6/7/2011,0.5013,6/7/2011,0.08355,6/7/2011,0.55271,6/7/2011,0.62084,6/7/2011,0.48587,6/7/2011,0.23522,6/7/2011,0.24037,6/7/2011,0.57456,,,6/7/2011,0.47045,6/7/2011,0.4306,6/7/2011,0.05142,6/3/2013,0.15073
6/8/2011,0.56415,6/8/2011,2.46479,6/8/2011,0.4909,6/8/2011,0.08353,6/8/2011,0.54745,6/8/2011,0.61684,6/8/2011,0.47548,6/8/2011,0.21461,6/8/2011,0.28272,6/8/2011,0.56415,,,6/8/2011,0.47034,6/8/2011,0.42665,6/8/2011,0.05012,6/4/2013,0.15076
6/9/2011,0.5576,6/9/2011,2.38713,6/9/2011,0.47409,6/9/2011,0.08094,6/9/2011,0.55246,6/9/2011,0.61027,6/9/2011,0.46895,6/9/2011,0.194,6/9/2011,0.27494,6/9/2011,0.55117,,,6/9/2011,0.45995,6/9/2011,0.42012,6/9/2011,0.05075,6/5/2013,0.18941
6/10/2011,0.55112,6/10/2011,2.27898,6/10/2011,0.46119,6/10/2011,0.07965,6/10/2011,0.54212,6/10/2011,0.59479,6/10/2011,0.45477,6/10/2011,0.21968,6/10/2011,0.27235,6/10/2011,0.54983,,,6/10/2011,0.46504,6/10/2011,0.41494,6/10/2011,0.0501,6/6/2013,0.18166
6/13/2011,0.54588,6/13/2011,2.37104,6/13/2011,0.46239,6/13/2011,0.0822,6/13/2011,0.53432,6/13/2011,0.59469,6/13/2011,0.44698,6/13/2011,0.20936,6/13/2011,0.28514,6/13/2011,0.52404,,,6/13/2011,0.46239,6/13/2011,0.4123,6/13/2011,0.04881,6/7/2013,0.18293
6/14/2011,0.55113,6/14/2011,2.2816,6/14/2011,0.45349,6/14/2011,0.08094,6/14/2011,0.54342,6/14/2011,0.6038,6/14/2011,0.45221,6/14/2011,0.21454,6/14/2011,0.31346,6/14/2011,0.53957,,,6/14/2011,0.46634,6/14/2011,0.41367,6/14/2011,0.04818,6/10/2013,0.18032
6/15/2011,0.54559,6/15/2011,2.28507,6/15/2011,0.4506,6/15/2011,0.08088,6/15/2011,0.53917,6/15/2011,0.5841,6/15/2011,0.45316,6/15/2011,0.21439,6/15/2011,0.33121,6/15/2011,0.53275,,,6/15/2011,0.46215,6/15/2011,0.42235,6/15/2011,0.04814,6/11/2013,0.19061
6/16/2011,0.5399,6/16/2011,2.21857,6/16/2011,0.42833,6/16/2011,0.07694,6/16/2011,0.52835,6/16/2011,0.5617,6/16/2011,0.44756,6/16/2011,0.20775,6/16/2011,0.3206,6/16/2011,0.52579,,,6/16/2011,0.4373,6/16/2011,0.41037,6/16/2011,0.04745,6/13/2013,0.2048
6/17/2011,0.53516,6/17/2011,2.1817,6/17/2011,0.41966,6/17/2011,0.077,6/17/2011,0.53259,6/17/2011,0.55184,6/17/2011,0.44276,6/17/2011,0.2079,6/17/2011,0.32084,6/17/2011,0.50692,,,6/17/2011,0.44661,6/17/2011,0.39784,6/17/2011,0.0462,6/14/2013,0.20101
6/20/2011,0.53899,6/20/2011,2.12771,6/20/2011,0.41194,6/20/2011,0.07571,6/20/2011,0.52615,6/20/2011,0.57107,6/20/2011,0.42349,6/20/2011,0.20276,6/20/2011,0.31698,6/20/2011,0.50819,,,6/20/2011,0.43376,6/20/2011,0.39526,6/20/2011,0.04684,6/17/2013,0.19974
6/21/2011,0.53534,6/21/2011,2.19783,6/21/2011,0.42365,6/21/2011,0.07703,6/21/2011,0.53405,6/21/2011,0.56101,6/21/2011,0.44676,6/21/2011,0.20669,6/21/2011,0.31196,6/21/2011,0.51094,,,6/21/2011,0.44162,6/21/2011,0.3877,6/21/2011,0.04622,6/18/2013,0.20235
6/22/2011,0.54828,6/22/2011,2.18285,6/22/2011,0.42886,6/22/2011,0.07576,6/22/2011,0.52517,6/22/2011,0.58038,6/22/2011,0.43272,6/22/2011,0.20801,6/22/2011,0.31715,6/22/2011,0.51489,,,6/22/2011,0.44684,6/22/2011,0.39034,6/22/2011,0.04751,6/19/2013,0.20498
6/23/2011,0.55068,6/23/2011,2.18217,6/23/2011,0.42488,6/23/2011,0.07702,6/23/2011,0.52757,6/23/2011,0.59047,6/23/2011,0.42231,6/23/2011,0.2041,6/23/2011,0.31064,6/23/2011,0.50703,,,6/23/2011,0.44414,6/23/2011,0.38509,6/23/2011,0.04878,6/20/2013,0.19991
6/24/2011,0.55857,6/24/2011,2.23172,6/24/2011,0.42888,6/24/2011,0.07961,6/24/2011,0.56371,6/24/2011,0.62791,6/24/2011,0.42503,6/24/2011,0.2093,6/24/2011,0.3146,6/24/2011,0.52262,,,6/24/2011,0.44429,6/24/2011,0.40192,6/24/2011,0.04815,6/21/2013,0.19979
6/27/2011,0.55086,6/27/2011,2.14438,6/27/2011,0.43786,6/27/2011,0.0809,6/27/2011,0.54316,6/27/2011,0.63561,6/27/2011,0.41989,6/27/2011,0.20802,6/27/2011,0.31716,6/27/2011,0.54701,,,6/27/2011,0.44428,6/27/2011,0.39035,6/27/2011,0.05008,6/24/2013,0.18046
6/28/2011,0.54458,6/28/2011,2.22199,6/28/2011,0.44183,6/28/2011,0.07835,6/28/2011,0.53687,6/28/2011,0.64862,6/28/2011,0.41871,6/28/2011,0.20422,6/28/2011,0.31339,6/28/2011,0.5433,,,6/28/2011,0.44825,6/28/2011,0.39174,6/28/2011,0.05009,6/25/2013,0.17402
6/29/2011,0.5576,6/29/2011,2.2972,6/29/2011,0.4394,6/29/2011,0.08094,6/29/2011,0.54089,6/29/2011,0.63854,6/29/2011,0.41242,6/29/2011,0.19657,6/29/2011,0.30706,6/29/2011,0.53576,,,6/29/2011,0.44839,6/29/2011,0.39571,6/29/2011,0.04946,6/26/2013,0.18171
6/30/2011,0.57188,6/30/2011,2.32866,6/30/2011,0.43952,6/30/2011,0.08096,6/30/2011,0.56803,6/30/2011,0.62971,6/30/2011,0.42409,6/30/2011,0.20048,6/30/2011,0.30843,6/30/2011,0.53719,,,6/30/2011,0.45108,6/30/2011,0.41381,6/30/2011,0.04884,6/27/2013,0.18046
7/4/2011,0.59642,7/4/2011,2.45768,7/4/2011,0.46917,7/4/2011,0.08098,7/4/2011,0.572,7/4/2011,0.64398,7/4/2011,0.43318,7/4/2011,0.20823,7/4/2011,0.30464,7/4/2011,0.57714,,,7/4/2011,0.45889,7/4/2011,0.41261,7/4/2011,0.04949,6/28/2013,0.18824
7/5/2011,0.60411,7/5/2011,2.53728,7/5/2011,0.46915,7/5/2011,0.08098,7/5/2011,0.56941,7/5/2011,0.65424,7/5/2011,0.44602,7/5/2011,0.20951,7/5/2011,0.30077,7/5/2011,0.56427,,,7/5/2011,0.46787,7/5/2011,0.41388,7/5/2011,0.05077,7/2/2013,0.18443
7/6/2011,0.60136,7/6/2011,2.42342,7/6/2011,0.46258,7/6/2011,0.08095,7/6/2011,0.64248,7/6/2011,0.65532,7/6/2011,0.43431,7/6/2011,0.20559,7/6/2011,0.30068,7/6/2011,0.57437,,,7/6/2011,0.46515,7/6/2011,0.4099,7/6/2011,0.05011,7/3/2013,0.17926
7/7/2011,0.60767,7/7/2011,2.47951,7/7/2011,0.45993,7/7/2011,0.08094,7/7/2011,0.70017,7/7/2011,0.65521,7/7/2011,0.43552,7/7/2011,0.20427,7/7/2011,0.30962,7/7/2011,0.5717,,,7/7/2011,0.46507,7/7/2011,0.40983,7/7/2011,0.0501,7/4/2013,0.17927
7/8/2011,0.61674,7/8/2011,2.46698,7/8/2011,0.46513,7/8/2011,0.08095,7/8/2011,0.66942,7/8/2011,0.64758,7/8/2011,0.42273,7/8/2011,0.23513,7/8/2011,0.32379,7/8/2011,0.58976,,,7/8/2011,0.46641,7/8/2011,0.40988,7/8/2011,0.05075,7/5/2013,0.18053
7/11/2011,0.60344,7/11/2011,2.3778,7/11/2011,0.4545,7/11/2011,0.08089,7/11/2011,0.67919,7/11/2011,0.6381,7/11/2011,0.40572,7/11/2011,0.2234,7/11/2011,0.32868,7/11/2011,0.5906,,,7/11/2011,0.46221,7/11/2011,0.40186,7/11/2011,0.04943,7/8/2013,0.18179
