,992 HK Equity,,2018 HK Equity,,2038 HK Equity,,981 HK Equity,,3888 HK Equity,,696 HK Equity,,285 HK Equity,,2369 HK Equity,,354 HK Equity,,268 HK Equity,,1900 HK Equity,,161 HK Equity,,74 HK Equity,,1075 HK Equity,,877 HK Equity
12/16/2010,0.64159,12/16/2010,2.77721,12/16/2010,0.69044,12/16/2010,0.07457,12/16/2010,0.50787,12/16/2010,0.68144,12/16/2010,0.51301,12/16/2010,0.62744,12/16/2010,0.25586,12/16/2010,0.45858,2/28/2013,0.18957,12/16/2010,0.42301,12/16/2010,0.4783,12/16/2010,0.05529,12/10/2012,0.27484
12/17/2010,0.65063,12/17/2010,2.77096,12/17/2010,0.70335,12/17/2010,0.07458,12/17/2010,0.5169,12/17/2010,0.67463,12/17/2010,0.51947,12/17/2010,0.65449,12/17/2010,0.25717,12/17/2010,0.47683,3/1/2013,0.19471,12/17/2010,0.42561,12/17/2010,0.48347,12/17/2010,0.05786,12/11/2012,0.28258
12/20/2010,0.64044,12/20/2010,2.64278,12/20/2010,0.69574,12/20/2010,0.0733,12/20/2010,0.51184,12/20/2010,0.65073,12/20/2010,0.50541,12/20/2010,0.67002,12/20/2010,0.25463,12/20/2010,0.45975,3/4/2013,0.18953,12/20/2010,0.41796,12/20/2010,0.47712,12/20/2010,0.05787,12/12/2012,0.28
12/21/2010,0.63802,12/21/2010,2.57268,12/21/2010,0.7062,12/21/2010,0.07461,12/21/2010,0.51068,12/21/2010,0.65089,12/21/2010,0.50682,12/21/2010,0.65603,12/21/2010,0.25341,12/21/2010,0.45665,3/5/2013,0.20243,12/21/2010,0.41935,12/21/2010,0.4798,12/21/2010,0.05789,12/13/2012,0.28387
12/22/2010,0.64916,12/22/2010,2.7059,12/22/2010,0.70958,12/22/2010,0.07584,12/22/2010,0.50904,12/22/2010,0.68472,12/22/2010,0.5039,12/22/2010,0.66973,12/22/2010,0.25324,12/22/2010,0.46384,3/6/2013,0.20114,12/22/2010,0.42035,12/22/2010,0.47948,12/22/2010,0.05785,12/14/2012,0.27871
12/23/2010,0.65454,12/23/2010,2.85479,12/23/2010,0.70212,12/23/2010,0.07458,12/23/2010,0.50538,12/23/2010,0.68841,12/23/2010,0.5028,12/23/2010,0.66612,12/23/2010,0.25333,12/23/2010,0.47151,3/7/2013,0.20499,12/23/2010,0.43208,12/23/2010,0.47323,12/23/2010,0.05787,12/17/2012,0.27096
12/24/2010,0.6529,12/24/2010,2.86607,12/24/2010,0.69531,12/24/2010,0.07454,12/24/2010,0.5051,12/24/2010,0.68888,12/24/2010,0.50381,12/24/2010,0.65675,12/24/2010,0.25448,12/24/2010,0.47982,3/8/2013,0.19983,12/24/2010,0.42541,12/24/2010,0.47811,12/24/2010,0.05976,12/18/2012,0.27096
12/28/2010,0.63878,12/28/2010,2.73119,12/28/2010,0.68762,12/28/2010,0.07326,12/28/2010,0.49226,12/28/2010,0.68376,12/28/2010,0.49483,12/28/2010,0.63749,12/28/2010,0.25191,12/28/2010,0.46591,3/11/2013,0.18692,12/28/2010,0.41643,12/28/2010,0.47426,12/28/2010,0.05848,12/19/2012,0.27225
12/29/2010,0.64372,12/29/2010,2.78174,12/29/2010,0.69511,12/29/2010,0.07452,12/29/2010,0.49981,12/29/2010,0.69212,12/29/2010,0.51138,12/29/2010,0.62702,12/29/2010,0.25055,12/29/2010,0.46791,3/12/2013,0.18565,12/29/2010,0.42015,12/29/2010,0.49467,12/29/2010,0.05975,12/20/2012,0.27354
12/30/2010,0.64255,12/30/2010,2.73084,12/30/2010,0.69909,12/30/2010,0.07454,12/30/2010,0.49605,12/30/2010,0.69395,12/30/2010,0.51018,12/30/2010,0.6207,12/30/2010,0.24931,12/30/2010,0.46585,3/13/2013,0.17528,12/30/2010,0.41894,12/30/2010,0.49733,12/30/2010,0.05911,12/21/2012,0.2658
12/31/2010,0.6407,12/31/2010,2.66957,12/31/2010,0.69859,12/31/2010,0.07205,12/31/2010,0.49789,12/31/2010,0.69645,12/31/2010,0.52748,12/31/2010,0.62397,12/31/2010,0.25087,12/31/2010,0.46744,3/14/2013,0.17917,12/31/2010,0.41941,12/31/2010,0.50818,12/31/2010,0.05789,12/24/2012,0.27611
1/3/2011,0.64104,1/3/2011,2.6517,1/3/2011,0.73372,1/3/2011,0.07595,1/3/2011,0.50588,1/3/2011,0.70455,1/3/2011,0.53806,1/3/2011,0.62946,1/3/2011,0.24586,1/3/2011,0.47199,3/15/2013,0.17395,1/3/2011,0.4132,1/3/2011,0.54321,1/3/2011,0.0605,12/27/2012,0.27606
1/4/2011,0.65383,1/4/2011,2.75432,1/4/2011,0.75808,1/4/2011,0.07594,1/4/2011,0.51483,1/4/2011,0.70445,1/4/2011,0.547,1/4/2011,0.60235,1/4/2011,0.25355,1/4/2011,0.46871,3/18/2013,0.17264,1/4/2011,0.408,1/4/2011,0.55601,1/4/2011,0.06178,12/28/2012,0.28252
1/5/2011,0.64343,1/5/2011,2.68956,1/5/2011,0.74638,1/5/2011,0.07593,1/5/2011,0.51217,1/5/2011,0.70692,1/5/2011,0.54048,1/5/2011,0.59711,1/5/2011,0.25351,1/5/2011,0.47936,3/19/2013,0.17136,1/5/2011,0.39764,1/5/2011,0.54563,1/5/2011,0.0637,12/31/2012,0.27868
1/6/2011,0.64839,1/6/2011,2.71449,1/6/2011,0.74745,1/6/2011,0.07848,1/6/2011,0.5236,1/6/2011,0.70928,1/6/2011,0.58149,1/6/2011,0.62266,1/6/2011,0.24701,1/6/2011,0.4953,3/20/2013,0.17779,1/6/2011,0.39495,1/6/2011,0.54804,1/6/2011,0.06368,1/2/2013,0.28641
1/7/2011,0.64593,1/7/2011,2.68278,1/7/2011,0.74371,1/7/2011,0.08106,1/7/2011,0.51339,1/7/2011,0.69911,1/7/2011,0.57902,1/7/2011,0.60346,1/7/2011,0.24962,1/7/2011,0.52004,3/21/2013,0.1752,1/7/2011,0.40145,1/7/2011,0.55714,1/7/2011,0.06369,1/3/2013,0.29674
1/10/2011,0.61974,1/10/2011,2.6937,1/10/2011,0.74575,1/10/2011,0.07972,1/10/2011,0.50788,1/10/2011,0.69432,1/10/2011,0.5696,1/10/2011,0.59274,1/10/2011,0.24944,1/10/2011,0.50145,3/22/2013,0.17518,1/10/2011,0.41145,1/10/2011,0.56574,1/10/2011,0.06172,1/4/2013,0.29287
1/11/2011,0.60196,1/11/2011,2.68181,1/11/2011,0.75374,1/11/2011,0.07846,1/11/2011,0.50935,1/11/2011,0.70057,1/11/2011,0.5891,1/11/2011,0.57495,1/11/2011,0.24953,1/11/2011,0.53272,3/25/2013,0.17523,1/11/2011,0.43089,1/11/2011,0.55566,1/11/2011,0.06367,1/7/2013,0.30448
1/12/2011,0.62129,1/12/2011,2.70124,1/12/2011,0.74734,1/12/2011,0.07975,1/12/2011,0.51838,1/12/2011,0.69804,1/12/2011,0.61357,1/12/2011,0.56855,1/12/2011,0.24954,1/12/2011,0.5231,3/26/2013,0.1701,1/12/2011,0.42705,1/12/2011,0.55054,1/12/2011,0.06239,1/8/2013,0.3019
1/13/2011,0.62904,1/13/2011,2.69495,1/13/2011,0.7461,1/13/2011,0.08233,1/13/2011,0.57758,1/13/2011,0.70407,1/13/2011,0.60074,1/13/2011,0.60202,1/13/2011,0.2547,1/13/2011,0.57351,3/27/2013,0.17261,1/13/2011,0.42064,1/13/2011,0.55571,1/13/2011,0.06239,1/9/2013,0.29284
1/14/2011,0.63673,1/14/2011,2.66269,1/14/2011,0.73835,1/14/2011,0.08104,1/14/2011,0.55569,1/14/2011,0.70319,1/14/2011,0.59299,1/14/2011,0.58785,1/14/2011,0.24826,1/14/2011,0.58956,3/28/2013,0.16875,1/14/2011,0.42577,1/14/2011,0.56984,1/14/2011,0.06239,1/10/2013,0.2993
1/17/2011,0.62888,1/17/2011,2.68786,1/17/2011,0.73434,1/17/2011,0.08102,1/17/2011,0.55944,1/17/2011,0.67132,1/17/2011,0.64431,1/17/2011,0.57873,1/17/2011,0.24306,1/17/2011,0.58623,4/2/2013,0.18035,1/17/2011,0.4244,1/17/2011,0.553,1/17/2011,0.06237,1/11/2013,0.29025
1/18/2011,0.62873,1/18/2011,2.5972,1/18/2011,0.74187,1/18/2011,0.08229,1/18/2011,0.55673,1/18/2011,0.66944,1/18/2011,0.67116,1/18/2011,0.56958,1/18/2011,0.23915,1/18/2011,0.57323,4/3/2013,0.18681,1/18/2011,0.43072,1/18/2011,0.54001,1/18/2011,0.06172,1/14/2013,0.29927
1/19/2011,0.62356,1/19/2011,2.69996,1/19/2011,0.74056,1/19/2011,0.08357,1/19/2011,0.59142,1/19/2011,0.6737,1/19/2011,0.67242,1/19/2011,0.62742,1/19/2011,0.23785,1/19/2011,0.58606,4/5/2013,0.18801,1/19/2011,0.43328,1/19/2011,0.52971,1/19/2011,0.06236,1/15/2013,0.29669
1/20/2011,0.60636,1/20/2011,2.65284,1/20/2011,0.72841,1/20/2011,0.08093,1/20/2011,0.58452,1/20/2011,0.67317,1/20/2011,0.65904,1/20/2011,0.59095,1/20/2011,0.23381,1/20/2011,0.56633,4/8/2013,0.18675,1/20/2011,0.43422,1/20/2011,0.52158,1/20/2011,0.06359,1/16/2013,0.28636
1/21/2011,0.60208,1/21/2011,2.59959,1/21/2011,0.73174,1/21/2011,0.08216,1/21/2011,0.62262,1/21/2011,0.6684,1/21/2011,0.66498,1/21/2011,0.59694,1/21/2011,0.23236,1/21/2011,0.56164,4/9/2013,0.19448,1/21/2011,0.4262,1/21/2011,0.53019,1/21/2011,0.06162,1/17/2013,0.26702
1/24/2011,0.58873,1/24/2011,2.64221,1/24/2011,0.71699,1/24/2011,0.08081,1/24/2011,0.59899,1/24/2011,0.66782,1/24/2011,0.66312,1/24/2011,0.55409,1/24/2011,0.23344,1/24/2011,0.5558,4/10/2013,0.19322,1/24/2011,0.4207,1/24/2011,0.51562,1/24/2011,0.05644,1/18/2013,0.2683
1/25/2011,0.59552,1/25/2011,2.79792,1/25/2011,0.71745,1/25/2011,0.07957,1/25/2011,0.59424,1/25/2011,0.66739,1/25/2011,0.68023,1/25/2011,0.55317,1/25/2011,0.24257,1/25/2011,0.54226,4/11/2013,0.19326,1/25/2011,0.41584,1/25/2011,0.50696,1/25/2011,0.06032,1/21/2013,0.27345
1/26/2011,0.60619,1/26/2011,2.80617,1/26/2011,0.7115,1/26/2011,0.07834,1/26/2011,0.58178,1/26/2011,0.66526,1/26/2011,0.67939,1/26/2011,0.56766,1/26/2011,0.23759,1/26/2011,0.54903,4/12/2013,0.19326,1/26/2011,0.40198,1/26/2011,0.50087,1/26/2011,0.05972,1/22/2013,0.28117
1/27/2011,0.59709,1/27/2011,2.78641,1/27/2011,0.72036,1/27/2011,0.07704,1/27/2011,0.56242,1/27/2011,0.66771,1/27/2011,0.68312,1/27/2011,0.56884,1/27/2011,0.25168,1/27/2011,0.58318,4/15/2013,0.18937,1/27/2011,0.40063,1/27/2011,0.50849,1/27/2011,0.06099,1/23/2013,0.27602
1/28/2011,0.59155,1/28/2011,2.80376,1/28/2011,0.71602,1/28/2011,0.07699,1/28/2011,0.56075,1/28/2011,0.67496,1/28/2011,0.69549,1/28/2011,0.56332,1/28/2011,0.24894,1/28/2011,0.56567,4/16/2013,0.19839,1/28/2011,0.41062,1/28/2011,0.50173,1/28/2011,0.06159,1/24/2013,0.26957
1/31/2011,0.57993,1/31/2011,2.69438,1/31/2011,0.70824,1/31/2011,0.07827,1/31/2011,0.54786,1/31/2011,0.6706,1/31/2011,0.6659,1/31/2011,0.55299,1/31/2011,0.24506,1/31/2011,0.5485,4/17/2013,0.20868,1/31/2011,0.42084,1/31/2011,0.50038,1/31/2011,0.05966,1/25/2013,0.24891
2/1/2011,0.57878,2/1/2011,2.68859,2/1/2011,0.7084,2/1/2011,0.08085,2/1/2011,0.55825,2/1/2011,0.67332,2/1/2011,0.67247,2/1/2011,0.5621,2/1/2011,0.24897,2/1/2011,0.57536,4/18/2013,0.21123,2/1/2011,0.4081,2/1/2011,0.5082,2/1/2011,0.05968,1/28/2013,0.24621
2/2/2011,0.59071,2/2/2011,2.66459,2/2/2011,0.72554,2/2/2011,0.07962,2/2/2011,0.57016,2/2/2011,0.68402,2/2/2011,0.70499,2/2/2011,0.57786,2/2/2011,0.24912,2/2/2011,0.57358,4/19/2013,0.21124,2/2/2011,0.42377,2/2/2011,0.52521,2/2/2011,0.05907,1/29/2013,0.24876
2/7/2011,0.58972,2/7/2011,2.65951,2/7/2011,0.71434,2/7/2011,0.07966,2/7/2011,0.56274,2/7/2011,0.67665,2/7/2011,0.73233,2/7/2011,0.57944,2/7/2011,0.24925,2/7/2011,0.55888,4/22/2013,0.21767,2/7/2011,0.42141,2/7/2011,0.50364,2/7/2011,0.05717,1/30/2013,0.24747
2/8/2011,0.59101,2/8/2011,2.67239,2/8/2011,0.72206,2/8/2011,0.07966,2/8/2011,0.5666,2/8/2011,0.66553,2/8/2011,0.73619,2/8/2011,0.59229,2/8/2011,0.24925,2/8/2011,0.56852,4/23/2013,0.21766,2/8/2011,0.41628,2/8/2011,0.50621,2/8/2011,0.0591,1/31/2013,0.24755
2/9/2011,0.58061,2/9/2011,2.58834,2/9/2011,0.71292,2/9/2011,0.07964,2/9/2011,0.54593,2/9/2011,0.66025,2/9/2011,0.67952,2/9/2011,0.58061,2/9/2011,0.24021,2/9/2011,0.56841,4/24/2013,0.2138,2/9/2011,0.41105,2/9/2011,0.4984,2/9/2011,0.05909,2/1/2013,0.2424
2/10/2011,0.56998,2/10/2011,2.58672,2/10/2011,0.69707,2/10/2011,0.08601,2/10/2011,0.56099,2/10/2011,0.64187,2/10/2011,0.6868,2/10/2011,0.56998,2/10/2011,0.23749,2/10/2011,0.55521,4/25/2013,0.21121,2/10/2011,0.40181,2/10/2011,0.49167,2/10/2011,0.05905,2/4/2013,0.23989
2/11/2011,0.57593,2/11/2011,2.5718,2/11/2011,0.72216,2/11/2011,0.09235,2/11/2011,0.55925,2/11/2011,0.61826,2/11/2011,0.65674,2/11/2011,0.56695,2/11/2011,0.24371,2/11/2011,0.53339,4/26/2013,0.2151,2/11/2011,0.39635,2/11/2011,0.49255,2/11/2011,0.059,2/5/2013,0.23341
2/14/2011,0.59775,2/14/2011,2.54236,2/14/2011,0.69652,2/14/2011,0.09236,2/14/2011,0.56696,2/14/2011,0.62768,2/14/2011,0.66573,2/14/2011,0.5721,2/14/2011,0.24372,2/14/2011,0.53233,4/29/2013,0.21517,2/14/2011,0.39251,2/14/2011,0.50026,2/14/2011,0.05901,2/6/2013,0.23341
2/15/2011,0.59662,2/15/2011,2.50196,2/15/2011,0.69413,2/15/2011,0.08853,2/15/2011,0.55556,2/15/2011,0.62955,2/15/2011,0.67489,2/15/2011,0.56069,2/15/2011,0.24378,2/15/2011,0.51429,4/30/2013,0.21648,2/15/2011,0.39133,2/15/2011,0.49911,2/15/2011,0.0571,2/7/2013,0.2321
2/16/2011,0.61102,2/16/2011,2.49798,2/16/2011,0.71371,2/16/2011,0.08729,2/16/2011,0.55197,2/16/2011,0.623,2/16/2011,0.70857,2/16/2011,0.56095,2/16/2011,0.24389,2/16/2011,0.49313,5/2/2013,0.21395,2/16/2011,0.3928,2/16/2011,0.49549,2/16/2011,0.05905,2/8/2013,0.23468
2/17/2011,0.63178,2/17/2011,2.52713,2/17/2011,0.72039,2/17/2011,0.09246,2/17/2011,0.5496,2/17/2011,0.6275,2/17/2011,0.70626,2/17/2011,0.52135,2/17/2011,0.24783,2/17/2011,0.5115,5/3/2013,0.21265,2/17/2011,0.39551,2/17/2011,0.50465,2/17/2011,0.05907,2/14/2013,0.22439
2/18/2011,0.62687,2/18/2011,2.49464,2/18/2011,0.71679,2/18/2011,0.08992,2/18/2011,0.55365,2/18/2011,0.62173,2/18/2011,0.6911,2/18/2011,0.53438,2/18/2011,0.24921,2/18/2011,0.51276,5/6/2013,0.21521,2/18/2011,0.39822,2/18/2011,0.51383,2/18/2011,0.05781,2/15/2013,0.23084
2/21/2011,0.63207,2/21/2011,2.4101,2/21/2011,0.72072,2/21/2011,0.08608,2/21/2011,0.54728,2/21/2011,0.62265,2/21/2011,0.66419,2/21/2011,0.49846,2/21/2011,0.24666,2/21/2011,0.49354,5/7/2013,0.2139,2/21/2011,0.39826,2/21/2011,0.50746,2/21/2011,0.05781,2/18/2013,0.22698
2/22/2011,0.61598,2/22/2011,2.25088,2/22/2011,0.71351,2/22/2011,0.07956,2/22/2011,0.53128,2/22/2011,0.60571,2/22/2011,0.65191,2/22/2011,0.45043,2/22/2011,0.24767,2/22/2011,0.47588,5/8/2013,0.23841,2/22/2011,0.39012,2/22/2011,0.48123,2/22/2011,0.05775,2/19/2013,0.22954
2/23/2011,0.6196,2/23/2011,2.33474,2/23/2011,0.70812,2/23/2011,0.07954,2/23/2011,0.53494,2/23/2011,0.57984,2/23/2011,0.64911,2/23/2011,0.45027,2/23/2011,0.24374,2/23/2011,0.46609,5/9/2013,0.24617,2/23/2011,0.39126,2/23/2011,0.47978,2/23/2011,0.05709,2/20/2013,0.23985
2/24/2011,0.60411,2/24/2011,2.40105,2/24/2011,0.70159,2/24/2011,0.07567,2/24/2011,0.50278,2/24/2011,0.57888,2/24/2011,0.61437,2/24/2011,0.39761,2/24/2011,0.22317,2/24/2011,0.44784,5/10/2013,0.24225,2/24/2011,0.37965,2/24/2011,0.44891,2/24/2011,0.05515,2/21/2013,0.23595
2/25/2011,0.60684,2/25/2011,2.4838,2/25/2011,0.71204,2/25/2011,0.07569,2/25/2011,0.52986,2/25/2011,0.59187,2/25/2011,0.6171,2/25/2011,0.39002,2/25/2011,0.23222,2/25/2011,0.47469,5/13/2013,0.24094,2/25/2011,0.38104,2/25/2011,0.4593,2/25/2011,0.05517,2/22/2013,0.23981
2/28/2011,0.60474,2/28/2011,2.5114,2/28/2011,0.70745,2/28/2011,0.0796,2/28/2011,0.53797,2/28/2011,0.60773,2/28/2011,0.63555,2/28/2011,0.37106,2/28/2011,0.2401,2/28/2011,0.50609,5/14/2013,0.2332,2/28/2011,0.38904,2/28/2011,0.46607,2/28/2011,0.05521,2/25/2013,0.23722
3/1/2011,0.60978,3/1/2011,2.54695,3/1/2011,0.7112,3/1/2011,0.07959,3/1/2011,0.54046,3/1/2011,0.62219,3/1/2011,0.66755,3/1/2011,0.37742,3/1/2011,0.24263,3/1/2011,0.51671,5/15/2013,0.23834,3/1/2011,0.38641,3/1/2011,0.46857,3/1/2011,0.05456,2/26/2013,0.22815
3/2/2011,0.60584,3/2/2011,2.51322,3/2/2011,0.70211,3/2/2011,0.07958,3/2/2011,0.53396,3/2/2011,0.6221,3/2/2011,0.64178,3/2/2011,0.3671,3/2/2011,0.24259,3/2/2011,0.50701,5/16/2013,0.25245,3/2/2011,0.38892,3/2/2011,0.4685,3/2/2011,0.05455,2/27/2013,0.22688
3/3/2011,0.60338,3/3/2011,2.55475,3/3/2011,0.69838,3/3/2011,0.07703,3/3/2011,0.54818,3/3/2011,0.6128,3/3/2011,0.66115,3/3/2011,0.42237,3/3/2011,0.24264,3/3/2011,0.51245,5/20/2013,0.25123,3/3/2011,0.38514,3/3/2011,0.46987,3/3/2011,0.0552,2/28/2013,0.23341
3/4/2011,0.60094,3/4/2011,2.58096,3/4/2011,0.7088,3/4/2011,0.07833,3/4/2011,0.55728,3/4/2011,0.62234,3/4/2011,0.669,3/4/2011,0.42631,3/4/2011,0.24397,3/4/2011,0.52325,5/21/2013,0.26543,3/4/2011,0.3865,3/4/2011,0.4751,3/4/2011,0.05393,3/1/2013,0.23468
3/7/2011,0.59593,3/7/2011,2.5481,3/7/2011,0.70124,3/7/2011,0.07706,3/7/2011,0.55611,3/7/2011,0.62761,3/7/2011,0.6717,3/7/2011,0.42383,3/7/2011,0.24531,3/7/2011,0.53406,5/22/2013,0.27571,3/7/2011,0.3853,3/7/2011,0.48804,3/7/2011,0.05523,3/4/2013,0.23336
3/8/2011,0.60604,3/8/2011,2.52173,3/8/2011,0.70619,3/8/2011,0.07832,3/8/2011,0.54954,3/8/2011,0.636,3/8/2011,0.6651,3/8/2011,0.42114,3/8/2011,0.24396,3/8/2011,0.53499,5/23/2013,0.26021,3/8/2011,0.38134,3/8/2011,0.48534,3/8/2011,0.05457,3/5/2013,0.23466
3/9/2011,0.60489,3/9/2011,2.57494,3/9/2011,0.70634,3/9/2011,0.07834,3/9/2011,0.55865,3/9/2011,0.63442,3/9/2011,0.6935,3/9/2011,0.41867,3/9/2011,0.26327,3/9/2011,0.53083,5/24/2013,0.25632,3/9/2011,0.3917,3/9/2011,0.48802,3/9/2011,0.05522,3/6/2013,0.23982
3/10/2011,0.58415,3/10/2011,2.61904,3/10/2011,0.70355,3/10/2011,0.07703,3/10/2011,0.55976,3/10/2011,0.62737,3/10/2011,0.69713,3/10/2011,0.44036,3/10/2011,0.25677,3/10/2011,0.51996,5/27/2013,0.26662,3/10/2011,0.39542,3/10/2011,0.47887,3/10/2011,0.05521,3/7/2013,0.25527
3/11/2011,0.56497,3/11/2011,2.58089,3/11/2011,0.69466,3/11/2011,0.07576,3/11/2011,0.54058,3/11/2011,0.62061,3/11/2011,0.68053,3/11/2011,0.43785,3/11/2011,0.26194,3/11/2011,0.51254,5/28/2013,0.26662,3/11/2011,0.38136,3/11/2011,0.47124,3/11/2011,0.05393,3/8/2013,0.25784
3/14/2011,0.54037,3/14/2011,2.57348,3/14/2011,0.68027,3/14/2011,0.0783,3/14/2011,0.54165,3/14/2011,0.6161,3/14/2011,0.63535,3/14/2011,0.44282,3/14/2011,0.25542,3/14/2011,0.5209,5/29/2013,0.26404,3/14/2011,0.38634,3/14/2011,0.46977,3/14/2011,0.05327,3/11/2013,0.25395
3/15/2011,0.52834,3/15/2011,2.43652,3/15/2011,0.65017,3/15/2011,0.07694,3/15/2011,0.53732,3/15/2011,0.61127,3/15/2011,0.63606,3/15/2011,0.42575,3/15/2011,0.24493,3/15/2011,0.49799,5/30/2013,0.25761,3/15/2011,0.36804,3/15/2011,0.4514,3/15/2011,0.05001,3/12/2013,0.24624
3/16/2011,0.52958,3/16/2011,2.48506,3/16/2011,0.64755,3/16/2011,0.07565,3/16/2011,0.53471,3/16/2011,0.60353,3/16/2011,0.64755,3/16/2011,0.42059,3/16/2011,0.25517,3/16/2011,0.54818,5/31/2013,0.27052,3/16/2011,0.38468,3/16/2011,0.45521,3/16/2011,0.05065,3/13/2013,0.23715
3/17/2011,0.50366,3/17/2011,2.36835,3/17/2011,0.62797,3/17/2011,0.07561,3/17/2011,0.51007,3/17/2011,0.59807,3/17/2011,0.63053,3/17/2011,0.40754,3/17/2011,0.23965,3/17/2011,0.52865,6/3/2013,0.26409,3/17/2011,0.38447,3/17/2011,0.43317,3/17/2011,0.05126,3/14/2013,0.23846
3/18/2011,0.50637,3/18/2011,2.36648,3/18/2011,0.61149,3/18/2011,0.07435,3/18/2011,0.51534,3/18/2011,0.63927,3/18/2011,0.62687,3/18/2011,0.40894,3/18/2011,0.24357,3/18/2011,0.52774,6/4/2013,0.2577,3/18/2011,0.3833,3/18/2011,0.43971,3/18/2011,0.05256,3/15/2013,0.23194
3/21/2011,0.53603,3/21/2011,2.37497,3/21/2011,0.64375,3/21/2011,0.07694,3/21/2011,0.53988,3/21/2011,0.61554,3/21/2011,0.63478,3/21/2011,0.42831,3/21/2011,0.25391,3/21/2011,0.52364,6/5/2013,0.25898,3/21/2011,0.39113,3/21/2011,0.44627,3/21/2011,0.05322,3/18/2013,0.22675
3/22/2011,0.57092,3/22/2011,2.43765,3/22/2011,0.64662,3/22/2011,0.07698,3/22/2011,0.53372,3/22/2011,0.63208,3/22/2011,0.63764,3/22/2011,0.43493,3/22/2011,0.26173,3/22/2011,0.53564,6/6/2013,0.25381,3/22/2011,0.39516,3/22/2011,0.4593,3/22/2011,0.05388,3/19/2013,0.22805
3/23/2011,0.57485,3/23/2011,2.37637,3/23/2011,0.63644,3/23/2011,0.07699,3/23/2011,0.52865,3/23/2011,0.63301,3/23/2011,0.63515,3/23/2011,0.4106,3/23/2011,0.25663,3/23/2011,0.53036,6/7/2013,0.26666,3/23/2011,0.39521,3/23/2011,0.45808,3/23/2011,0.05261,3/20/2013,0.22932
3/24/2011,0.56588,3/24/2011,2.36103,3/24/2011,0.62875,3/24/2011,0.07699,3/24/2011,0.57229,3/24/2011,0.63731,3/24/2011,0.66597,3/24/2011,0.40035,3/24/2011,0.26177,3/24/2011,0.53358,6/10/2013,0.25244,3/24/2011,0.39265,3/24/2011,0.46194,3/24/2011,0.05518,3/21/2013,0.2293
3/25/2011,0.57096,3/25/2011,2.34029,3/25/2011,0.6287,3/25/2011,0.07827,3/25/2011,0.57481,3/25/2011,0.64324,3/25/2011,0.65692,3/25/2011,0.4016,3/25/2011,0.2502,3/25/2011,0.53674,6/11/2013,0.22796,3/25/2011,0.39261,3/25/2011,0.46575,3/25/2011,0.05581,3/22/2013,0.22799
3/28/2011,0.54105,3/28/2011,2.34368,3/28/2011,0.62054,3/28/2011,0.07821,3/28/2011,0.5731,3/28/2011,0.63763,3/28/2011,0.64618,3/28/2011,0.38719,3/28/2011,0.24873,3/28/2011,0.51391,6/13/2013,0.23571,3/28/2011,0.38463,3/28/2011,0.45771,3/28/2011,0.05577,3/25/2013,0.22547
3/29/2011,0.54671,3/29/2011,2.38193,3/29/2011,0.61858,3/29/2011,0.077,3/29/2011,0.58137,3/29/2011,0.62714,3/29/2011,0.63527,3/29/2011,0.37988,3/29/2011,0.24641,3/29/2011,0.51656,6/14/2013,0.22936,3/29/2011,0.38886,3/29/2011,0.46073,3/29/2011,0.05454,3/26/2013,0.2268
3/30/2011,0.5537,3/30/2011,2.53083,3/30/2011,0.62821,3/30/2011,0.0758,3/30/2011,0.60637,3/30/2011,0.64234,3/30/2011,0.63464,3/30/2011,0.36999,3/30/2011,0.24923,3/30/2011,0.50317,6/17/2013,0.23196,3/30/2011,0.38926,3/30/2011,0.47148,3/30/2011,0.05396,3/27/2013,0.23187
3/31/2011,0.56966,3/31/2011,2.70041,3/31/2011,0.60052,3/31/2011,0.07715,3/31/2011,0.60052,3/31/2011,0.65067,3/31/2011,0.63652,3/31/2011,0.3742,3/31/2011,0.24947,3/31/2011,0.52294,6/18/2013,0.23715,3/31/2011,0.3832,3/31/2011,0.49636,3/31/2011,0.05722,3/28/2013,0.2293
4/1/2011,0.57335,4/1/2011,2.82177,4/1/2011,0.58621,4/1/2011,0.07842,4/1/2011,0.60035,4/1/2011,0.65134,4/1/2011,0.62478,4/1/2011,0.36509,4/1/2011,0.2494,4/1/2011,0.51957,6/19/2013,0.23335,4/1/2011,0.38566,4/1/2011,0.50779,4/1/2011,0.05528,4/2/2013,0.22673
4/4/2011,0.57258,4/4/2011,2.77285,4/4/2011,0.61247,4/4/2011,0.07849,4/4/2011,0.58288,4/4/2011,0.65193,4/4/2011,0.63434,4/4/2011,0.37186,4/4/2011,0.24705,4/4/2011,0.52969,6/20/2013,0.22183,4/4/2011,0.3873,4/4/2011,0.51082,4/4/2011,0.05468,4/3/2013,0.23448
4/6/2011,0.57765,4/6/2011,2.70813,4/6/2011,0.59309,4/6/2011,0.07976,4/6/2011,0.58408,4/6/2011,0.65784,4/6/2011,0.65741,4/6/2011,0.40011,4/6/2011,0.24701,4/6/2011,0.52533,6/21/2013,0.22299,4/6/2011,0.38724,4/6/2011,0.50946,4/6/2011,0.05532,4/5/2013,0.22793
4/7/2011,0.58167,4/7/2011,2.76037,4/7/2011,0.60226,4/7/2011,0.0785,4/7/2011,0.59068,4/7/2011,0.65031,4/7/2011,0.65374,4/7/2011,0.3925,4/7/2011,0.2458,4/7/2011,0.54371,6/24/2013,0.20624,4/7/2011,0.38735,4/7/2011,0.52119,4/7/2011,0.05534,4/8/2013,0.22281
