,p.zoo,c.zoo,m.zoo,s.zoo
11/17/2011,-0.333150235,-0.209666594,0.101407705,0.289762489
11/18/2011,-1.273896392,-0.192038449,-0.986778032,0.447371101
11/21/2011,-1.527101356,-0.08626958,-0.289419567,-1.593887101
11/22/2011,0.87012162,0.142896302,-0.350725806,1.553666727
11/24/2011,-0.645469585,-0.474088765,-1.423584982,-0.409856732
11/25/2011,-0.121714121,1.359238293,-0.090174291,-1.69190104
11/28/2011,1.397764877,0.530715488,1.151277042,1.853439053
11/29/2011,1.283324208,-0.139154014,1.718359749,-0.599467226
11/30/2011,-0.261624817,-0.738510937,-0.435021884,-1.566490559
12/1/2011,0.748752706,0.142896302,1.434818396,1.509850578
12/2/2011,0.522961665,0.618856211,0.369622499,-0.960417313
12/5/2011,0.024427011,-0.421204331,0.415602178,0.114635266
12/6/2011,-0.818077614,-0.244922883,-1.109390509,-1.362468751
12/7/2011,0.595932545,-0.139154014,1.266226239,0.599726747
12/8/2011,-1.101836641,-0.12152587,-0.549971081,-1.311352092
12/9/2011,-0.477397314,-0.015757001,-1.178360028,0.149966862
12/12/2011,0.679669619,0.618856211,1.005674725,0.833186099
12/13/2011,-0.546430557,0.107640013,-0.940798353,-0.061767583
12/14/2011,-0.118075546,0.125268157,-0.343062526,-0.180126137
12/15/2011,-1.420336585,-0.509345055,-1.316299065,-0.368107753
12/16/2011,-0.194635157,-0.262551028,0.178040503,0.722134599
12/19/2011,0.998767685,0.618856211,-1.009767871,-0.527207868
12/20/2011,0.465741331,-0.385948042,0.3313061,1.215998468
12/21/2011,0.605203435,0.35443404,1.089970803,1.375576125
12/22/2011,-0.474307017,0.213408881,-0.63426716,0.42609757
12/28/2011,0.099890065,0.107640013,-0.197460209,-0.312732461
12/29/2011,0.390078903,-0.703254648,-0.266429728,-0.450683336
12/30/2011,-0.045852319,-1.690430756,0.469245137,-0.823042106
1/4/2012,0.458364494,-0.08626958,0.906052087,-0.0235184
1/5/2012,-0.61631114,0.883278383,-0.680246839,0.9225454
1/6/2012,-1.127854947,-0.368319897,-0.933135073,-0.376023182
1/10/2012,-0.119570851,-0.051013291,0.247010021,0.80442889
1/11/2012,0.249520242,-0.033385146,0.185703783,0.371330653
1/12/2012,-0.779947339,-0.244922883,-0.61127732,0.783103024
1/13/2012,1.220720776,0.442574764,0.998011445,2.284574786
1/16/2012,0.172113292,-0.474088765,-1.140043629,-0.411923902
1/17/2012,0.894594777,0.090011868,0.76044977,-0.014405845
1/18/2012,-0.613868808,-0.051013291,0.714470091,-0.636839825
1/19/2012,0.672342625,0.636484356,0.75278649,1.352726049
1/20/2012,1.15776844,-0.262551028,1.082307523,1.853497929
1/26/2012,-0.383093418,-0.773767227,-0.343062526,0.610599014
1/27/2012,-0.453273062,-1.74331519,-0.113164131,0.189112254
1/30/2012,-0.182772405,-0.844279806,-0.458011723,0.597731536
1/31/2012,-0.526443315,-0.209666594,0.040101466,0.186122707
2/1/2012,0.578038729,-0.192038449,0.017111626,1.369668991
2/2/2012,0.364957781,0.019499289,0.538214655,0.425567693
2/3/2012,-0.249562691,0.848022094,-0.435021884,-0.035012126
2/6/2012,1.590609366,-0.156782159,0.798766169,-0.272612359
2/7/2012,0.020190314,0.442574764,-0.14381725,1.205466369
2/8/2012,1.140921338,0.601228067,0.798766169,2.55015377
2/9/2012,-0.561034702,1.412122727,-0.15914381,-0.580803824
2/10/2012,-0.631463563,-0.174410304,-0.511654682,1.861589982
2/13/2012,0.085834199,-0.12152587,0.400275618,1.01868842
2/14/2012,0.413854251,1.940967071,0.407938898,-0.732793136
2/15/2012,1.320607144,-0.051013291,1.718359749,1.212655671
2/16/2012,-0.679163789,1.112444266,-0.228113328,0.85387088
2/17/2012,0.980524965,1.323982003,1.166603601,0.551985593
2/20/2012,0.896987265,0.142896302,0.78343961,0.461945957
