"","ann.ret.36","ann.std.36","downrisk.36","drawdown.36","sharpe.36","sortino.36","info_ratio.36","omega.36","wl.36","skewness.36","kurtosis.36"
"CONTOPP.US.Equity",0.0082351134710783,0.155720618910614,0.0287520740396816,-0.261958540253937,-0.0743423881731171,0.0576692696611278,-0.292700941420254,1.09995227769359,0.527777777777778,0.284272707028616,-0.41337997332847
"CONTPAR.US.Equity",0.062956798866014,0.160596051677819,0.0287190555226162,-0.202632659564759,0.0245068326331985,0.213660887422175,0.116415936717891,1.41143788414975,0.555555555555556,0.19622720457348,0.460906221262958
"COROCPB.US.Equity",0.244800105083028,0.141247044638278,0.0122041659553886,-0.0552917200000002,0.347711791243769,1.57141240522955,1.5729860096834,4.64904862579281,0.694444444444444,1.64288118993784,3.96974882136522
"CRAWFON.US.Equity",0.0810465346150928,0.0327272289480647,0.00335265234967447,-0.0157,0.164948925267536,1.95617094380451,1.24619546424674,6.1214967462039,0.75,0.050570602547127,-0.210839827053951
"CRITLLC.US.Equity",0.0757858876005986,0.0753553835565974,0.00989153117992019,-0.0914179889176818,0.0612923152995851,0.640275548886927,1.07284639450051,2.13885045529243,0.472222222222222,0.480009668434632,-0.639413851092277
"CROPART.US.Equity",0.063730254766746,0.079384957193233,0.0137386316640341,-0.094738,0.0181819796093195,0.394265367842038,0.674154271661687,1.90697674418605,0.638888888888889,-0.202656888504159,0.87976038479259
"CRY770A.VI.Equity",-0.0134566939672449,0.400506266277023,0.0721060211758044,-0.367312809329553,0.00179713376841868,0.07222389604719,-0.595959728792321,1.14591143670776,0.527777777777778,0.773268772818823,4.17886003737989
"CUSHMOF.KY.Equity",-0.138979379019881,0.228142021823312,0.0518279497287258,-0.517501340881731,-0.231427744088054,-0.197607340960603,-0.988143433849236,0.677741990464162,0.361111111111111,-0.0732257031519951,0.385940378480411
"CUSHREN.US.Equity",-0.227559916843534,0.220560421095229,0.0517262130191797,-0.574186107907691,-0.382655681181631,-0.374351889019511,-1.31602468128229,0.454325920139147,0.416666666666667,1.23262764729985,2.9627433115864
"CUSHRNO.KY.Equity",-0.193276219074576,0.201590140215429,0.0472252750377262,-0.513763903803666,-0.362862534982096,-0.341267349561643,-1.2072202570534,0.469561051603773,0.444444444444444,0.994881105745443,2.95899364888007
"CUTTHUF.KY.Equity",0.0118450459062658,0.14420772789424,0.0280528399725906,-0.206170244674458,-0.0762939638563345,0.0650181744959352,-0.603474374688289,1.12228721908412,0.555555555555556,0.026379545672287,0.170013822685529
"DASTHET.US.Equity",0.177105404410658,0.204166503613641,0.0431663077211588,-0.222799,0.177820725778453,0.358621386177143,0.634221447985483,2.17672160777706,0.861111111111111,-1.69131371776587,6.58009781526358
"DAVSTLP.US.Equity",0.0150453163762951,0.108234170733118,0.0134219554793215,-0.112141999546578,-0.10588525569871,0.126037272979554,0.0852518528880992,1.21969696969697,0.416666666666667,3.13518226414737,13.2197316610028
"DERNMOF.US.Equity",-0.0130122657979528,0.0703887509753951,0.0149168304311308,-0.168603688879633,-0.289851820139697,-0.0596399411387185,-0.839144985703889,0.900837219095035,0.5,-0.103776484616686,-0.674102086346489
"DGHMENV.US.Equity",0.0277985150056925,0.0718167961208041,0.011489611041671,-0.117741573311618,-0.120865495134737,0.217087418447304,0.0414870175906079,1.39142545771578,0.472222222222222,0.6443187749741,0.350691839918346
"DIAMOND.US.Equity",0.0672861985997757,0.122131822460308,0.0221546234207821,-0.209503272987475,0.0296250218745601,0.272831187757957,0.26872723899725,1.54413989532357,0.638888888888889,-0.127183406382214,-0.421643026769347
