"","ann.ret.incep","ann.std.incep","downrisk.incep","drawdown.incep","sharpe.incep","sortino.incep","omega.incep","wl.incep","skewness.incep","kurtosis.incep"
"BAX.UN.Equity",0.174090588014605,0.185356873970666,0.0165827203665157,-0.223251848254398,-0.0614468992397079,0.206271701526899,0.586645045603592,0.545945945945946,-0.11764567277149,0.780908992752135
"BIIB.UW.Equity",0.295076240637163,0.309157744568537,0.0264089980360912,-0.51884576153988,0.0210637934733598,0.223524449836737,0.596685994147307,0.540540540540541,0.0159307665720658,5.708544223207
"BK.UN.Equity",0.126162644057661,0.240009557846924,0.0219703395213589,-0.442890424243056,-0.0648711911371827,0.129304796018672,0.557508854569711,0.513513513513513,-0.0937035371443529,1.89550595363313
"BMY.UN.Equity",0.152842165535062,0.217920175514902,0.0199658752490208,-0.363313054766889,-0.0596636369743993,0.160121177738815,0.573950217929252,0.548648648648649,-0.307630454289432,3.3472116132116
"BRK.B.UN.Equity",0.111717642104041,0.14940290450603,0.013157017198315,-0.223742179880892,-0.132642937997224,0.171151501081235,0.571533118694999,0.543243243243243,0.219436600847388,1.70129302762138
"C.UN.Equity",0.0816921400628523,0.310596575875967,0.0285692739232677,-0.538988680488564,-0.0596088699710506,0.0851448669490303,0.538087720395545,0.516216216216216,0.191051651044795,1.65912981923243
"CAT.UN.Equity",0.114643975573254,0.265344468073282,0.0240841733623691,-0.425936480556408,-0.0607977525333321,0.114716245576559,0.549907021136886,0.513513513513513,0.0945596548982326,1.23798444722964
"CL.UN.Equity",0.115379448839184,0.139709889372249,0.0128205904383998,-0.131999570701743,-0.139904793722497,0.178575702651624,0.575413396225978,0.551351351351351,-0.203528404613447,0.529234943274575
"CMCSA.UW.Equity",0.258048761506773,0.206797389113673,0.0166249543074357,-0.2359365351164,-0.00592475948102151,0.290532641628469,0.609254127197726,0.545945945945946,0.386729924859968,0.952274254806059
"COF.UN.Equity",0.113297321452663,0.264254627373307,0.0245590439486755,-0.321832455062487,-0.0617810058734422,0.111405098196026,0.548818951178686,0.540540540540541,-0.0292655933388629,1.11132744030408
"COP.UN.Equity",0.0586930488671096,0.261868402105317,0.0238765289606364,-0.593934822399075,-0.089500265969485,0.0732867174838211,0.533496511890202,0.521621621621622,0.426238125259864,4.07389011832287
"COST.UW.Equity",0.186592054313258,0.167700796578263,0.0147074089590651,-0.168701819192866,-0.0617218124381725,0.242367823769911,0.597994814734571,0.591891891891892,-0.0314367207501405,0.555263283334056
