Date1,Price1
6/21/2012,6.4135
6/22/2012,6.4113
6/25/2012,6.4225
6/26/2012,6.4215
6/27/2012,6.4145
6/28/2012,6.4205
6/29/2012,6.4094
7/2/2012,6.4125
7/3/2012,6.4025
7/4/2012,6.4015
7/5/2012,6.4095
7/6/2012,6.4175
7/9/2012,6.4245
7/10/2012,6.4212
7/11/2012,6.419
7/12/2012,6.424
7/13/2012,6.416
7/16/2012,6.419
7/17/2012,6.419
7/18/2012,6.414
7/19/2012,6.4155
7/20/2012,6.4167
7/23/2012,6.4265
7/24/2012,6.432
7/25/2012,6.4335
7/26/2012,6.4285
7/27/2012,6.4327
7/30/2012,6.436
7/31/2012,6.427
8/1/2012,6.431
8/2/2012,6.4325
8/3/2012,6.4225
8/6/2012,6.4265
8/7/2012,6.4249
8/8/2012,6.4248
8/9/2012,6.423
8/10/2012,6.429
8/13/2012,6.425
8/14/2012,6.423
8/15/2012,6.441
8/16/2012,6.4465
8/17/2012,6.4461
8/20/2012,6.455
8/21/2012,6.4415
8/22/2012,6.444
8/23/2012,6.4426
8/24/2012,6.444
8/27/2012,6.4492
8/28/2012,6.4495
8/29/2012,6.4515
8/30/2012,6.453
8/31/2012,6.4515
9/3/2012,6.4465
9/4/2012,6.4378
9/5/2012,6.4412
9/6/2012,6.4385
9/7/2012,6.4251
9/10/2012,6.421
9/11/2012,6.42
9/12/2012,6.418
9/13/2012,6.4195
9/14/2012,6.403
9/17/2012,6.4069
9/18/2012,6.4195
9/19/2012,6.4145
9/20/2012,6.4175
9/21/2012,6.412
9/24/2012,6.4189
9/25/2012,6.4195
9/26/2012,6.4207
9/27/2012,6.4165
9/28/2012,6.4082
10/1/2012,6.4097
10/2/2012,6.4065
10/3/2012,6.407
10/4/2012,6.404
10/5/2012,6.393
10/8/2012,6.3915
10/9/2012,6.3955
10/10/2012,6.3985
10/11/2012,6.3735
10/12/2012,6.3565
10/15/2012,6.3565
10/16/2012,6.357
10/17/2012,6.352
10/18/2012,6.3665
10/19/2012,6.368
10/22/2012,6.364
10/23/2012,6.3735
10/24/2012,6.367
10/25/2012,6.3515
10/26/2012,6.3485
10/29/2012,6.36
10/30/2012,6.3505
10/31/2012,6.348
11/1/2012,6.3525
11/2/2012,6.3585
11/5/2012,6.3649
11/6/2012,6.3576
11/7/2012,6.3535
11/8/2012,6.3555
11/9/2012,6.3485
11/12/2012,6.3345
11/13/2012,6.3305
11/14/2012,6.322
11/15/2012,6.334
11/16/2012,6.347
11/19/2012,6.3325
11/20/2012,6.331
11/21/2012,6.332
11/22/2012,6.3298
11/23/2012,6.328
11/26/2012,6.3285
11/27/2012,6.3295
11/28/2012,6.3285
11/29/2012,6.3252
11/30/2012,6.3215
12/3/2012,6.321
12/4/2012,6.3195
12/5/2012,6.314
12/6/2012,6.3164
12/7/2012,6.3145
12/10/2012,6.314
12/11/2012,6.3205
12/12/2012,6.3125
12/13/2012,6.315
12/14/2012,6.3145
12/17/2012,6.3145
12/18/2012,6.3118
12/19/2012,6.31
12/20/2012,6.315
12/21/2012,6.332
12/24/2012,6.329
12/25/2012,6.331
12/26/2012,6.337
12/27/2012,6.3345
12/28/2012,6.3325
12/31/2012,6.331
1/1/2013,6.331
1/2/2013,6.314
1/3/2013,6.314
1/4/2013,6.3175
1/7/2013,6.3193
1/8/2013,6.3065
1/9/2013,6.2965
1/10/2013,6.2685
1/11/2013,6.276
1/14/2013,6.2832
1/15/2013,6.2835
1/16/2013,6.2855
1/17/2013,6.277
1/18/2013,6.281
1/21/2013,6.282
1/22/2013,6.2775
1/23/2013,6.2845
1/24/2013,6.2878
1/25/2013,6.3025
1/28/2013,6.3238
1/29/2013,6.3127
1/30/2013,6.3063
1/31/2013,6.309
2/1/2013,6.3175
2/4/2013,6.3225
2/5/2013,6.315
2/6/2013,6.3208
2/7/2013,6.324
2/8/2013,6.3135
2/11/2013,6.3185
2/12/2013,6.3145
2/13/2013,6.3165
2/14/2013,6.316
2/15/2013,6.314
2/18/2013,6.3307
2/19/2013,6.3225
2/20/2013,6.3205
2/21/2013,6.326
2/22/2013,6.3233
2/25/2013,6.324
2/26/2013,6.327
2/27/2013,6.3238
2/28/2013,6.3195
3/1/2013,6.321
3/4/2013,6.3275
3/5/2013,6.324
3/6/2013,6.3182
3/7/2013,6.316
3/8/2013,6.3125
3/11/2013,6.3105
3/12/2013,6.3075
3/13/2013,6.3045
3/14/2013,6.305
3/15/2013,6.3035
3/18/2013,6.3055
3/19/2013,6.3125
3/20/2013,6.311
3/21/2013,6.3095
3/22/2013,6.304
3/25/2013,6.3035
3/26/2013,6.299
3/27/2013,6.303
3/28/2013,6.307
3/29/2013,6.302
4/1/2013,6.2968
4/2/2013,6.2878
4/3/2013,6.2835
4/4/2013,6.2918
