"","ann.ret.incep","ann.std.incep","downrisk.incep","drawdown.incep","sharpe.incep","sortino.incep","omega.incep","wl.incep","skewness.incep","kurtosis.incep"
"X600031.CH.Equity",0.0616368483109122,0.408027714154126,0.0372562013657967,-0.732164774335791,-0.03981242690003,0.0737402866185689,0.533909236957651,0.486263736263736,0.205736309129331,3.96889078665155
"X600036.CH.Equity",0.149233236593928,0.271481214488435,0.0212312814245484,-0.329976074394485,-0.0433341484380494,0.158660712962856,0.561210450064309,0.476584022038567,0.932464635756801,2.11992864718254
"X600048.CH.Equity",0.14578331987092,0.42243592263594,0.0350772977199665,-0.51868781467081,-0.0122171201828605,0.122138968037331,0.549241528886594,0.478021978021978,0.778949568870213,1.86639077723428
"X600050.CH.Equity",0.0629512121852298,0.370171449325157,0.0314072135383729,-0.60446590922964,-0.0495485822681243,0.0782143781788255,0.535462605099702,0.463976945244957,0.920917398370455,5.33416857005331
"X600104.CH.Equity",0.198146496908723,0.342289208756193,0.0288472549211511,-0.462185010965998,-0.00879755323686403,0.158850704934879,0.565292235088947,0.533898305084746,0.717011436061544,3.68439039169452
"X600111.CH.Equity",0.10605743471993,0.444526450562833,0.0388418073405193,-0.638134353091294,-0.0193052793433799,0.0980884150235419,0.543625638939771,0.491758241758242,0.427675581943785,1.82782830547228
"X600150.CH.Equity",-0.0279256792841569,0.448951478755872,0.0417078438042072,-0.690250442443044,-0.0580319610507475,0.0332557300228624,0.515626163838694,0.482093663911846,0.305128718088852,4.52903510508128
"X600196.CH.Equity",0.136301903949295,0.318572882311673,0.0279973925554877,-0.515505684372634,-0.0357289893924575,0.122209979615049,0.551314012065911,0.541436464088398,0.438083563672334,1.80316051339193
"X600256.CH.Equity",-0.0746986217768691,0.399620454919274,0.0383203649435759,-0.713035623655119,-0.0895604206753432,0.000960209543011301,0.500458633591426,0.5,0.226267104032783,1.97372980729228
"X600276.CH.Equity",0.251255206372667,0.276862405474922,0.0252159210635348,-0.353147122468597,0.00148732960730328,0.200552039438193,0.585283625808482,0.574175824175824,-0.223152785386857,0.783194045272888
"X600309.CH.Equity",0.197690213409003,0.330051823982051,0.0298651549884157,-0.549657751913899,-0.0104813310336312,0.151355985736727,0.562415915708931,0.528925619834711,-0.0703865505962506,0.210862122005405
"X600362.CH.Equity",-0.0288086948048615,0.39839301333794,0.0354701760631844,-0.719717822795587,-0.0736954351953501,0.0261779279762152,0.511707843025456,0.480769230769231,0.809273266070002,4.74836297797767
"X600372.CH.Equity",0.231246781768696,0.848693254788286,0.0441019713972711,-0.680920150228176,0.0292074247978422,0.191317913361561,0.579072132177135,0.52,10.4922724783794,159.746844995689
"X600383.CH.Equity",0.110784761188381,0.422564434723054,0.0370086903565817,-0.390804232197891,-0.0221169267138712,0.100083709995653,0.543573756178242,0.513736263736264,0.585340018455934,2.90648537589465
"X600406.CH.Equity",0.10355100536944,0.42404969947194,0.0405127853757927,-0.560276727120205,-0.0229038502878209,0.0901724348160754,0.542003022726539,0.525222551928783,-0.31917587091988,2.80437488542592
"X600518.CH.Equity",0.229077498105424,0.379731759400545,0.0332092775101146,-0.473405998459109,0.0065954382314656,0.161018597683651,0.571914461139292,0.520661157024793,0.292620077348856,3.66699380865393
"X600519.CH.Equity",0.283192097237254,0.305298585988138,0.0246712573340377,-0.531056898340353,0.0161642737426634,0.230403808423223,0.589901614602243,0.527472527472527,0.571290773951653,1.7099045380156
"X600535.CH.Equity",0.16535631843758,0.295151258337643,0.0267933251679453,-0.39916721605913,-0.0297675561367359,0.141140021760411,0.558351395739105,0.530386740331492,-0.0154520249713276,0.269534906687126
"X600583.CH.Equity",0.0308933026151239,0.389158775672218,0.0349272535059626,-0.613466146111345,-0.055301337189673,0.0577077775519935,0.526071631253307,0.489010989010989,0.569889242282091,2.96616093052512
"X600585.CH.Equity",0.135329541255891,0.374036167344724,0.033786230666829,-0.537521504905347,-0.0235269997429744,0.111870030840034,0.546323576233201,0.512396694214876,0.130745721676219,0.537208482547533
"X600637.CH.Equity",0.206964458754134,0.553776607151707,0.046106820519427,-0.736015153592186,0.0185243419042526,0.139297759640609,0.562802270884739,0.529780564263323,1.42084915600117,10.7350426192209
"X600690.CH.Equity",0.187820169313976,0.359199369379643,0.030189535176744,-0.501748926540454,-0.00936863832665993,0.150162281506771,0.561209562123882,0.494219653179191,0.477618068045611,1.48387018516029
"X600703.CH.Equity",0.136459828689315,0.420204946319957,0.0365166438522119,-0.536226405918729,-0.0150935486861513,0.11283812471748,0.549119477685233,0.522099447513812,0.670105316072163,3.37325976012067
"X600795.CH.Equity",0.0523616229518127,0.292523537367941,0.0261400990347195,-0.586900722944821,-0.0789969397817294,0.0686849954885387,0.534016356189153,0.452247191011236,0.557587887734543,7.75402518903572
"X600837.CH.Equity",0.073687866104885,0.394336633575598,0.0336550029638982,-0.574942454422194,-0.0397326563088713,0.0840063368740835,0.537238958775535,0.478021978021978,0.727059948954838,3.00657721736532
"X600887.CH.Equity",0.241720767467074,0.359964049824534,0.0307736301292886,-0.383419716993373,0.00810280984131821,0.175620370440993,0.569395807981827,0.495821727019499,0.200980399512279,0.666662002582621
"X600900.CH.Equity",0.145587301795726,0.190236538674918,0.0162246315012353,-0.256309051464263,-0.0772533860582981,0.182560305544382,0.576681734108824,0.514619883040936,0.287118556850204,2.20338696668856
"X600999.CH.Equity",0.0323769282681201,0.42506057899861,0.0332691733084149,-0.595033649408588,-0.0469276208942743,0.0671443634879779,0.528892677824104,0.471074380165289,2.14402335212063,13.3619016479254
"X601006.CH.Equity",0.0649354303310981,0.260065992997024,0.0234123064659954,-0.532594611961637,-0.087210641921002,0.079222330154502,0.536001894962873,0.480769230769231,0.337811436157172,2.50230505099962
"X601018.CH.Equity",0.133307347708435,0.396068037991057,0.0335199844477546,-0.633832090902147,-0.0201658945816197,0.116121569057447,0.560007125005763,0.473684210526316,0.717960343759753,8.32242883032668
"X601088.CH.Equity",0.0310611709532356,0.314352665345206,0.0283733004591752,-0.54314098429881,-0.0797658380234132,0.0536694027569575,0.525380207549627,0.5,0.68503008107254,6.18576046811423
"X601111.CH.Equity",-0.0292663171779063,0.398526144707546,0.0370605979272836,-0.782104203926275,-0.0733140978295501,0.0255864733175799,0.511812099282395,0.483333333333333,0.233309796015521,2.16842190297268
"X601117.CH.Equity",0.110607398802852,0.413451210360806,0.0383097719116556,-0.592362377155861,-0.0233853512289063,0.0955158990800207,0.541567617089053,0.524725274725275,0.0570699552855563,1.2868304310523
"X601158.CH.Equity",0.0115392335288966,0.358223566015779,0.032929817896212,-0.54315354023621,-0.0715078110154362,0.0439641066984079,0.52152606208145,0.484848484848485,0.291065594308079,4.26889332308058
"X601166.CH.Equity",0.141148168488228,0.310793073291426,0.0253154022450602,-0.324363369564224,-0.0359881157406608,0.136238775135891,0.557264397756088,0.460055096418733,0.782964934825116,2.77318281583644
"X601169.CH.Equity",0.0964783687401656,0.278165063507985,0.0237066361407294,-0.401155023958507,-0.0647257818606404,0.105592030379828,0.545178098067089,0.502793296089385,0.624298967901513,1.7131387265443
"X601186.CH.Equity",0.107452896612198,0.452788474671785,0.0365797913087958,-0.644684033961235,-0.0184772930385963,0.104970587868797,0.54700164145655,0.494505494505495,1.4629822896335,8.56493161131066
"X601225.CH.Equity",0.237123954736032,0.482630246162242,0.0450693645306259,-0.66100637228282,0.0203977210693435,0.141231067061509,0.564887834183092,0.533333333333333,-0.299460081323926,1.65326633521013
"X601288.CH.Equity",0.102350537717047,0.22055944313987,0.0181356988008309,-0.258881745890021,-0.0872270165517038,0.128589833102412,0.55895832055248,0.473684210526316,1.13665802455715,6.19477311796792
