,939 HK Equity,,3988 HK Equity,,2628 HK Equity,,3328 HK Equity,,2318 HK Equity,,998 HK Equity,,2328 HK Equity,,2007 HK Equity,,960 HK Equity,,2777 HK Equity,,410 HK Equity,,3618 HK Equity,,3900 HK Equity,,3377 HK Equity,,272 HK Equity,,1918 HK Equity,,588 HK Equity,,1387 HK Equity,,1638 HK Equity,,337 HK Equity,,1777 HK Equity,,2868 HK Equity,,1238 HK Equity,,832 HK Equity,,3883 HK Equity,,2118 HK Equity,,8207 HK Equity,,733 HK Equity,,
6/1/2010,0.77452,6/1/2010,0.4714,6/1/2010,4.30647,6/1/2010,0.9013,6/1/2010,7.88129,6/1/2010,0.5690,6/1/2010,0.8082,6/1/2010,0.26673,12/12/2011,1.1615,6/1/2010,1.2117,6/1/2010,0.51986,1/14/2013,0.5727,6/1/2010,1.05512,6/1/2010,0.7098,6/1/2010,0.3880,10/31/2012,0.52901,6/1/2010,0.24132,11/12/2010,0.1871,1/4/2012,0.1764,6/1/2010,0.40433,12/16/2011,0.0886,6/1/2010,0.28881,11/7/2011,0.1442,7/6/2010,0.23288,6/1/2010,0.1515,8/7/2012,0.22823,12/13/2012,0.0929,6/1/2010,0.2363,,
6/2/2010,0.7705,6/2/2010,0.4676,6/2/2010,4.27926,6/2/2010,0.8922,6/2/2010,7.86563,6/2/2010,0.5601,6/2/2010,0.7880,6/2/2010,0.26296,12/13/2011,1.1481,6/2/2010,1.2216,6/2/2010,0.52224,1/15/2013,0.6024,6/2/2010,1.02779,6/2/2010,0.7250,6/2/2010,0.3903,11/1/2012,0.54064,6/2/2010,0.23738,11/15/2010,0.1870,1/5/2012,0.1790,6/2/2010,0.40675,12/19/2011,0.0861,6/2/2010,0.28486,11/8/2011,0.1467,7/7/2010,0.23784,6/2/2010,0.1527,8/8/2012,0.2295,12/14/2012,0.0981,6/2/2010,0.23427,,
6/3/2010,0.77822,6/3/2010,0.4776,6/3/2010,4.36407,6/3/2010,0.9102,6/3/2010,8.00293,6/3/2010,0.5863,6/3/2010,0.8140,6/3/2010,0.26549,12/14/2011,1.1497,6/3/2010,1.2759,6/3/2010,0.51727,1/16/2013,0.6050,6/3/2010,1.05636,6/3/2010,0.7355,6/3/2010,0.3963,11/2/2012,0.54708,6/3/2010,0.24131,11/16/2010,0.1844,1/6/2012,0.1764,6/3/2010,0.41844,12/20/2011,0.0861,6/3/2010,0.28495,11/9/2011,0.1441,7/8/2010,0.23793,6/3/2010,0.1566,8/9/2012,0.23079,12/17/2012,0.0968,6/3/2010,0.23532,,
6/4/2010,0.77695,6/4/2010,0.4775,6/4/2010,4.39599,6/4/2010,0.9068,6/4/2010,8.17589,6/4/2010,0.5987,6/4/2010,0.8116,6/4/2010,0.26793,12/15/2011,1.1399,6/4/2010,1.3015,6/4/2010,0.52495,1/17/2013,0.6076,6/4/2010,1.06659,6/4/2010,0.7483,6/4/2010,0.3987,11/5/2012,0.54837,6/4/2010,0.24258,11/17/2010,0.1792,1/9/2012,0.1738,6/4/2010,0.41457,12/21/2011,0.0874,6/4/2010,0.27852,11/10/2011,0.1350,7/9/2010,0.24464,6/4/2010,0.1604,8/10/2012,0.22945,12/18/2012,0.0955,6/4/2010,0.23725,,
6/7/2010,0.76213,6/7/2010,0.4695,6/7/2010,4.29344,6/7/2010,0.8988,6/7/2010,7.9717,6/7/2010,0.5817,6/7/2010,0.7836,6/7/2010,0.26143,12/16/2011,1.1537,6/7/2010,1.2496,6/7/2010,0.51649,1/18/2013,0.6462,6/7/2010,1.04965,6/7/2010,0.7254,6/7/2010,0.3863,11/6/2012,0.55223,6/7/2010,0.23966,11/18/2010,0.1832,1/10/2012,0.1764,6/7/2010,0.38705,12/22/2011,0.0861,6/7/2010,0.27299,11/11/2011,0.1324,7/12/2010,0.25097,6/7/2010,0.1487,8/13/2012,0.22813,12/19/2012,0.0968,6/7/2010,0.23594,,
6/8/2010,0.76062,6/8/2010,0.4693,6/8/2010,4.27268,6/8/2010,0.9273,6/8/2010,7.89197,6/8/2010,0.5827,6/8/2010,0.8078,6/8/2010,0.25767,12/19/2011,1.1548,6/8/2010,1.2491,6/8/2010,0.51887,1/21/2013,0.6320,6/8/2010,1.0608,6/8/2010,0.7392,6/8/2010,0.3897,11/7/2012,0.55996,6/8/2010,0.23958,11/19/2010,0.1935,1/11/2012,0.1790,6/8/2010,0.39972,12/23/2011,0.0874,6/8/2010,0.27673,11/14/2011,0.1401,7/13/2010,0.24966,6/8/2010,0.1473,8/14/2012,0.2256,12/20/2012,0.0955,6/8/2010,0.23779,,
6/9/2010,0.76595,6/9/2010,0.4744,6/9/2010,4.34521,6/9/2010,0.9288,6/9/2010,7.94699,6/9/2010,0.5941,6/9/2010,0.8211,6/9/2010,0.25902,12/20/2011,1.1218,6/9/2010,1.2741,6/9/2010,0.53065,1/22/2013,0.6526,6/9/2010,1.05746,6/9/2010,0.7293,6/9/2010,0.3910,11/8/2012,0.55861,6/9/2010,0.24097,11/22/2010,0.1934,1/12/2012,0.1790,6/9/2010,0.39094,12/28/2011,0.0862,6/9/2010,0.27814,11/15/2011,0.1413,7/14/2010,0.25351,6/9/2010,0.1461,8/15/2012,0.22172,12/21/2012,0.0955,6/9/2010,0.23402,,
6/10/2010,0.76812,6/10/2010,0.4750,6/10/2010,4.32478,6/10/2010,0.9355,6/10/2010,7.90524,6/10/2010,0.6072,6/10/2010,0.8232,6/10/2010,0.25933,12/21/2011,1.1411,6/10/2010,1.2679,6/10/2010,0.52744,1/23/2013,0.6385,6/10/2010,1.07157,6/10/2010,0.7276,6/10/2010,0.3915,11/9/2012,0.5496,6/10/2010,0.23741,11/23/2010,0.1908,1/13/2012,0.1815,6/10/2010,0.38885,12/29/2011,0.0849,6/10/2010,0.27206,11/16/2011,0.1375,7/15/2010,0.24602,6/10/2010,0.1463,8/16/2012,0.22174,12/24/2012,0.0929,6/10/2010,0.24208,,
6/11/2010,0.77076,6/11/2010,0.4788,6/11/2010,4.38979,6/11/2010,0.9580,6/11/2010,7.97094,6/11/2010,0.6136,6/11/2010,0.8854,6/11/2010,0.26305,12/22/2011,1.1372,6/11/2010,1.2797,6/11/2010,0.53011,1/24/2013,0.6372,6/11/2010,1.07948,6/11/2010,0.7381,6/11/2010,0.3904,11/12/2012,0.54963,6/11/2010,0.24003,11/24/2010,0.1869,1/16/2012,0.1815,6/11/2010,0.40047,12/30/2011,0.0876,6/11/2010,0.27212,11/17/2011,0.1400,7/16/2010,0.23971,6/11/2010,0.1450,8/17/2012,0.22948,12/27/2012,0.0968,6/11/2010,0.24796,,
6/14/2010,0.77938,6/14/2010,0.4849,6/14/2010,4.42773,6/14/2010,0.9707,6/14/2010,8.08542,6/14/2010,0.6209,6/14/2010,0.8923,6/14/2010,0.26668,12/23/2011,1.1612,6/14/2010,1.3116,6/14/2010,0.54545,1/25/2013,0.6255,6/14/2010,1.11014,6/14/2010,0.7444,6/14/2010,0.3951,11/13/2012,0.5406,6/14/2010,0.24641,11/25/2010,0.1920,1/17/2012,0.1906,6/14/2010,0.4094,1/3/2012,0.0888,6/14/2010,0.28235,11/18/2011,0.1387,7/19/2010,0.23829,6/14/2010,0.1489,8/20/2012,0.22817,12/28/2012,0.0968,6/14/2010,0.24599,,
6/15/2010,0.78439,6/15/2010,0.4837,6/15/2010,4.44074,6/15/2010,0.9743,6/15/2010,8.04723,6/15/2010,0.6123,6/15/2010,0.9087,6/15/2010,0.26302,12/28/2011,1.1265,6/15/2010,1.2963,6/15/2010,0.5583,1/28/2013,0.6226,6/15/2010,1.1012,6/15/2010,0.7418,6/15/2010,0.3927,11/14/2012,0.56254,6/15/2010,0.25284,11/26/2010,0.1880,1/18/2012,0.1855,6/15/2010,0.39787,1/4/2012,0.0863,6/15/2010,0.27979,11/21/2011,0.1335,7/20/2010,0.24961,6/15/2010,0.1502,8/21/2012,0.22819,12/31/2012,0.0955,6/15/2010,0.24988,,
6/17/2010,0.78742,6/17/2010,0.4828,6/17/2010,4.47593,6/17/2010,0.9656,6/17/2010,8.05281,6/17/2010,0.6201,6/17/2010,0.9011,6/17/2010,0.25953,12/29/2011,1.1065,6/17/2010,1.3023,6/17/2010,0.55997,1/29/2013,0.6071,6/17/2010,1.11738,6/17/2010,0.7449,6/17/2010,0.3989,11/15/2012,0.54567,6/17/2010,0.25173,11/29/2010,0.1880,1/19/2012,0.1946,6/17/2010,0.39943,1/5/2012,0.0876,6/17/2010,0.28255,11/22/2011,0.1309,7/21/2010,0.25332,6/17/2010,0.1516,8/22/2012,0.22562,1/2/2013,0.1006,6/17/2010,0.25395,,
6/18/2010,0.79777,6/18/2010,0.4867,6/18/2010,4.49733,6/18/2010,0.9766,6/18/2010,8.05664,6/18/2010,0.6217,6/18/2010,0.8898,6/18/2010,0.26701,12/30/2011,1.1305,6/18/2010,1.3312,6/18/2010,0.56666,1/30/2013,0.6109,6/18/2010,1.12305,6/18/2010,0.7607,6/18/2010,0.4157,11/16/2012,0.55084,6/18/2010,0.24671,11/30/2010,0.1816,1/20/2012,0.2088,6/18/2010,0.4009,1/6/2012,0.0863,6/18/2010,0.29425,11/23/2011,0.1322,7/22/2010,0.2509,6/18/2010,0.1529,8/23/2012,0.22821,1/3/2013,0.1045,6/18/2010,0.25407,,
6/21/2010,0.83889,6/21/2010,0.5047,6/21/2010,4.594,6/21/2010,1.0400,6/21/2010,8.58963,6/21/2010,0.6512,6/21/2010,0.9568,6/21/2010,0.27844,1/3/2012,1.1187,6/21/2010,1.4335,6/21/2010,0.58551,1/31/2013,0.5944,6/21/2010,1.17488,6/21/2010,0.8223,6/21/2010,0.4388,11/19/2012,0.5547,6/21/2010,0.26251,12/1/2010,0.1829,1/26/2012,0.2127,6/21/2010,0.44138,1/9/2012,0.0876,6/21/2010,0.31013,11/24/2011,0.1296,7/23/2010,0.25112,6/21/2010,0.1609,8/24/2012,0.22819,1/4/2013,0.1110,6/21/2010,0.26614,,
6/22/2010,0.83662,6/22/2010,0.5041,6/22/2010,4.6141,6/22/2010,1.0411,6/22/2010,8.53416,6/22/2010,0.6541,6/22/2010,0.9392,6/22/2010,0.27932,1/4/2012,1.0788,6/22/2010,1.4395,6/22/2010,0.57965,2/1/2013,0.6202,6/22/2010,1.15931,6/22/2010,0.8007,6/22/2010,0.4383,11/20/2012,0.56644,6/22/2010,0.25834,12/2/2010,0.1841,1/27/2012,0.2102,6/22/2010,0.44085,1/10/2012,0.0901,6/22/2010,0.30589,11/25/2011,0.1321,7/26/2010,0.25242,6/22/2010,0.1594,8/27/2012,0.22564,1/7/2013,0.1148,6/22/2010,0.26484,,
6/23/2010,0.83325,6/23/2010,0.5055,6/23/2010,4.61618,6/23/2010,1.0228,6/23/2010,8.63443,6/23/2010,0.6531,6/23/2010,0.9115,6/23/2010,0.28067,1/5/2012,1.0431,6/23/2010,1.3990,6/23/2010,0.58377,2/4/2013,0.6242,6/23/2010,1.17655,6/23/2010,0.7972,6/23/2010,0.4337,11/21/2012,0.57803,6/23/2010,0.25974,12/3/2010,0.1830,1/30/2012,0.1986,6/23/2010,0.43847,1/11/2012,0.0901,6/23/2010,0.30217,11/28/2011,0.1334,7/27/2010,0.25108,6/23/2010,0.1569,8/28/2012,0.22691,1/8/2013,0.1148,6/23/2010,0.26496,,
6/24/2010,0.83443,6/24/2010,0.5030,6/24/2010,4.56439,6/24/2010,1.0029,6/24/2010,8.58877,6/24/2010,0.6469,6/24/2010,0.9115,6/24/2010,0.2733,1/6/2012,1.0031,6/24/2010,1.3706,6/24/2010,0.58373,2/5/2013,0.6061,6/24/2010,1.1636,6/24/2010,0.7779,6/24/2010,0.4266,11/22/2012,0.61284,6/24/2010,0.25972,12/6/2010,0.1804,1/31/2012,0.2024,6/24/2010,0.43458,1/12/2012,0.0940,6/24/2010,0.29701,11/29/2011,0.1322,7/28/2010,0.25112,6/24/2010,0.1556,8/29/2012,0.22822,1/9/2013,0.1226,6/24/2010,0.27176,,
6/25/2010,0.83554,6/25/2010,0.5005,6/25/2010,4.56363,6/25/2010,1.0226,6/25/2010,8.52948,6/25/2010,0.6455,6/25/2010,0.8926,6/25/2010,0.26713,1/9/2012,1.0520,6/25/2010,1.3781,6/25/2010,0.58234,2/6/2013,0.6126,6/25/2010,1.1634,6/25/2010,0.7649,6/25/2010,0.4159,11/23/2012,0.62192,6/25/2010,0.25196,12/7/2010,0.1804,2/1/2012,0.1986,6/25/2010,0.42165,1/13/2012,0.0953,6/25/2010,0.29567,11/30/2011,0.1326,7/29/2010,0.2499,6/25/2010,0.1543,8/30/2012,0.22692,1/10/2013,0.1174,6/25/2010,0.26587,,
6/28/2010,0.84147,6/28/2010,0.5015,6/28/2010,4.56841,6/28/2010,1.0175,6/28/2010,8.48144,6/28/2010,0.6478,6/28/2010,0.9016,6/28/2010,0.26091,1/10/2012,1.0817,6/28/2010,1.3699,6/28/2010,0.58985,2/7/2013,0.5893,6/28/2010,1.12315,6/28/2010,0.7659,6/28/2010,0.4169,11/26/2012,0.6129,6/28/2010,0.25187,12/8/2010,0.1777,2/2/2012,0.2050,6/28/2010,0.4215,1/16/2012,0.0940,6/28/2010,0.293,12/1/2011,0.1339,7/30/2010,0.2511,6/28/2010,0.1542,8/31/2012,0.2282,1/11/2013,0.1226,6/28/2010,0.26188,,
6/29/2010,0.82259,6/29/2010,0.4891,6/29/2010,4.43893,6/29/2010,0.9823,6/29/2010,8.2676,6/29/2010,0.6203,6/29/2010,0.8710,6/29/2010,0.25962,1/11/2012,1.0983,6/29/2010,1.3028,6/29/2010,0.58201,2/8/2013,0.5803,6/29/2010,1.07665,6/29/2010,0.7400,6/29/2010,0.4026,11/27/2012,0.63095,6/29/2010,0.24668,12/9/2010,0.1827,2/3/2012,0.2063,6/29/2010,0.40214,1/17/2012,0.0992,6/29/2010,0.28137,12/2/2011,0.1326,8/2/2010,0.25246,6/29/2010,0.1503,9/3/2012,0.22689,1/14/2013,0.1264,6/29/2010,0.25988,,
6/30/2010,0.78988,6/30/2010,0.4889,6/30/2010,4.45007,6/30/2010,0.9679,6/30/2010,8.26441,6/30/2010,0.6189,6/30/2010,0.8777,6/30/2010,0.25585,1/12/2012,1.1188,6/30/2010,1.2830,6/30/2010,0.58564,2/14/2013,0.5997,6/30/2010,1.0711,6/30/2010,0.7282,6/30/2010,0.4013,11/28/2012,0.62579,6/30/2010,0.2453,12/10/2010,0.1814,2/6/2012,0.2038,6/30/2010,0.41739,1/18/2012,0.1005,6/30/2010,0.28511,12/5/2011,0.1313,8/3/2010,0.25006,6/30/2010,0.1477,9/4/2012,0.22949,1/15/2013,0.1238,6/30/2010,0.26659,,
7/2/2010,0.77167,7/2/2010,0.4884,7/2/2010,4.39429,7/2/2010,0.9459,7/2/2010,8.25614,7/2/2010,0.5935,7/2/2010,0.8604,7/2/2010,0.26171,1/13/2012,1.1588,7/2/2010,1.2432,7/2/2010,0.57992,2/15/2013,0.6010,7/2/2010,1.07003,7/2/2010,0.7082,7/2/2010,0.3902,11/29/2012,0.6129,7/2/2010,0.24505,12/13/2010,0.1800,2/7/2012,0.2012,7/2/2010,0.41698,1/19/2012,0.1018,7/2/2010,0.27841,12/6/2011,0.1312,8/4/2010,0.2462,7/2/2010,0.1463,9/5/2012,0.22947,1/16/2013,0.1213,7/2/2010,0.2566,,
7/5/2010,0.76432,7/5/2010,0.4824,7/5/2010,4.35006,7/5/2010,0.9356,7/5/2010,8.25741,7/5/2010,0.5898,7/5/2010,0.8582,7/5/2010,0.25686,1/16/2012,1.1341,7/5/2010,1.2306,7/5/2010,0.59156,2/18/2013,0.5971,7/5/2010,1.06378,7/5/2010,0.7045,7/5/2010,0.3903,11/30/2012,0.64902,7/5/2010,0.24381,12/14/2010,0.1801,2/8/2012,0.2089,7/5/2010,0.41832,1/20/2012,0.1031,7/5/2010,0.27332,12/7/2011,0.1325,8/5/2010,0.24618,7/5/2010,0.1450,9/6/2012,0.22819,1/17/2013,0.1200,7/5/2010,0.25372,,
7/6/2010,0.78218,7/6/2010,0.4912,7/6/2010,4.43591,7/6/2010,0.9653,7/6/2010,8.26197,7/6/2010,0.6137,7/6/2010,0.8985,7/6/2010,0.2619,1/17/2012,1.2376,7/6/2010,1.2762,7/6/2010,0.59573,2/19/2013,0.5829,7/6/2010,1.12342,7/6/2010,0.7267,7/6/2010,0.3940,12/3/2012,0.65031,7/6/2010,0.25036,12/15/2010,0.1801,2/9/2012,0.2244,7/6/2010,0.43268,1/26/2012,0.1057,7/6/2010,0.28503,12/8/2011,0.1312,8/6/2010,0.24372,7/6/2010,0.1489,9/7/2012,0.2295,1/18/2013,0.1200,7/6/2010,0.25775,,
7/7/2010,0.77204,7/7/2010,0.4850,7/7/2010,4.37071,7/7/2010,0.9545,7/7/2010,8.26006,7/7/2010,0.6086,7/7/2010,0.9111,7/7/2010,0.25939,1/18/2012,1.2369,7/7/2010,1.2618,7/7/2010,0.59046,2/20/2013,0.5777,7/7/2010,1.12316,7/7/2010,0.7252,7/7/2010,0.3928,12/4/2012,0.64902,7/7/2010,0.24645,12/16/2010,0.1787,2/10/2012,0.2192,7/7/2010,0.44285,1/27/2012,0.1044,7/7/2010,0.28368,12/9/2011,0.1298,8/9/2010,0.24123,7/7/2010,0.1476,9/10/2012,0.2321,1/21/2013,0.1290,7/7/2010,0.25283,,
7/8/2010,0.77359,7/8/2010,0.4901,7/8/2010,4.41739,7/8/2010,0.9584,7/8/2010,8.26335,7/8/2010,0.6163,7/8/2010,0.9033,7/8/2010,0.26316,1/19/2012,1.2758,7/8/2010,1.2970,7/8/2010,0.574,2/21/2013,0.5467,7/8/2010,1.11719,7/8/2010,0.7320,7/8/2010,0.4012,12/5/2012,0.67354,7/8/2010,0.24784,12/17/2010,0.1787,2/13/2012,0.2089,7/8/2010,0.44174,1/30/2012,0.1032,7/8/2010,0.29406,12/12/2011,0.1272,8/10/2010,0.24369,7/8/2010,0.1477,9/11/2012,0.23213,1/22/2013,0.1367,7/8/2010,0.25391,,
7/9/2010,0.78997,7/9/2010,0.5033,7/9/2010,4.53475,7/9/2010,0.9836,7/9/2010,8.27834,7/9/2010,0.6299,7/9/2010,0.9272,7/9/2010,0.28081,1/20/2012,1.2487,7/9/2010,1.3842,7/9/2010,0.61493,2/22/2013,0.5454,7/9/2010,1.15524,7/9/2010,0.7616,7/9/2010,0.4185,12/6/2012,0.67741,7/9/2010,0.256,12/20/2010,0.1775,2/14/2012,0.2102,7/9/2010,0.44769,1/31/2012,0.1044,7/9/2010,0.30746,12/13/2011,0.1286,8/11/2010,0.24233,7/9/2010,0.1531,9/12/2012,0.22826,1/23/2013,0.1367,7/9/2010,0.26411,,
7/12/2010,0.80888,7/12/2010,0.5084,7/12/2010,4.36858,7/12/2010,0.9943,7/12/2010,8.28036,7/12/2010,0.6387,7/12/2010,0.9145,7/12/2010,0.28456,1/26/2012,1.3330,7/12/2010,1.4283,7/12/2010,0.63052,2/25/2013,0.5531,7/12/2010,1.19541,7/12/2010,0.7643,7/12/2010,0.4234,12/7/2012,0.69418,7/12/2010,0.2728,12/21/2010,0.1775,2/15/2012,0.2205,7/12/2010,0.44908,2/1/2012,0.1032,7/12/2010,0.31268,12/14/2011,0.1297,8/12/2010,0.23602,7/12/2010,0.1570,9/13/2012,0.22569,1/24/2013,0.1329,7/12/2010,0.271,,
7/13/2010,0.81371,7/13/2010,0.5070,7/13/2010,4.33552,7/13/2010,1.0023,7/13/2010,8.27866,7/13/2010,0.6448,7/13/2010,0.9226,7/13/2010,0.28205,1/27/2012,1.3771,7/13/2010,1.4100,7/13/2010,0.63039,2/26/2013,0.5401,7/13/2010,1.16043,7/13/2010,0.7526,7/13/2010,0.4126,12/10/2012,0.70451,7/13/2010,0.26631,12/22/2010,0.1774,2/16/2012,0.2167,7/13/2010,0.44513,2/2/2012,0.1044,7/13/2010,0.30747,12/15/2011,0.1272,8/13/2010,0.25094,7/13/2010,0.1518,9/14/2012,0.22575,1/25/2013,0.1303,7/13/2010,0.26705,,
7/14/2010,0.81271,7/14/2010,0.5109,7/14/2010,4.31112,7/14/2010,1.0131,7/14/2010,8.28121,7/14/2010,0.6462,7/14/2010,0.9240,7/14/2010,0.28336,1/30/2012,1.3229,7/14/2010,1.4336,7/14/2010,0.6293,2/27/2013,0.5440,7/14/2010,1.15821,7/14/2010,0.7271,7/14/2010,0.4199,12/11/2012,0.6787,7/14/2010,0.26768,12/23/2010,0.1762,2/17/2012,0.2167,7/14/2010,0.46457,2/3/2012,0.1032,7/14/2010,0.314,12/16/2011,0.1272,8/16/2010,0.2497,7/14/2010,0.1544,9/17/2012,0.22833,1/28/2013,0.1263,7/14/2010,0.27493,,
7/15/2010,0.79412,7/15/2010,0.4986,7/15/2010,4.25392,7/15/2010,0.9946,7/15/2010,8.2826,7/15/2010,0.6277,7/15/2010,0.8995,7/15/2010,0.28586,1/31/2012,1.3151,7/15/2010,1.4055,7/15/2010,0.62039,2/28/2013,0.5610,7/15/2010,1.15841,7/15/2010,0.7247,7/15/2010,0.4140,12/12/2012,0.68386,7/15/2010,0.26257,12/24/2010,0.1748,2/20/2012,0.2179,7/15/2010,0.46336,2/6/2012,0.1019,7/15/2010,0.30505,12/19/2011,0.1259,8/17/2010,0.24725,7/15/2010,0.1532,9/18/2012,0.22832,1/29/2013,0.1263,7/15/2010,0.274,,
7/16/2010,0.78903,7/16/2010,0.5072,7/16/2010,4.29847,7/16/2010,0.9723,7/16/2010,8.28164,7/16/2010,0.6226,7/16/2010,0.9018,7/16/2010,0.27969,2/1/2012,1.2677,7/16/2010,1.4054,7/16/2010,0.61002,3/1/2013,0.5545,7/16/2010,1.14154,7/16/2010,0.7310,7/16/2010,0.4104,12/13/2012,0.65806,7/16/2010,0.26383,12/28/2010,0.1735,2/21/2012,0.2167,7/16/2010,0.46202,2/7/2012,0.1019,7/16/2010,0.3063,12/20/2011,0.1246,8/18/2010,0.24477,7/16/2010,0.1519,9/19/2012,0.22959,1/30/2013,0.1224,7/16/2010,0.27397,,
7/19/2010,0.78348,7/19/2010,0.4970,7/19/2010,4.26323,7/19/2010,0.9622,7/19/2010,8.27568,7/19/2010,0.6135,7/19/2010,0.9035,7/19/2010,0.28072,2/2/2012,1.3307,7/19/2010,1.4224,7/19/2010,0.61087,3/4/2013,0.5364,7/19/2010,1.12529,7/19/2010,0.7279,7/19/2010,0.4006,12/14/2012,0.65806,7/19/2010,0.26235,12/29/2010,0.1747,2/22/2012,0.2386,7/19/2010,0.46297,2/8/2012,0.1083,7/19/2010,0.30222,12/21/2011,0.1272,8/19/2010,0.24474,7/19/2010,0.1505,9/20/2012,0.22699,1/31/2013,0.1212,7/19/2010,0.26695,,
7/20/2010,0.79732,7/20/2010,0.4995,7/20/2010,4.3282,7/20/2010,0.9834,7/20/2010,8.27695,7/20/2010,0.6124,7/20/2010,0.9259,7/20/2010,0.29057,2/3/2012,1.3387,7/20/2010,1.5049,7/20/2010,0.61997,3/5/2013,0.5402,7/20/2010,1.17048,7/20/2010,0.7473,7/20/2010,0.4102,12/17/2012,0.66578,7/20/2010,0.26882,12/30/2010,0.1735,2/23/2012,0.2334,7/20/2010,0.46819,2/9/2012,0.1135,7/20/2010,0.31127,12/22/2011,0.1272,8/20/2010,0.23828,7/20/2010,0.1544,9/21/2012,0.22958,2/1/2013,0.1186,7/20/2010,0.28161,,
7/21/2010,0.80712,7/21/2010,0.5056,7/21/2010,4.37863,7/21/2010,1.0019,7/21/2010,8.27504,7/21/2010,0.6271,7/21/2010,0.9268,7/21/2010,0.2954,2/6/2012,1.3593,7/21/2010,1.5534,7/21/2010,0.63268,3/6/2013,0.5519,7/21/2010,1.19207,7/21/2010,0.7574,7/21/2010,0.4148,12/18/2012,0.69677,7/21/2010,0.26876,12/31/2010,0.1750,2/24/2012,0.2425,7/21/2010,0.4848,2/10/2012,0.1109,7/21/2010,0.31506,12/23/2011,0.1299,8/23/2010,0.22828,7/21/2010,0.1556,9/24/2012,0.22701,2/4/2013,0.1238,7/21/2010,0.28447,,
7/22/2010,0.81115,7/22/2010,0.5082,7/22/2010,4.39951,7/22/2010,1.0081,7/22/2010,8.27802,7/22/2010,0.6298,7/22/2010,0.9623,7/22/2010,0.30042,2/7/2012,1.3181,7/22/2010,1.5668,7/22/2010,0.63034,3/7/2013,0.5518,7/22/2010,1.2015,7/22/2010,0.7680,7/22/2010,0.4126,12/19/2012,0.69289,7/22/2010,0.27658,1/3/2011,0.1751,2/27/2012,0.2308,7/22/2010,0.49527,2/13/2012,0.1070,7/22/2010,0.3216,12/28/2011,0.1325,8/24/2010,0.23449,7/22/2010,0.1595,9/25/2012,0.22828,2/5/2013,0.1225,7/22/2010,0.27677,,
7/23/2010,0.82309,7/23/2010,0.5124,7/23/2010,4.44193,7/23/2010,1.0183,7/23/2010,8.28516,7/23/2010,0.6590,7/23/2010,0.9690,7/23/2010,0.30313,2/8/2012,1.3877,7/23/2010,1.5888,7/23/2010,0.62831,3/8/2013,0.5634,7/23/2010,1.23859,7/23/2010,0.7815,7/23/2010,0.4272,12/20/2012,0.69677,7/23/2010,0.2781,1/4/2011,0.1789,2/28/2012,0.2321,7/23/2010,0.49312,2/14/2012,0.1058,7/23/2010,0.32445,12/29/2011,0.1312,8/25/2010,0.22822,7/23/2010,0.1622,9/26/2012,0.22698,2/6/2013,0.1251,7/23/2010,0.28676,,
7/26/2010,0.81699,7/26/2010,0.5100,7/26/2010,4.44917,7/26/2010,1.0068,7/26/2010,8.28665,7/26/2010,0.6628,7/26/2010,0.9610,7/26/2010,0.30441,2/9/2012,1.4467,7/26/2010,1.5530,7/26/2010,0.62971,3/11/2013,0.5711,7/26/2010,1.22594,7/26/2010,0.7701,7/26/2010,0.4201,12/21/2012,0.70063,7/26/2010,0.27687,1/5/2011,0.1789,2/29/2012,0.2244,7/26/2010,0.50093,2/15/2012,0.1122,7/26/2010,0.32194,12/30/2011,0.1339,8/26/2010,0.22817,7/26/2010,0.1597,9/27/2012,0.22827,2/7/2013,0.1212,7/26/2010,0.28291,,
7/27/2010,0.82173,7/27/2010,0.5123,7/27/2010,4.45417,7/27/2010,1.0030,7/27/2010,8.28399,7/27/2010,0.6676,7/27/2010,0.9431,7/27/2010,0.30431,2/10/2012,1.4314,7/27/2010,1.5706,7/27/2010,0.63079,3/12/2013,0.5621,7/27/2010,1.2294,7/27/2010,0.7673,7/27/2010,0.4236,12/24/2012,0.7019,7/27/2010,0.27678,1/6/2011,0.1814,3/1/2012,0.2192,7/27/2010,0.52781,2/16/2012,0.1096,7/27/2010,0.32312,1/3/2012,0.1352,8/27/2010,0.22817,7/27/2010,0.1596,9/28/2012,0.23213,2/8/2013,0.1212,7/27/2010,0.30038,,
7/28/2010,0.8281,7/28/2010,0.5111,7/28/2010,4.48061,7/28/2010,1.0125,7/28/2010,8.28527,7/28/2010,0.6652,7/28/2010,0.9421,7/28/2010,0.30559,2/13/2012,1.3851,7/28/2010,1.5940,7/28/2010,0.63089,3/13/2013,0.5413,7/28/2010,1.25277,7/28/2010,0.7751,7/28/2010,0.4236,12/27/2012,0.72755,7/28/2010,0.28068,1/7/2011,0.1801,3/2/2012,0.2359,7/28/2010,0.52789,2/17/2012,0.1109,7/28/2010,0.32446,1/4/2012,0.1352,8/30/2010,0.22064,7/28/2010,0.1622,10/3/2012,0.23082,2/14/2013,0.1187,7/28/2010,0.30628,,
