,4502 JP Equity,,4503 JP Equity,,4578 JP Equity,,4523 JP Equity,,4568 JP Equity,,4519 JP Equity,,4543 JP Equity,,7741 JP Equity,,7733 JP Equity,,4528 JP Equity,,4507 JP Equity,,4508 JP Equity,,6869 JP Equity,,4151 JP Equity,,4530 JP Equity,,4506 JP Equity,,4536 JP Equity,,7459 JP Equity,,6965 JP Equity,,2784 JP Equity,,9987 JP Equity,,4974 JP Equity,,4544 JP Equity,,7701 JP Equity,,4555 JP Equity,,6849 JP Equity,,8086 JP Equity,,4569 JP Equity,,4527 JP Equity,,4534 JP Equity,,4521 JP Equity,,3360 JP Equity,,8129 JP Equity,,4516 JP Equity,,4547 JP Equity,,6376 JP Equity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/24/2012,42.4601,1/24/2012,40.0154,,,1/24/2012,40.4014,1/24/2012,18.6953,1/24/2012,15.6330,1/24/2012,45.9341,1/24/2012,21.1529,1/24/2012,16.5723,1/24/2012,54.7478,1/24/2012,12.7252,1/24/2012,13.7159,1/24/2012,31.0474,1/24/2012,11.9017,1/24/2012,42.7175,1/24/2012,11.0268,1/24/2012,40.2728,1/24/2012,10.3577,1/24/2012,34.4699,1/24/2012,41.1734,1/24/2012,27.2645,1/24/2012,5.4298,1/24/2012,36.6701,1/24/2012,8.4020,1/24/2012,102.1616,1/24/2012,23.5461,1/24/2012,8.6207,1/24/2012,16.9197,1/24/2012,11.9660,1/24/2012,10.9882,1/24/2012,12.9182,1/24/2012,20.7283,1/24/2012,13.9732,1/24/2012,11.6315,1/24/2012,20.0335,1/24/2012,8.7494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/25/2012,42.8516,1/25/2012,39.7632,,,1/25/2012,39.8919,1/25/2012,18.6849,1/25/2012,15.3648,1/25/2012,46.3904,1/25/2012,21.7861,1/25/2012,16.5230,1/25/2012,55.3983,1/25/2012,12.7397,1/25/2012,13.8078,1/25/2012,32.1580,1/25/2012,11.9418,1/25/2012,42.5299,1/25/2012,10.9767,1/25/2012,39.5059,1/25/2012,10.6936,1/25/2012,35.8770,1/25/2012,42.8516,1/25/2012,28.2718,1/25/2012,5.5463,1/25/2012,36.6362,1/25/2012,8.5575,1/25/2012,102.5608,1/25/2012,23.7164,1/25/2012,8.7119,1/25/2012,16.9862,1/25/2012,11.9290,1/25/2012,11.0282,1/25/2012,12.8298,1/25/2012,21.4001,1/25/2012,15.8281,1/25/2012,11.7102,1/25/2012,20.1004,1/25/2012,8.8534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/26/2012,42.7317,1/26/2012,39.9561,,,1/26/2012,40.2789,1/26/2012,18.7968,1/26/2012,15.4531,1/26/2012,46.6693,1/26/2012,21.5853,1/26/2012,16.5118,1/26/2012,55.3834,1/26/2012,12.7292,1/26/2012,13.7103,1/26/2012,32.2102,1/26/2012,11.9158,1/26/2012,42.8608,1/26/2012,11.0638,1/26/2012,39.5688,1/26/2012,10.7798,1/26/2012,35.9024,1/26/2012,43.0545,1/26/2012,28.6987,1/26/2012,5.4996,1/26/2012,36.3155,1/26/2012,8.5334,1/26/2012,101.7299,1/26/2012,24.2060,1/26/2012,8.7271,1/26/2012,17.0152,1/26/2012,11.9933,1/26/2012,11.1025,1/26/2012,12.8970,1/26/2012,20.7333,1/26/2012,15.8275,1/26/2012,11.8900,1/26/2012,20.1136,1/26/2012,8.9207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/27/2012,43.2091,1/27/2012,40.4067,,,1/27/2012,41.0584,1/27/2012,18.5349,1/27/2012,15.4458,1/27/2012,47.4453,1/27/2012,21.6893,1/27/2012,16.6319,1/27/2012,55.4614,1/27/2012,13.0344,1/27/2012,13.8686,1/27/2012,32.5339,1/27/2012,12.0829,1/27/2012,43.1439,1/27/2012,11.1705,1/27/2012,39.8201,1/27/2012,10.7404,1/27/2012,36.3790,1/27/2012,42.8832,1/27/2012,29.0146,1/27/2012,5.5005,1/27/2012,36.8092,1/27/2012,8.5766,1/27/2012,102.9719,1/27/2012,23.7617,1/27/2012,8.8373,1/27/2012,17.2315,1/27/2012,12.3436,1/27/2012,11.1444,1/27/2012,13.0344,1/27/2012,20.8290,1/27/2012,16.0584,1/27/2012,11.8092,1/27/2012,20.3858,1/27/2012,8.8504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/30/2012,43.5666,1/30/2012,41.0115,,,1/30/2012,41.4046,1/30/2012,18.8024,1/30/2012,15.7495,1/30/2012,47.4319,1/30/2012,21.5540,1/30/2012,16.4963,1/30/2012,56.3417,1/30/2012,13.0765,1/30/2012,13.9413,1/30/2012,32.1410,1/30/2012,12.1986,1/30/2012,43.6321,1/30/2012,11.5042,1/30/2012,41.2081,1/30/2012,10.8884,1/30/2012,36.4125,1/30/2012,43.5666,1/30/2012,29.1798,1/30/2012,5.5556,1/30/2012,37.5131,1/30/2012,8.5299,1/30/2012,106.5252,1/30/2012,23.7028,1/30/2012,8.8968,1/30/2012,17.2170,1/30/2012,12.3690,1/30/2012,11.5173,1/30/2012,13.1551,1/30/2012,21.1347,1/30/2012,16.5750,1/30/2012,11.7925,1/30/2012,20.6499,1/30/2012,8.8443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/31/2012,43.3871,1/31/2012,41.0277,,,1/31/2012,41.3554,1/31/2012,19.0195,1/31/2012,15.8736,1/31/2012,47.9093,1/31/2012,21.1823,1/31/2012,16.8436,1/31/2012,56.3639,1/31/2012,13.3307,1/31/2012,14.0779,1/31/2012,32.9794,1/31/2012,12.3083,1/31/2012,43.3215,1/31/2012,11.5218,1/31/2012,40.8966,1/31/2012,10.8927,1/31/2012,35.9156,1/31/2012,43.7803,1/31/2012,29.1388,1/31/2012,5.8068,1/31/2012,37.3968,1/31/2012,8.7036,1/31/2012,107.4846,1/31/2012,23.7253,1/31/2012,8.9265,1/31/2012,17.3679,1/31/2012,12.2034,1/31/2012,11.3121,1/31/2012,13.1472,1/31/2012,21.7460,1/31/2012,16.3062,1/31/2012,11.7316,1/31/2012,20.6449,1/31/2012,8.9265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/1/2012,43.2018,2/1/2012,41.2351,,,2/1/2012,41.3662,2/1/2012,18.5394,2/1/2012,15.9171,2/1/2012,46.4141,2/1/2012,21.5681,2/1/2012,16.6120,2/1/2012,56.9687,2/1/2012,13.4129,2/1/2012,13.9636,2/1/2012,32.9881,2/1/2012,12.4295,2/1/2012,44.4474,2/1/2012,11.4331,2/1/2012,41.3662,2/1/2012,11.4593,2/1/2012,35.8726,2/1/2012,43.5296,2/1/2012,29.6316,2/1/2012,5.8608,2/1/2012,37.5115,2/1/2012,8.7977,2/1/2012,108.5617,2/1/2012,24.1510,2/1/2012,8.9419,2/1/2012,17.6609,2/1/2012,12.4033,2/1/2012,11.2888,2/1/2012,13.1638,2/1/2012,21.6337,2/1/2012,16.6514,2/1/2012,11.7740,2/1/2012,20.8208,2/1/2012,8.8501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/2/2012,43.7894,2/2/2012,41.6886,,,2/2/2012,41.7542,2/2/2012,18.7237,2/2/2012,16.4653,2/2/2012,47.5315,2/2/2012,21.8225,2/2/2012,16.6098,2/2/2012,56.4601,2/2/2012,13.5636,2/2/2012,13.9049,2/2/2012,33.1276,2/2/2012,12.3950,2/2/2012,45.1024,2/2/2012,11.5415,2/2/2012,41.2290,2/2/2012,11.7516,2/2/2012,36.1082,2/2/2012,44.1833,2/2/2012,30.0420,2/2/2012,5.8036,2/2/2012,37.5919,2/2/2012,8.8104,2/2/2012,109.6376,2/2/2012,24.1728,2/2/2012,8.9548,2/2/2012,17.9228,2/2/2012,12.3424,2/2/2012,11.3314,2/2/2012,13.2747,2/2/2012,21.5205,2/2/2012,16.8592,2/2/2012,11.8041,2/2/2012,20.4175,2/2/2012,9.0336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/3/2012,43.3647,2/3/2012,41.8626,,,2/3/2012,40.8177,2/3/2012,18.1035,2/3/2012,16.0136,2/3/2012,46.4342,2/3/2012,21.6954,2/3/2012,16.4054,2/3/2012,56.8182,2/3/2012,13.1139,2/3/2012,13.7800,2/3/2012,32.5105,2/3/2012,11.9775,2/3/2012,44.4749,2/3/2012,11.1416,2/3/2012,40.4258,2/3/2012,11.7555,2/3/2012,35.6453,2/3/2012,44.2790,2/3/2012,29.6891,2/3/2012,5.8516,2/3/2012,37.2780,2/3/2012,8.7121,2/3/2012,107.2362,2/3/2012,23.7591,2/3/2012,8.9081,2/3/2012,17.9075,2/3/2012,12.3825,2/3/2012,11.1547,2/3/2012,13.1792,2/3/2012,21.2121,2/3/2012,16.7059,2/3/2012,11.5726,2/3/2012,20.2064,2/3/2012,9.0517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/6/2012,43.2937,2/6/2012,41.9224,,,2/6/2012,40.7470,2/6/2012,17.6701,2/6/2012,16.0507,2/6/2012,46.8852,2/6/2012,21.9668,2/6/2012,16.4555,2/6/2012,56.4190,2/6/2012,12.9947,2/6/2012,13.7260,2/6/2012,33.9950,2/6/2012,11.9890,2/6/2012,44.5997,2/6/2012,11.2185,2/6/2012,40.4205,2/6/2012,11.7931,2/6/2012,35.4447,2/6/2012,43.4243,2/6/2012,29.7114,2/6/2012,5.7725,2/6/2012,37.2731,2/6/2012,8.9069,2/6/2012,106.8304,2/6/2012,23.8866,2/6/2012,8.9591,2/6/2012,17.7093,2/6/2012,12.1849,2/6/2012,11.1793,2/6/2012,13.2036,2/6/2012,21.6795,2/6/2012,16.9126,2/6/2012,11.5319,2/6/2012,20.1646,2/6/2012,9.0767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/7/2012,43.4500,2/7/2012,41.6938,,,2/7/2012,40.5880,2/7/2012,17.8613,2/7/2012,16.0401,2/7/2012,46.7022,2/7/2012,22.1803,2/7/2012,16.1702,2/7/2012,56.5240,2/7/2012,12.9179,2/7/2012,13.6074,2/7/2012,34.0055,2/7/2012,11.8512,2/7/2012,44.4907,2/7/2012,11.2137,2/7/2012,40.1977,2/7/2012,11.7471,2/7/2012,34.9031,2/7/2012,44.1655,2/7/2012,30.0768,2/7/2012,5.6719,2/7/2012,36.7374,2/7/2012,8.7941,2/7/2012,107.9745,2/7/2012,23.5463,2/7/2012,8.8981,2/7/2012,17.7442,2/7/2012,12.0984,2/7/2012,11.2658,2/7/2012,13.3472,2/7/2012,22.4145,2/7/2012,16.7165,2/7/2012,12.0853,2/7/2012,20.1899,2/7/2012,8.9502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/8/2012,43.4952,2/8/2012,41.2880,,,2/8/2012,40.5739,2/8/2012,17.9694,2/8/2012,16.0997,2/8/2012,46.2867,2/8/2012,23.1498,2/8/2012,16.3724,2/8/2012,56.2841,2/8/2012,12.8538,2/8/2012,13.6328,2/8/2012,34.4326,2/8/2012,11.8541,2/8/2012,45.0532,2/8/2012,11.1659,2/8/2012,40.0545,2/8/2012,11.9190,2/8/2012,34.3937,2/8/2012,44.4690,2/8/2012,30.3428,2/8/2012,5.7647,2/8/2012,36.6139,2/8/2012,8.6601,2/8/2012,108.4134,2/8/2012,24.6689,2/8/2012,8.9198,2/8/2012,18.5666,2/8/2012,12.2046,2/8/2012,11.2958,2/8/2012,13.1265,2/8/2012,21.5788,2/8/2012,16.7100,2/8/2012,12.1397,2/8/2012,20.3584,2/8/2012,8.9587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/9/2012,43.0801,2/9/2012,40.8229,,,2/9/2012,40.3070,2/9/2012,18.2510,2/9/2012,16.0454,2/9/2012,45.9822,2/9/2012,22.9202,2/9/2012,16.4710,2/9/2012,55.8494,2/9/2012,12.8466,2/9/2012,13.6076,2/9/2012,34.3609,2/9/2012,11.6600,2/9/2012,44.8859,2/9/2012,10.9893,2/9/2012,40.0490,2/9/2012,11.6213,2/9/2012,33.8837,2/9/2012,44.3699,2/9/2012,30.1948,2/9/2012,5.8171,2/9/2012,36.4762,2/9/2012,8.7708,2/9/2012,107.4423,2/9/2012,24.4035,2/9/2012,8.8740,2/9/2012,18.4574,2/9/2012,12.0083,2/9/2012,11.3504,2/9/2012,12.9627,2/9/2012,21.4111,2/9/2012,16.5355,2/9/2012,12.1372,2/9/2012,20.0439,2/9/2012,8.9643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/10/2012,43.1645,2/10/2012,41.1030,,,2/10/2012,40.4587,2/10/2012,18.2322,2/10/2012,16.0160,2/10/2012,45.9992,2/10/2012,22.9610,2/10/2012,16.4541,2/10/2012,55.4697,2/10/2012,13.1298,2/10/2012,13.3746,2/10/2012,34.4028,2/10/2012,11.6222,2/10/2012,44.9040,2/10/2012,10.8362,2/10/2012,40.0722,2/10/2012,11.5964,2/10/2012,33.6683,2/10/2012,43.9376,2/10/2012,29.9833,2/10/2012,5.8111,2/10/2012,36.5417,2/10/2012,8.6329,2/10/2012,103.2084,2/10/2012,25.2287,2/10/2012,8.8133,2/10/2012,18.3739,2/10/2012,11.9830,2/10/2012,11.4161,2/10/2012,12.8592,2/10/2012,20.7705,2/10/2012,16.2866,2/10/2012,12.2278,2/10/2012,19.8943,2/10/2012,9.0066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/13/2012,43.1112,2/13/2012,41.1136,,,2/13/2012,40.8558,2/13/2012,18.2240,2/13/2012,15.9943,2/13/2012,46.6555,2/13/2012,23.0571,2/13/2012,16.5228,2/13/2012,55.5484,2/13/2012,13.1976,2/13/2012,13.4038,2/13/2012,34.4117,2/13/2012,11.5994,2/13/2012,45.3022,2/13/2012,10.8261,2/13/2012,40.5980,2/13/2012,11.6768,2/13/2012,33.4450,2/13/2012,44.0134,2/13/2012,29.8879,2/13/2012,5.7353,2/13/2012,36.4351,2/13/2012,8.3774,2/13/2012,102.9772,2/13/2012,25.1966,2/13/2012,8.9058,2/13/2012,18.4560,2/13/2012,12.0505,2/13/2012,11.5350,2/13/2012,12.8754,2/13/2012,20.8403,2/13/2012,16.2134,2/13/2012,12.1279,2/13/2012,19.8608,2/13/2012,8.9316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/14/2012,42.9737,2/14/2012,40.9972,,,2/14/2012,40.1683,2/14/2012,18.0694,2/14/2012,15.9143,2/14/2012,46.2892,2/14/2012,22.9278,2/14/2012,16.6284,2/14/2012,55.5343,2/14/2012,13.2237,2/14/2012,13.4405,2/14/2012,34.3152,2/14/2012,11.5914,2/14/2012,44.8228,2/14/2012,10.5713,2/14/2012,40.8697,2/14/2012,11.6679,2/14/2012,33.7669,2/14/2012,43.9939,2/14/2012,30.1071,2/14/2012,5.6746,2/14/2012,36.0877,2/14/2012,8.2377,2/14/2012,102.7799,2/14/2012,25.1467,2/14/2012,8.8115,2/14/2012,18.1076,2/14/2012,11.9485,2/14/2012,11.6042,2/14/2012,12.9431,2/14/2012,21.4486,2/14/2012,16.3734,2/14/2012,12.1270,2/14/2012,19.8929,2/14/2012,8.8498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/15/2012,43.8417,2/15/2012,41.2891,,,2/15/2012,40.3318,2/15/2012,18.6471,2/15/2012,15.9796,2/15/2012,47.1602,2/15/2012,23.5609,2/15/2012,16.6433,2/15/2012,56.1583,2/15/2012,13.4525,2/15/2012,13.6184,2/15/2012,34.9202,2/15/2012,11.6656,2/15/2012,45.2457,2/15/2012,10.8105,2/15/2012,40.5871,2/15/2012,12.3293,2/15/2012,34.4352,2/15/2012,44.1608,2/15/2012,30.4914,2/15/2012,5.6924,2/15/2012,36.5029,2/15/2012,8.3727,2/15/2012,101.9783,2/15/2012,25.1181,2/15/2012,8.2195,2/15/2012,18.0728,2/15/2012,12.0230,2/15/2012,11.7932,2/15/2012,12.9547,2/15/2012,20.9700,2/15/2012,16.7199,2/15/2012,12.1889,2/15/2012,19.8086,2/15/2012,8.9343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/16/2012,43.3874,2/16/2012,40.4738,,,2/16/2012,39.9671,2/16/2012,18.3937,2/16/2012,15.8348,2/16/2012,47.0611,2/16/2012,23.1568,2/16/2012,16.1262,2/16/2012,54.9785,2/16/2012,13.2252,2/16/2012,13.2252,2/16/2012,35.0393,2/16/2012,11.4137,2/16/2012,44.3375,2/16/2012,10.4763,2/16/2012,39.2703,2/16/2012,12.1865,2/16/2012,34.0258,2/16/2012,44.4642,2/16/2012,30.2255,2/16/2012,5.6752,2/16/2012,35.9767,2/16/2012,8.3861,2/16/2012,99.8227,2/16/2012,24.7910,2/16/2012,8.1454,2/16/2012,17.8617,2/16/2012,11.9585,2/16/2012,11.4391,2/16/2012,12.7692,2/16/2012,20.7373,2/16/2012,16.2909,2/16/2012,12.0345,2/16/2012,19.4832,2/16/2012,8.7788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/17/2012,43.7492,2/17/2012,40.6647,,,2/17/2012,39.7835,2/17/2012,18.3054,2/17/2012,15.9260,2/17/2012,47.5261,2/17/2012,23.2532,2/17/2012,15.8504,2/17/2012,54.7023,2/17/2012,13.5213,2/17/2012,13.1185,2/17/2012,35.5533,2/17/2012,11.3685,2/17/2012,44.6305,2/17/2012,10.4620,2/17/2012,39.5946,2/17/2012,12.2120,2/17/2012,34.3699,2/17/2012,44.5675,2/17/2012,30.4041,2/17/2012,5.7283,2/17/2012,36.2583,2/17/2012,8.4477,2/17/2012,99.8363,2/17/2012,25.5067,2/17/2012,8.1330,2/17/2012,17.8144,2/17/2012,11.9602,2/17/2012,11.4440,2/17/2012,12.7534,2/17/2012,20.3576,2/17/2012,16.3540,2/17/2012,11.9728,2/17/2012,19.7155,2/17/2012,8.7121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/20/2012,44.0493,2/20/2012,40.8445,,,2/20/2012,40.0277,2/20/2012,18.2732,2/20/2012,15.9734,2/20/2012,48.4479,2/20/2012,23.2751,2/20/2012,15.8351,2/20/2012,54.3547,2/20/2012,13.6232,2/20/2012,13.1708,2/20/2012,35.7924,2/20/2012,11.4239,2/20/2012,44.6148,2/20/2012,10.4311,2/20/2012,39.4621,2/20/2012,12.0272,2/20/2012,34.5985,2/20/2012,43.4837,2/20/2012,29.6720,2/20/2012,5.8942,2/20/2012,36.5087,2/20/2012,8.6088,2/20/2012,98.5296,2/20/2012,24.7832,2/20/2012,8.1689,2/20/2012,17.8459,2/20/2012,11.8889,2/20/2012,11.4867,2/20/2012,12.6681,2/20/2012,19.5048,2/20/2012,15.7346,2/20/2012,11.8763,2/20/2012,19.5048,2/20/2012,9.0361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/21/2012,44.0863,2/21/2012,40.8880,,,2/21/2012,40.1982,2/21/2012,18.1738,2/21/2012,16.0793,2/21/2012,48.4134,2/21/2012,23.2284,2/21/2012,16.4179,2/21/2012,54.6219,2/21/2012,13.5959,2/21/2012,13.4830,2/21/2012,35.8585,2/21/2012,11.3884,2/21/2012,44.5880,2/21/2012,10.3223,2/21/2012,39.1321,2/21/2012,12.0156,2/21/2012,34.5290,2/21/2012,43.8354,2/21/2012,29.8257,2/21/2012,6.1457,2/21/2012,36.3101,2/21/2012,8.6918,2/21/2012,99.2098,2/21/2012,25.1975,2/21/2012,7.9644,2/21/2012,17.9857,2/21/2012,11.7145,2/21/2012,11.7020,2/21/2012,12.7681,2/21/2012,19.8545,2/21/2012,16.0416,2/21/2012,11.9528,2/21/2012,19.6915,2/21/2012,9.2562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/22/2012,44.2896,2/22/2012,40.6196,,,2/22/2012,40.3707,2/22/2012,18.1886,2/22/2012,15.9492,2/22/2012,48.8306,2/22/2012,23.2147,2/22/2012,17.1063,2/22/2012,54.7400,2/22/2012,13.7223,2/22/2012,13.6974,2/22/2012,35.9045,2/22/2012,11.1844,2/22/2012,44.9117,2/22/2012,10.3633,2/22/2012,39.3133,2/22/2012,11.8935,2/22/2012,34.8097,2/22/2012,43.9164,2/22/2012,29.8955,2/22/2012,6.0587,2/22/2012,37.3849,2/22/2012,8.6589,2/22/2012,99.1540,2/22/2012,25.3048,2/22/2012,7.7631,2/22/2012,18.2011,2/22/2012,11.6571,2/22/2012,11.7691,2/22/2012,12.8017,2/22/2012,19.9055,2/22/2012,16.1856,2/22/2012,11.9930,2/22/2012,19.9801,2/22/2012,9.2560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/23/2012,44.8990,2/23/2012,40.7832,,,2/23/2012,40.5962,2/23/2012,18.2963,2/23/2012,16.1886,2/23/2012,48.9524,2/23/2012,23.3350,2/23/2012,17.8349,2/23/2012,55.0636,2/23/2012,14.0808,2/23/2012,13.9810,2/23/2012,35.7820,2/23/2012,11.0003,2/23/2012,45.5226,2/23/2012,10.4016,2/23/2012,39.7855,2/23/2012,12.0604,2/23/2012,35.3704,2/23/2012,43.5271,2/23/2012,29.7331,2/23/2012,6.1487,2/23/2012,38.4759,2/23/2012,8.7428,2/23/2012,98.9025,2/23/2012,25.8917,2/23/2012,7.6827,2/23/2012,18.1217,2/23/2012,11.7860,2/23/2012,11.6862,2/23/2012,12.8710,2/23/2012,19.7431,2/23/2012,16.2135,2/23/2012,12.0354,2/23/2012,20.3043,2/23/2012,9.2791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/24/2012,44.5214,2/24/2012,40.0693,,,2/24/2012,40.2548,2/24/2012,18.1301,2/24/2012,15.9288,2/24/2012,48.4170,2/24/2012,23.1759,2/24/2012,17.5612,2/24/2012,53.8585,2/24/2012,13.9253,2/24/2012,13.8016,2/24/2012,35.4440,2/24/2012,10.7222,2/24/2012,43.9649,2/24/2012,10.3018,2/24/2012,38.7707,2/24/2012,11.8847,2/24/2012,35.1966,2/24/2012,42.9137,2/24/2012,29.2110,2/24/2012,5.9609,2/24/2012,37.6577,2/24/2012,8.6322,2/24/2012,98.0707,2/24/2012,25.5627,2/24/2012,7.7789,2/24/2012,17.7467,2/24/2012,11.6745,2/24/2012,11.4643,2/24/2012,12.7133,2/24/2012,19.6636,2/24/2012,15.8422,2/24/2012,12.0331,2/24/2012,19.6760,2/24/2012,9.1640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/27/2012,45.3527,2/27/2012,40.8735,,,2/27/2012,40.7490,2/27/2012,18.5268,2/27/2012,16.2747,2/27/2012,48.5256,2/27/2012,23.3545,2/27/2012,17.0835,2/27/2012,54.3735,2/27/2012,13.9729,2/27/2012,13.8485,2/27/2012,35.7472,2/27/2012,10.7627,2/27/2012,44.4196,2/27/2012,10.4641,2/27/2012,39.5670,2/27/2012,12.0941,2/27/2012,35.6725,2/27/2012,43.9219,2/27/2012,29.8619,2/27/2012,6.0595,2/27/2012,38.3228,2/27/2012,8.6351,2/27/2012,97.9221,2/27/2012,25.7310,2/27/2012,7.8388,2/27/2012,18.0664,2/27/2012,11.8701,2/27/2012,11.6461,2/27/2012,12.8406,2/27/2012,19.3605,2/27/2012,15.9139,2/27/2012,12.1314,2/27/2012,19.8084,2/27/2012,9.0830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
