,XLE Equity,,XLB Equity,,XLI Equity,,XLF Equity,,XLU Equity,,XLK Equity,,XLV Equity,,XLP Equity,,XLY Equity,,,,,,,
1/6/2011,67.79,1/6/2011,38.35,1/6/2011,35.19,1/6/2011,16.362,1/6/2011,31.47,1/6/2011,25.87,1/6/2011,32.09,1/6/2011,29.18,1/6/2011,37.72,,,,,,,
1/7/2011,68.28,1/7/2011,38.315,1/7/2011,35.26,1/7/2011,16.215,1/7/2011,31.5825,1/7/2011,25.75,1/7/2011,32.07,1/7/2011,29.0325,1/7/2011,37.7,,,,,,,
1/10/2011,68.01,1/10/2011,38.36,1/10/2011,35.31,1/10/2011,16.1745,1/10/2011,31.41,1/10/2011,25.7725,1/10/2011,31.98,1/10/2011,29.0525,1/10/2011,37.67,,,,,,,
1/11/2011,69.14,1/11/2011,38.67,1/11/2011,35.44,1/11/2011,16.24,1/11/2011,31.455,1/11/2011,25.73,1/11/2011,32.14,1/11/2011,29.03,1/11/2011,37.66,,,,,,,
1/12/2011,70.09,1/12/2011,39.05,1/12/2011,35.73,1/12/2011,16.513,1/12/2011,31.62,1/12/2011,25.96,1/12/2011,32.31,1/12/2011,29.27,1/12/2011,37.75,,,,,,,
1/13/2011,69.895,1/13/2011,38.7125,1/13/2011,35.765,1/13/2011,16.4555,1/13/2011,31.5925,1/13/2011,25.94,1/13/2011,32.14,1/13/2011,29.33,1/13/2011,37.69,,,,,,,
1/14/2011,70.65,1/14/2011,38.8,1/14/2011,35.91,1/14/2011,16.72,1/14/2011,31.74,1/14/2011,26.17,1/14/2011,32.18,1/14/2011,29.33,1/14/2011,37.92,,,,,,,
1/18/2011,71.09,1/18/2011,39.0125,1/18/2011,36.17,1/18/2011,16.62,1/18/2011,31.815,1/18/2011,26.1975,1/18/2011,32.3,1/18/2011,29.3475,1/18/2011,38.03,,,,,,,
1/19/2011,70.23,1/19/2011,38.11,1/19/2011,35.79,1/19/2011,16.25,1/19/2011,31.74,1/19/2011,26.01,1/19/2011,32.08,1/19/2011,29.29,1/19/2011,37.65,,,,,,,
1/20/2011,69.73,1/20/2011,37.57,1/20/2011,35.61,1/20/2011,16.33,1/20/2011,31.98,1/20/2011,25.87,1/20/2011,32.16,1/20/2011,29.44,1/20/2011,37.73,,,,,,,
1/21/2011,70.1,1/21/2011,37.4775,1/21/2011,35.9,1/21/2011,16.4615,1/21/2011,31.95,1/21/2011,25.72,1/21/2011,32.1875,1/21/2011,29.49,1/21/2011,37.82,,,,,,,
1/24/2011,70.36,1/24/2011,37.88,1/24/2011,36.24,1/24/2011,16.4435,1/24/2011,32.13,1/24/2011,26.08,1/24/2011,32.15,1/24/2011,29.54,1/24/2011,37.97,,,,,,,
1/25/2011,70.1575,1/25/2011,37.9275,1/25/2011,36.195,1/25/2011,16.41,1/25/2011,32.0825,1/25/2011,26.2,1/25/2011,32.15,1/25/2011,29.635,1/25/2011,37.99,,,,,,,
1/26/2011,71.84,1/26/2011,38.73,1/26/2011,36.41,1/26/2011,16.395,1/26/2011,31.96,1/26/2011,26.35,1/26/2011,32.11,1/26/2011,29.56,1/26/2011,38.05,,,,,,,
1/27/2011,71.42,1/27/2011,38.41,1/27/2011,36.545,1/27/2011,16.5385,1/27/2011,32.08,1/27/2011,26.44,1/27/2011,32.19,1/27/2011,29.26,1/27/2011,38.35,,,,,,,
1/28/2011,71.11,1/28/2011,37.81,1/28/2011,35.83,1/28/2011,16.25,1/28/2011,31.65,1/28/2011,25.83,1/28/2011,31.61,1/28/2011,28.98,1/28/2011,37.1,,,,,,,
1/31/2011,73.15,1/31/2011,38.44,1/31/2011,36.24,1/31/2011,16.4,1/31/2011,31.72,1/31/2011,25.99,1/31/2011,31.68,1/31/2011,28.88,1/31/2011,37.18,,,,,,,
2/1/2011,74.34,2/1/2011,39.47,2/1/2011,36.75,2/1/2011,16.74,2/1/2011,32.04,2/1/2011,26.43,2/1/2011,32.25,2/1/2011,29.09,2/1/2011,37.62,,,,,,,
2/2/2011,74.28,2/2/2011,39.405,2/2/2011,36.635,2/2/2011,16.61,2/2/2011,31.865,2/2/2011,26.4775,2/2/2011,32.14,2/2/2011,28.98,2/2/2011,37.51,,,,,,,
2/3/2011,74.32,2/3/2011,39.57,2/3/2011,36.65,2/3/2011,16.615,2/3/2011,31.995,2/3/2011,26.52,2/3/2011,32.1825,2/3/2011,29.13,2/3/2011,37.95,,,,,,,
2/4/2011,74.13,2/4/2011,39.575,2/4/2011,36.78,2/4/2011,16.6075,2/4/2011,31.8,2/4/2011,26.69,2/4/2011,32.33,2/4/2011,29.3,2/4/2011,38.21,,,,,,,
2/7/2011,74.56,2/7/2011,39.7875,2/7/2011,37.125,2/7/2011,16.85,2/7/2011,32.005,2/7/2011,26.8225,2/7/2011,32.28,2/7/2011,29.34,2/7/2011,38.412,,,,,,,
2/8/2011,74.3075,2/8/2011,39.915,2/8/2011,37.375,2/8/2011,16.97,2/8/2011,32.0025,2/8/2011,26.9325,2/8/2011,32.3725,2/8/2011,29.48,2/8/2011,38.87,,,,,,,
2/9/2011,73.37,2/9/2011,39.56,2/9/2011,37.37,2/9/2011,16.851,2/9/2011,32,2/9/2011,26.88,2/9/2011,32.3,2/9/2011,29.53,2/9/2011,39.13,,,,,,,
2/10/2011,74.12,2/10/2011,39.63,2/10/2011,37.57,2/10/2011,16.85,2/10/2011,32.06,2/10/2011,26.76,2/10/2011,32.31,2/10/2011,29.42,2/10/2011,39.18,,,,,,,
2/11/2011,74.11,2/11/2011,39.85,2/11/2011,37.85,2/11/2011,17.081,2/11/2011,32,2/11/2011,26.9025,2/11/2011,32.38,2/11/2011,29.58,2/11/2011,39.58,,,,,,,
2/14/2011,75.74,2/14/2011,40.28,2/14/2011,37.81,2/14/2011,17.09,2/14/2011,31.77,2/14/2011,26.94,2/14/2011,32.49,2/14/2011,29.45,2/14/2011,39.42,,,,,,,
2/15/2011,74.95,2/15/2011,39.82,2/15/2011,37.67,2/15/2011,17.0675,2/15/2011,31.87,2/15/2011,26.84,2/15/2011,32.42,2/15/2011,29.44,2/15/2011,39.47,,,,,,,
2/16/2011,75.95,2/16/2011,40.335,2/16/2011,37.85,2/16/2011,17.16,2/16/2011,31.8,2/16/2011,26.9875,2/16/2011,32.59,2/16/2011,29.52,2/16/2011,39.79,,,,,,,
2/17/2011,76.7,2/17/2011,40.7,2/17/2011,37.94,2/17/2011,17.14,2/17/2011,31.86,2/17/2011,27.04,2/17/2011,32.73,2/17/2011,29.72,2/17/2011,39.8,,,,,,,
2/18/2011,77.02,2/18/2011,40.25,2/18/2011,38.045,2/18/2011,17.1785,2/18/2011,31.91,2/18/2011,27,2/18/2011,32.81,2/18/2011,29.8,2/18/2011,40.01,,,,,,,
2/22/2011,76.27,2/22/2011,38.96,2/22/2011,36.9375,2/22/2011,16.6525,2/22/2011,31.77,2/22/2011,26.34,2/22/2011,32.31,2/22/2011,29.59,2/22/2011,39.05,,,,,,,
2/23/2011,77.82,2/23/2011,38.67,2/23/2011,36.29,2/23/2011,16.58,2/23/2011,31.7,2/23/2011,26.03,2/23/2011,32,2/23/2011,29.52,2/23/2011,38.48,,,,,,,
2/24/2011,76.72,2/24/2011,38.47,2/24/2011,36.5,2/24/2011,16.54,2/24/2011,31.5775,2/24/2011,26.12,2/24/2011,32.11,2/24/2011,29.4,2/24/2011,38.71,,,,,,,
