"","Omega (L = 0%)","Omega (L = 0%)","Omega (L = 0%)","Omega (L = 0%)"
"APFUNOP.US.Equity",10.4929577464789,5.44080604534005,7.14035087719298,7.14035087719298
"APHSIFA.LX.Equity",0.48993837402228,1.40488987786919,1.42107052408824,1.42107052408824
"APISCAP.US.Equity",5.9969696969697,2.52109464082098,3.1482602118003,3.1482602118003
"APISGDV.US.Equity",7.88605263157895,2.90866568457725,4.33585146464299,4.33585146464299
"APISOSC.KY.Equity",5.91309048319769,2.44439864483343,3.1553866926482,3.1553866926482
"APMGLTA.KY.Equity",0.551628997355133,0.935409887547356,0.841554873658207,0.841554873658207
"APSASPH.KY.Equity",0.284714697524176,1.25476858395592,1.58670997367345,1.58670997367345
"APSCHIA.KY.Equity",2.37438382661869,1.74845020439333,1.74993667029529,1.74993667029529
"APSCHIN.KY.Equity",0.626116437147634,1.45762306042236,1.59182194965798,1.59182194965798
"ARASALP.KY.Equity",5.2200962189255,1.44808283032243,1.6127361400318,1.6127361400318
"ARBITRO.US.Equity",2.38114136042543,5.02855087480778,4.52602614995088,4.52602614995088
"ARCJVAB.KY.Equity",936.962962962963,1.7636774101634,2.78515488374215,2.78515488374215
"ARCZNAY.KY.Equity",1.80217083239202,1.10573117701666,1.75062562944426,1.75062562944426
"ARDPFII.US.Equity",1.67150438643994,0.656000486960756,1.23174684517328,1.23174684517328
"ARDPREF.US.Equity",5.94676327923828,1.17952645566562,1.70093039402881,1.70093039402881
"ARESIOL.NA.Equity",19.55,2.41548360025177,3.49534256938862,3.49534256938862
"ARESSLP.US.Equity",22.7033104309806,0.775148834910262,1.10471982046241,1.10471982046241
"ARGFNDI.KY.Equity",6.61223529411765,2.20133483973554,2.15595122167139,2.15595122167139
"ARGMPLP.US.Equity",1.35222490468463,0.924938949859396,1.08290772897514,1.08290772897514
"ARGOMSA.KY.Equity",8.83239716557207,4.16312612545183,4.65002862627555,4.65002862627555
"ARISTID.US.Equity",21.4212280701754,3.81142683959159,5.47522482335308,5.47522482335308
"ARMACRO.KY.Equity",2.71515254237288,3.31762596199347,3.84925003611583,3.84925003611583
"ARMLLOA.KY.Equity",4.64475299171525,1.02786576024229,1.57728056310074,1.57728056310074
"ARMORLP.US.Equity",2.94524495677233,0.448554317708664,1.30979997087676,1.30979997087676
"ARNASIA.KY.Equity",4.70011892781996,1.40649606520328,1.57299108651182,1.57299108651182
"ARNLSAU.AU.Equity",0.796075563393157,0.865406364441466,1.09188718816542,1.09188718816542
"ARPDFSI.MV.Equity",0.383129118668582,1.01416160780428,1.10528569791359,1.10528569791359
"ARQCALA.KY.Equity",2.89891004266609,0.807479054134085,1.35528916083853,1.35528916083853
"ARQVALA.KY.Equity",5.86348775351879,2.04383537373988,3.33077337575695,3.33077337575695
"ARTPAII.US.Equity",5.41578397732359,6.79250323834197,12.5988650949132,12.5988650949132
"ARTVEGA.US.Equity",1.31301939058172,1.05330647538567,0.860337156440782,0.860337156440782
"ARXBRLS.KY.Equity",1.573264781491,1.38686322343508,1.6153303132491,1.6153303132491
"AS2A2TA.LX.Equity",0.240786807888595,1.08150278758013,1.3868855889573,1.3868855889573
"ASCDLVG.US.Equity",2.02112676056338,1.23540856031128,2.31082118188795,2.31082118188795
"ASCDPLP.US.Equity",1.90522875816993,1.18400770712909,2.21503759398496,2.21503759398496
"ASCOSLV.VI.Equity",1.90202702702703,1.20579710144928,2.23200612557427,2.23200612557427
"ASDIVFU.AU.Equity",0.596512137912622,1.1089767551451,1.06949787347953,1.06949787347953
"ASEASCF.KY.Equity",6.00979140656782,1.44258486980346,1.6888032303929,1.6888032303929
"ASHFORC.US.Equity",9.85781990521327,2.19449611707281,2.31119773330254,2.31119773330254
"ASHMEMD.KY.Equity",1.06910753143575,0.875584663423664,0.868716499366533,0.868716499366533
"ASHOKAW.EK.Equity",0.467603198616814,0.448484685041022,0.3594590413824,0.3594590413824
"ASLSPSIT.CN.Equity",1.02273760800364,1.23598418562447,1.6499628988375,1.6499628988375
"ASPDIVF.KY.Equity",0.547109179274263,1.53288483588935,1.21510448938208,1.21510448938208
"ASPUSFD.US.Equity",0.527657000596094,1.484733325764,1.18039126652704,1.18039126652704
"ASSARFE.KY.Equity",2.51874309429488,2.43605839314236,2.61705354492708,2.61705354492708
"ASUKTII.KY.Equity",1.28918981711972,1.38369668869817,3.14391183341995,3.14391183341995
"ATCHSTA.KY.Equity",0.62701253542939,1.29719642302693,1.7618458850954,1.7618458850954
"ATEXPLA.SS.Equity",29.8042942625836,1.0584734588736,1.75087944367233,1.75087944367233
"ATHASIE.SP.Equity",1.51035605535289,0.86266885206312,1.07820115985342,1.07820115985342
