,6301 JP Equity,,TPX Index,,.GOVTUSJP Index
4/30/2013,0.1507,4/30/2013,0.34,4/25/2013,-1.6609
5/1/2013,-1.6548,5/1/2013,-0.58,4/26/2013,4.78
5/2/2013,-4.13,5/2/2013,-0.44,4/29/2013,-0.6305
5/7/2013,4.2282,5/7/2013,3.06,4/30/2013,1.4289
5/8/2013,4.4011,5/8/2013,0.49,5/1/2013,2.1415
5/9/2013,-1.6129,5/9/2013,-1.05,5/2/2013,-2.3605
5/10/2013,3.763,5/10/2013,2.43,5/3/2013,-10.6092
5/13/2013,2.7289,5/13/2013,1.78,5/6/2013,-1.7547
5/14/2013,-1.1534,5/14/2013,-0.11,5/7/2013,1.3426
5/15/2013,2.3338,5/15/2013,1.79,5/8/2013,0.9575
5/16/2013,-0.3455,5/16/2013,-0.61,5/9/2013,-3.7139
5/17/2013,-0.4508,5/17/2013,0.64,5/10/2013,1.2043
5/20/2013,1.7067,5/20/2013,1.3,5/13/2013,4.6279
5/21/2013,1.0274,5/21/2013,0.07,5/14/2013,1.8323
5/22/2013,0.7797,5/22/2013,0.44,5/15/2013,4.8382
5/23/2013,-7.5008,5/23/2013,-6.87,5/16/2013,2.7042
5/24/2013,-0.9455,5/24/2013,0.48,5/17/2013,-10.2837
5/27/2013,-4.7357,5/27/2013,-3.35,5/20/2013,2.5303
5/28/2013,3.2755,5/28/2013,1.23,5/21/2013,6.3985
5/29/2013,1.5672,5/29/2013,0.91,5/22/2013,-10.4555
5/30/2013,-3.6003,5/30/2013,-3.77,5/23/2013,-2.3647
5/31/2013,-0.4954,5/31/2013,0.12,5/24/2013,1.2425
6/3/2013,-1.1873,6/3/2013,-3.42,5/27/2013,-0.1715
6/4/2013,0.1163,6/4/2013,2.6,5/28/2013,-7.8903
6/5/2013,-2.6713,6/5/2013,-3.15,5/29/2013,6.4977
6/6/2013,-3.9379,6/6/2013,-1.77,5/30/2013,-3.7034
6/7/2013,-0.4141,6/7/2013,-1.29,5/31/2013,-3.3719
6/10/2013,4.0748,6/10/2013,5.21,6/3/2013,-3.7343
6/11/2013,-2.517,6/11/2013,-0.97,6/4/2013,2.5271
6/12/2013,0.123,6/12/2013,-0.42,6/5/2013,2.9749
6/13/2013,-4.9939,6/13/2013,-4.78,6/6/2013,-0.5353
6/14/2013,-0.7755,6/14/2013,1.18,6/7/2013,-6.4175
6/17/2013,2.4316,6/17/2013,2.68,6/10/2013,-3.8385
6/18/2013,0.0424,6/18/2013,0.15,6/11/2013,4.2203
6/19/2013,2.1186,6/19/2013,1.86,6/12/2013,-2.8349
6/20/2013,-3.7759,6/20/2013,-1.33,6/13/2013,4.8005
6/21/2013,0.0431,6/21/2013,0.7,6/14/2013,-1.9036
6/24/2013,-4.569,6/24/2013,-0.89,6/17/2013,-2.4463
6/25/2013,-3.8392,6/25/2013,-1.01,6/18/2013,-1.3141
6/26/2013,-0.3758,6/26/2013,-0.87,6/19/2013,-12.9864
6/27/2013,4.9033,6/27/2013,2.76,6/20/2013,-2.4471
6/28/2013,3.0562,6/28/2013,3.19,6/21/2013,-4.969
7/1/2013,0.9594,7/1/2013,1.49,6/24/2013,0.0121
7/2/2013,3.1533,7/2/2013,1.84,6/25/2013,-5.1535
7/3/2013,-3.6851,7/3/2013,0.17,6/26/2013,4.183
7/4/2013,-1.1304,7/4/2013,-0.26,6/27/2013,2.105
7/5/2013,2.3747,7/5/2013,1.53,6/28/2013,-0.2791
7/8/2013,-3.0498,7/8/2013,-1.35,7/1/2013,2.6284
7/9/2013,3.4559,7/9/2013,2.07,7/2/2013,1.0804
7/10/2013,0.1285,7/10/2013,-0.14,7/3/2013,-2.7153
7/11/2013,0.0428,7/11/2013,-0.04,7/4/2013,-1.1705
7/12/2013,2.608,7/12/2013,0.6,7/5/2013,-14.7308
7/16/2013,0.2083,7/16/2013,0.71,7/8/2013,6.7659
7/17/2013,1.2058,7/17/2013,0.22,7/9/2013,-0.5879
7/18/2013,-0.2054,7/18/2013,0.72,7/10/2013,-0.3289
7/19/2013,-1.8526,7/19/2013,-0.82,7/11/2013,1.0544
7/22/2013,0.1258,7/22/2013,0.38,7/12/2013,-0.5727
7/23/2013,0.4189,7/23/2013,0.51,7/15/2013,2.5489
7/24/2013,-0.4589,7/24/2013,-0.23,7/16/2013,0.6652
7/25/2013,-2.347,7/25/2013,-1.44,7/17/2013,2.1611
7/26/2013,-3.6052,7/26/2013,-2.93,7/18/2013,-3.1447
7/29/2013,-3.6955,7/29/2013,-3.31,7/19/2013,2.5189
7/30/2013,1.3407,7/30/2013,1.78,7/22/2013,-0.5026
7/31/2013,-0.1825,7/31/2013,-1.47,7/23/2013,-2.1641
8/1/2013,0.9598,8/1/2013,2.8,7/24/2013,-4.9902
8/2/2013,0.7243,8/2/2013,2.82,7/25/2013,2.253
8/5/2013,-0.4944,8/5/2013,-0.96,7/26/2013,-0.01
8/6/2013,-0.813,8/6/2013,0.75,7/29/2013,-1.9743
8/7/2013,-2.7778,8/7/2013,-3.22,7/30/2013,-0.4324
8/8/2013,0.8899,8/8/2013,-1.36,7/31/2013,1.8698
8/9/2013,1.0678,8/9/2013,0.12,8/1/2013,-7.2925
8/12/2013,4.3638,8/12/2013,-0.55,8/2/2013,6.493
8/13/2013,1.8926,8/13/2013,1.99,8/5/2013,-3.9384
8/14/2013,-0.4752,8/14/2013,1.23,8/6/2013,0.0645
8/15/2013,-1.2587,8/15/2013,-1.67,8/7/2013,0.8392
8/16/2013,-2.4176,8/16/2013,-0.8,8/8/2013,0.5118
8/19/2013,0.7207,8/19/2013,0.57,8/9/2013,0.5326
8/20/2013,-3.0411,8/20/2013,-2.08,8/12/2013,-2.5911
8/21/2013,1.3838,8/21/2013,-0.31,8/13/2013,-6.0228
8/22/2013,-0.4095,8/22/2013,-0.19,8/14/2013,1.3361
8/23/2013,2.5582,8/23/2013,1.97,8/15/2013,-3.1649
8/26/2013,-0.0445,8/26/2013,-0.14,8/16/2013,-2.1718
8/27/2013,-1.5597,8/27/2013,-0.52,8/19/2013,-2.3959
8/28/2013,-1.3581,8/28/2013,-1.76,8/20/2013,2.2386
8/29/2013,-0.413,8/29/2013,0.22,8/21/2013,-4.3338
8/30/2013,-0.6912,8/30/2013,-0.94,8/22/2013,1.1238
9/2/2013,0.9281,9/2/2013,1.06,8/23/2013,3.9889
9/3/2013,3.3103,9/3/2013,2.81,8/26/2013,1.484
9/4/2013,0.6231,9/4/2013,0.62,8/27/2013,2.8652
9/5/2013,-0.5307,9/5/2013,0.13,8/28/2013,-4.1782
9/6/2013,-1.1561,9/6/2013,-0.87,8/29/2013,-0.3638
9/9/2013,2.6541,9/9/2013,2.19,8/30/2013,-0.3539
9/10/2013,6.3979,9/10/2013,1.47,9/2/2013,1.0249
9/11/2013,2.6771,9/11/2013,-0.08,9/3/2013,-3.2414
9/12/2013,1.2836,9/12/2013,-0.41,9/4/2013,-1.6709
9/13/2013,0.4752,9/13/2013,0.08,9/5/2013,-4.5611
9/17/2013,-0.1577,9/17/2013,-0.31,9/6/2013,3.3922
9/18/2013,0.7896,9/18/2013,0.97,9/9/2013,-0.5462
9/19/2013,1.2143,9/19/2013,1.88,9/10/2013,-3.3002
9/20/2013,-0.4644,9/20/2013,0.29,9/11/2013,2.5593
9/24/2013,-1.5552,9/24/2013,-0.34,9/12/2013,-0.4275
9/25/2013,-2.5671,9/25/2013,-0.31,9/13/2013,1.0449
9/26/2013,0.527,9/26/2013,0.77,9/16/2013,0.9405
9/27/2013,-0.9677,9/27/2013,-0.24,9/17/2013,0.3514
9/30/2013,-0.6922,9/30/2013,-1.92,9/18/2013,7.258
10/1/2013,-1.353,10/1/2013,-0.06,9/19/2013,-4.9551
10/2/2013,-1.9534,10/2/2013,-1.53,9/20/2013,1.8376
10/3/2013,-0.2543,10/3/2013,-0.1,9/23/2013,1.6585
10/4/2013,-0.51,10/4/2013,-0.87,9/24/2013,1.2793
10/7/2013,-1.3669,10/7/2013,-1.4,9/25/2013,1.3759
10/8/2013,-2.0355,10/8/2013,0.22,9/26/2013,-0.0949
10/9/2013,2.3873,10/9/2013,1.46,9/27/2013,0.7865
10/10/2013,0.0864,10/10/2013,0.95,9/30/2013,0.7479
10/11/2013,1.9845,10/11/2013,1.63,10/1/2013,-3.2753
10/15/2013,0.3384,10/15/2013,0.03,10/2/2013,0.892
10/16/2013,-0.0843,10/16/2013,-0.06,10/3/2013,0.3904
10/17/2013,0.9705,10/17/2013,0.79,10/4/2013,-1.28
10/18/2013,-1.1283,10/18/2013,-0.06,10/7/2013,0.4626
10/21/2013,1.5216,10/21/2013,0.57,10/8/2013,0.1771
10/22/2013,-0.0833,10/22/2013,0.17,10/9/2013,-1.5732
10/23/2013,-1.2083,10/23/2013,-1.52,10/10/2013,-0.9145
10/24/2013,-2.0666,10/24/2013,0.62,10/11/2013,-0.2309
10/25/2013,-1.0336,10/25/2013,-2.08,10/14/2013,0
10/28/2013,2.611,10/28/2013,1.7,10/15/2013,-1.5035
10/29/2013,-8.0577,10/29/2013,-0.41,10/16/2013,1.9548
10/30/2013,-0.738,10/30/2013,0.92,10/17/2013,3.214
