,9531 JP Equity,,9503 JP Equity,,9502 JP Equity,,9501 JP Equity,,9532 JP Equity,,9508 JP Equity,,9506 JP Equity,,9504 JP Equity,,9513 JP Equity,,9507 JP Equity,,9505 JP Equity,,9509 JP Equity,,9533 JP Equity,,8088 JP Equity,,9536 JP Equity,,9793 JP Equity,,9511 JP Equity,,8174 JP Equity,,9543 JP Equity,,6332 JP Equity,,9539 JP Equity,,9534 JP Equity,,9535 JP Equity,,7568 JP Equity,,9537 JP Equity,,9540 JP Equity,,2766 JP Equity,,3361 JP Equity,,9541 JP Equity,,9818 JP Equity,,1981 JP Equity,,1783 JP Equity,,9542 JP Equity,,1875 JP Equity,,1844 JP Equity,,9544 JP Equity
6/10/2009,3.5227,6/10/2009,20.6679,6/10/2009,21.8896,6/10/2009,24.2313,6/10/2009,3.146,6/10/2009,20.3523,6/10/2009,19.5174,6/10/2009,19.7516,6/10/2009,26.5221,6/10/2009,27.5911,6/10/2009,22.0424,6/10/2009,18.1837,6/10/2009,3.9605,6/10/2009,2.6878,6/10/2009,2.5555,6/10/2009,21.9405,6/10/2009,50.6007,6/10/2009,13.9992,6/10/2009,5.1721,6/10/2009,5.6709,2/3/2010,4.2691,6/10/2009,2.5351,9/25/2009,2.5056,6/22/2010,8.833,9/11/2009,3.1278,10/8/2009,2.6042,6/10/2009,4225.2087,8/26/2009,2.7256,5/21/2010,4.9199,10/13/2009,6.4103,5/18/2010,3.8046,6/16/2009,0.5289,1/29/2010,2.962,6/10/2009,2.6471,6/10/2009,0.2342,2/16/2011,3.7749
6/11/2009,3.5050,6/11/2009,20.6417,6/11/2009,21.7658,6/11/2009,24.1672,6/11/2009,3.1371,6/11/2009,20.2943,6/11/2009,19.5688,6/11/2009,19.6301,6/11/2009,26.6197,6/11/2009,27.6926,6/11/2009,21.9702,6/11/2009,18.1688,6/11/2009,3.9751,6/11/2009,2.6977,6/11/2009,2.5445,6/11/2009,21.7147,6/11/2009,50.4803,6/11/2009,13.9996,6/11/2009,5.1809,6/11/2009,5.7429,2/4/2010,4.4552,6/11/2009,2.524,9/28/2009,2.5159,6/23/2010,8.878,9/14/2009,3.0487,10/13/2009,2.5641,6/11/2009,4189.6587,8/27/2009,2.7131,5/24/2010,4.8735,10/14/2009,6.3206,5/19/2010,3.8457,6/17/2009,0.5328,2/2/2010,3.0642,6/11/2009,2.6569,6/11/2009,0.1839,2/17/2011,3.83
6/12/2009,3.5111,6/12/2009,20.8630,6/12/2009,21.9825,6/12/2009,24.2723,6/12/2009,3.1549,6/12/2009,20.4559,6/12/2009,19.7537,6/12/2009,19.825,6/12/2009,26.8675,6/12/2009,27.8343,6/12/2009,22.1352,6/12/2009,18.2475,6/12/2009,4.0098,6/12/2009,2.7173,6/12/2009,2.5443,6/12/2009,21.4736,6/12/2009,50.7836,6/12/2009,13.7696,6/12/2009,5.2412,6/12/2009,5.7704,2/5/2010,4.3444,6/12/2009,2.5239,9/29/2009,2.5499,6/24/2010,9.0746,9/15/2009,2.9703,10/14/2009,2.5171,6/12/2009,4111.5408,8/28/2009,2.7146,5/25/2010,4.8403,10/19/2009,6.3065,5/20/2010,3.9387,6/18/2009,0.5189,2/3/2010,3.0839,6/12/2009,2.5952,6/12/2009,0.1832,2/21/2011,3.8378
6/15/2009,3.6009,6/15/2009,21.1160,6/15/2009,22.2891,6/15/2009,24.6863,6/15/2009,3.2235,6/15/2009,20.759,6/15/2009,20.0041,6/15/2009,20.2999,6/15/2009,27.1856,6/15/2009,28.4607,6/15/2009,22.5441,6/15/2009,18.4433,6/15/2009,4.1008,6/15/2009,2.8155,6/15/2009,2.5706,6/15/2009,20.759,6/15/2009,51.2088,6/15/2009,14.3426,6/15/2009,5.2331,6/15/2009,5.8044,2/9/2010,4.2779,6/15/2009,2.54,9/30/2009,2.5424,6/25/2010,9.0695,9/16/2009,2.9286,10/19/2009,2.5799,6/15/2009,4253.7999,8/31/2009,2.7146,5/26/2010,4.7324,10/22/2009,6.3143,5/21/2010,3.9181,6/19/2009,0.5407,2/4/2010,3.1534,6/15/2009,2.6217,6/15/2009,0.2142,2/22/2011,3.9183
6/16/2009,3.6400,6/16/2009,21.2071,6/16/2009,22.5552,6/16/2009,24.8885,6/16/2009,3.2977,6/16/2009,20.896,6/16/2009,20.2427,6/16/2009,20.3567,6/16/2009,27.2218,6/16/2009,28.57,6/16/2009,22.5034,6/16/2009,18.5108,6/16/2009,4.117,6/16/2009,2.7585,6/16/2009,2.5718,6/16/2009,20.9997,6/16/2009,50.9178,6/16/2009,14.2902,6/16/2009,5.1644,6/16/2009,5.6933,2/10/2010,4.2009,6/16/2009,2.5511,10/1/2009,2.5307,6/28/2010,9.3949,9/18/2009,2.9144,10/20/2009,2.5754,6/16/2009,4251.7889,9/1/2009,2.7393,5/27/2010,4.7047,10/23/2009,6.2527,5/24/2010,3.8899,6/22/2009,0.5422,2/8/2010,3.1337,6/16/2009,2.6652,6/16/2009,0.2281,2/23/2011,3.933
6/17/2009,3.6252,6/17/2009,21.3644,6/17/2009,22.7225,6/17/2009,25.491,6/17/2009,3.3013,6/17/2009,21.051,6/17/2009,20.4555,6/17/2009,20.6227,6/17/2009,27.4237,6/17/2009,28.9908,6/17/2009,22.9315,6/17/2009,18.5646,6/17/2009,4.1057,6/17/2009,2.873,6/17/2009,2.5909,6/17/2009,21.939,6/17/2009,52.5491,6/17/2009,14.6156,6/17/2009,5.0982,6/17/2009,5.8191,2/15/2010,3.8902,6/17/2009,2.5387,10/2/2009,2.5204,6/29/2010,9.483,9/24/2009,2.928,10/21/2009,2.5824,6/17/2009,4680.3176,9/2/2009,2.7241,5/31/2010,4.6308,10/26/2009,6.1395,5/25/2010,3.939,6/23/2009,0.5684,2/10/2010,3.1563,6/17/2009,2.6849,6/17/2009,0.2194,2/24/2011,3.9863
6/18/2009,3.6011,6/18/2009,21.2744,6/18/2009,22.5197,6/18/2009,25.3736,6/18/2009,3.2482,6/18/2009,20.8593,6/18/2009,20.33,6/18/2009,20.3093,6/18/2009,26.8784,6/18/2009,28.6426,6/18/2009,22.5716,6/18/2009,18.4309,6/18/2009,4.0681,6/18/2009,2.8228,6/18/2009,2.5737,6/18/2009,21.1187,6/18/2009,51.785,6/18/2009,14.4251,6/18/2009,4.8879,6/18/2009,5.7597,2/16/2010,3.9007,6/18/2009,2.5322,10/5/2009,2.5098,6/30/2010,9.483,9/25/2009,3.0401,10/23/2009,2.5663,6/18/2009,4452.0548,9/3/2009,2.6904,6/1/2010,4.8936,10/27/2009,6.3058,5/26/2010,3.9233,6/24/2009,0.5336,2/12/2010,3.1573,6/18/2009,2.6671,6/18/2009,0.2076,2/25/2011,3.9125
6/19/2009,3.6494,6/19/2009,21.6261,6/19/2009,22.9778,6/19/2009,25.837,6/19/2009,3.2959,6/19/2009,21.2622,6/19/2009,20.5448,6/19/2009,20.5864,6/19/2009,27.6045,6/19/2009,29.6319,6/19/2009,22.8218,6/19/2009,18.6005,6/19/2009,4.1173,6/19/2009,2.8384,6/19/2009,2.4953,6/19/2009,20.7528,6/19/2009,52.1938,6/19/2009,14.3377,6/19/2009,4.8139,6/19/2009,5.6457,2/17/2010,3.9317,6/19/2009,2.5265,10/6/2009,2.5338,7/1/2010,9.5912,9/28/2009,3.0303,10/26/2009,2.6684,6/19/2009,4366.8122,9/4/2009,2.6786,6/2/2010,4.9284,10/28/2009,6.33,5/27/2010,3.9004,6/25/2009,0.5305,2/15/2010,3.2678,6/19/2009,2.6721,6/19/2009,0.2183,2/28/2011,3.9707
6/22/2009,3.6388,6/22/2009,22.2083,6/22/2009,23.251,6/22/2009,26.0661,6/22/2009,3.2948,6/22/2009,21.4785,6/22/2009,20.905,6/22/2009,20.905,6/22/2009,28.0471,6/22/2009,29.8718,6/22/2009,22.886,6/22/2009,18.8302,6/22/2009,4.1393,6/22/2009,2.8151,6/22/2009,2.5232,6/22/2009,21.1135,6/22/2009,52.8621,6/22/2009,14.6179,6/22/2009,5.0673,6/22/2009,5.7554,2/18/2010,3.9544,6/22/2009,2.5441,10/8/2009,2.5476,7/2/2010,9.5814,10/1/2009,2.9877,10/27/2009,2.6792,6/22/2009,4556.3549,9/7/2009,2.6477,6/3/2010,4.7325,10/30/2009,6.2889,5/28/2010,3.8995,6/26/2009,0.5467,2/16/2010,3.258,6/22/2009,2.6796,6/22/2009,0.219,3/1/2011,3.9091
6/23/2009,3.6312,6/23/2009,22.2608,6/23/2009,23.4186,6/23/2009,26.1551,6/23/2009,3.2733,6/23/2009,21.6819,6/23/2009,20.9557,6/23/2009,20.9346,6/23/2009,28.7338,6/23/2009,30.2074,6/23/2009,23.2081,6/23/2009,18.7875,6/23/2009,4.1259,6/23/2009,2.7576,6/23/2009,2.5261,6/23/2009,20.7241,6/23/2009,53.0471,6/23/2009,14.388,6/23/2009,5.1153,6/23/2009,5.7994,2/19/2010,3.8964,6/23/2009,2.5366,10/9/2009,2.473,7/5/2010,9.4017,10/2/2009,2.9999,10/28/2009,2.5364,6/23/2009,4515.3142,9/8/2009,2.6907,6/18/2010,4.6417,11/4/2009,6.0059,5/31/2010,3.8846,6/29/2009,0.5733,2/17/2010,3.0617,6/23/2009,2.705,6/23/2009,0.2,3/2/2011,3.8457
