"","Omega (L = 0%)","Omega (L = 0%)","Omega (L = 0%)","Omega (L = 0%)"
"KARSTAR.US.Equity",3.43036361854357,1.49357453984687,2.11600501298939,2.11600501298939
"KINGSMD.KY.Equity",0.856192240534901,0.972229877289654,1.44365975768499,1.44365975768499
"KISCUSD.KY.Equity",1.79492790937178,2.85614422016589,3.25178893638041,3.25178893638041
"KISGLMS.AU.Equity",2.23964247353077,4.20779127002275,5.4782691520064,5.4782691520064
"KKSPCFA.KY.Equity",Inf,Inf,Inf,Inf
"KNIASPR.VI.Equity",1.19055549586333,1.58263528125078,1.59803971994162,1.59803971994162
"KNOSSPA.KY.Equity",1.91078113802494,1.35220983945616,1.40888373059623,1.40888373059623
"KOMOFUN.KY.Equity",1.4847916527832,1.2104369831996,1.23963927752031,1.23963927752031
"KONDORA.KY.Equity",1.23252021985379,1.24408930335199,1.02915774326093,1.02915774326093
"LAUOSSP.KY.Equity",0.784977141644644,1.1329711799242,1.75915860991592,1.75915860991592
"LBNCHPO.KY.Equity",11.0139687756779,1.33629818229454,1.73443573241193,1.73443573241193
"LEBEQPR.KY.Equity",3.14415907207954,0.971296249646358,0.993805562843269,0.993805562843269
"LEGCHNA.KY.Equity",4.67851568644058,1.38284650130046,1.65981932829806,1.65981932829806
"LHASTRF.KY.Equity",Inf,Inf,Inf,Inf
"LUASVAL.KY.Equity",7.44922686360489,1.09203215886317,1.65533569965036,1.65533569965036
"LWLASDF.NT.Equity",Inf,Inf,6.57046577445196,6.57046577445196
"LYNASIA.KY.Equity",1.8217840613707,1.02693608434933,1.34178532349394,1.34178532349394
"MBALATO.KY.Equity",2.55599669148056,2.34017857142857,2.32505383653659,2.32505383653659
"MERINHE.KY.Equity",1.73550549567924,1.34486556801842,1.27457759523509,1.27457759523509
"MERINTF.KY.Equity",1.70821960091268,1.33704234438425,1.27492800683785,1.27492800683785
"MIDASEQ.KY.Equity",2.04891304347826,1.65188212949729,1.28118580659789,1.28118580659789
"MNJAPAR.KY.Equity",100.524600847181,1.62737603809642,2.34317153778104,2.34317153778104
"MQASALA.AU.Equity",1.04895588661154,0.566975525197078,0.88155841350697,0.88155841350697
"MQASLSF.KY.Equity",0.175242766547761,0.395363518638424,0.782048837035375,0.782048837035375
"NAVABRT.KY.Equity",Inf,Inf,Inf,Inf
