7201 JP,,JPY,,NKY,,Industry,,Production,,Anti-Japanese
9/15/2011,666,8/23/2011,-0.17,9/15/2011,1.76,10/7/2011,-0.368888235,,,
9/16/2011,689,8/24/2011,0.42,9/16/2011,2.25,10/11/2011,-0.354629412,,,
9/20/2011,665,8/25/2011,0.62,9/20/2011,-1.61,10/12/2011,2.024141176,,,
9/21/2011,662,8/26/2011,-1.06,9/21/2011,0.23,10/13/2011,-0.127694118,,,
9/22/2011,643,8/29/2011,0.25,9/22/2011,-2.07,10/14/2011,0.403088235,,,
9/26/2011,620,8/30/2011,-0.12,9/26/2011,-2.17,10/17/2011,1.392158824,,,
9/27/2011,648,8/31/2011,-0.1,9/27/2011,2.82,10/18/2011,-1.811535294,,,
9/28/2011,665,9/1/2011,0.35,9/28/2011,0.07,10/19/2011,0.018394118,,,
9/29/2011,690,9/2/2011,-0.17,9/29/2011,0.99,10/20/2011,1.265852941,,,
9/30/2011,693,9/5/2011,0.12,9/30/2011,-0.01,10/21/2011,1.345588235,,,
10/3/2011,686,9/6/2011,1,10/3/2011,-1.78,10/24/2011,1.856547059,,,
10/4/2011,679,9/7/2011,-0.52,10/4/2011,-1.05,10/25/2011,-0.6847,,,
10/5/2011,658,9/8/2011,0.32,10/5/2011,-0.86,10/26/2011,-0.680882353,,,
10/6/2011,686,9/9/2011,0.13,10/6/2011,1.66,10/27/2011,2.555094118,,,
10/7/2011,701,9/12/2011,-0.52,10/7/2011,0.98,10/28/2011,-0.102252941,,,
10/11/2011,711,9/13/2011,-0.32,10/11/2011,1.95,10/31/2011,-0.129641176,,,
10/12/2011,722,9/14/2011,-0.44,10/12/2011,-0.4,11/1/2011,0.613541176,,,
10/13/2011,725,9/15/2011,0.1,10/13/2011,0.97,11/2/2011,-1.163017647,,,
10/14/2011,713,9/16/2011,0.12,10/14/2011,-0.85,11/4/2011,1.0738,,,
10/17/2011,728,9/19/2011,-0.27,10/17/2011,1.5,11/7/2011,0.422276471,,,
10/18/2011,716,9/20/2011,-0.17,10/18/2011,-1.55,11/8/2011,-0.979117647,,,
10/19/2011,709,9/21/2011,0.01,10/19/2011,0.35,11/9/2011,-0.001464706,,,
10/20/2011,697,9/22/2011,-0.29,10/20/2011,-1.03,11/10/2011,-2.612082353,,,
10/21/2011,692,9/23/2011,0.49,10/21/2011,-0.04,11/11/2011,0.133758824,,,
10/24/2011,698,9/26/2011,-0.33,10/24/2011,1.9,11/14/2011,0.682682353,,,
10/25/2011,691,9/27/2011,0.59,10/25/2011,-0.92,11/15/2011,-0.945123529,,,
10/26/2011,690,9/28/2011,-0.26,10/26/2011,-0.16,11/16/2011,-0.779682353,,,
10/27/2011,719,9/29/2011,0.29,10/27/2011,2.04,11/17/2011,0.336964706,,,
10/28/2011,723,9/30/2011,0.3,10/28/2011,1.39,11/18/2011,0.478688235,,,
10/31/2011,735,10/3/2011,-0.56,10/31/2011,-0.69,11/21/2011,-1.356835294,,,
11/1/2011,721,10/4/2011,0.23,11/1/2011,-1.7,11/22/2011,1.473482353,,,
11/2/2011,701,10/5/2011,-0.03,11/2/2011,-2.21,11/24/2011,-0.292141176,,,
11/4/2011,735,10/6/2011,-0.09,11/4/2011,1.86,11/25/2011,-1.444970588,,,
11/7/2011,723,10/7/2011,0.01,11/7/2011,-0.39,11/28/2011,1.743041176,,,
11/8/2011,713,10/10/2011,-0.07,11/8/2011,-1.27,11/29/2011,-0.462641176,,,
11/9/2011,727,10/11/2011,-0.04,11/9/2011,1.15,11/30/2011,-1.3322,,,
11/10/2011,701,10/12/2011,0.8,11/10/2011,-2.91,12/1/2011,1.434082353,,,
11/11/2011,705,10/13/2011,-0.47,11/11/2011,0.16,12/2/2011,-0.787211765,,,
11/14/2011,719,10/14/2011,0.42,11/14/2011,1.05,12/5/2011,0.179488235,,,
11/15/2011,711,10/17/2011,-0.51,11/15/2011,-0.72,12/6/2011,-1.148741176,,,
11/16/2011,694,10/18/2011,-0.01,11/16/2011,-0.92,12/7/2011,0.615688235,,,
11/17/2011,690,10/19/2011,-0.01,11/17/2011,0.19,12/8/2011,-1.102776471,,,
11/18/2011,673,10/20/2011,-0.01,11/18/2011,-1.23,12/9/2011,0.211258824,,,
11/21/2011,653,10/21/2011,-0.66,11/21/2011,-0.32,12/12/2011,0.825617647,,,
11/22/2011,665,10/24/2011,-0.25,11/22/2011,-0.4,12/13/2011,0.020864706,,,
11/24/2011,657,10/25/2011,-0.01,11/24/2011,-1.8,12/14/2011,-0.085564706,,,
11/25/2011,656,10/26/2011,0.12,11/25/2011,-0.06,12/15/2011,-0.2546,,,
11/28/2011,675,10/27/2011,-0.3,11/28/2011,1.56,12/16/2011,0.725758824,,,
11/29/2011,693,10/28/2011,-0.17,11/29/2011,2.3,12/19/2011,-0.397664706,,,
11/30/2011,690,10/31/2011,3.1,11/30/2011,-0.51,12/20/2011,1.169847059,,,
12/1/2011,701,11/1/2011,0.26,12/1/2011,1.93,12/21/2011,1.313341176,,,
12/2/2011,709,11/2/2011,-0.41,12/2/2011,0.54,12/22/2011,0.459558824,,,
12/5/2011,710,11/3/2011,0.01,12/5/2011,0.6,12/28/2011,-0.204805882,,,
12/6/2011,699,11/4/2011,0.23,12/6/2011,-1.39,12/29/2011,-0.328852941,,,
12/7/2011,708,11/7/2011,-0.24,12/7/2011,1.71,12/30/2011,-0.663682353,,,
12/8/2011,693,11/8/2011,-0.41,12/8/2011,-0.66,1/4/2012,0.055258824,,,
12/9/2011,687,11/9/2011,0.12,12/9/2011,-1.48,1/5/2012,0.905970588,,,
12/12/2011,697,11/10/2011,-0.22,12/12/2011,1.37,1/6/2012,-0.261717647,,,
12/13/2011,690,11/11/2011,-0.58,12/13/2011,-1.17,1/10/2012,0.799758824,,,
12/14/2011,689,11/14/2011,-0.17,12/14/2011,-0.39,1/11/2012,0.410311765,,,
12/15/2011,670,11/15/2011,-0.05,12/15/2011,-1.66,1/12/2012,0.780582353,,,
12/16/2011,668,11/16/2011,0.04,12/16/2011,0.29,1/13/2012,2.130723529,,,
12/19/2011,682,11/17/2011,-0.1,12/19/2011,-1.26,1/16/2012,-0.294,,,
12/20/2011,689,11/18/2011,-0.09,12/20/2011,0.49,1/17/2012,0.063452941,,,
12/21/2011,698,11/21/2011,-0.03,12/21/2011,1.48,1/18/2012,-0.496247059,,,
12/22/2011,692,11/22/2011,0.1,12/22/2011,-0.77,1/19/2012,1.292794118,,,
12/26/2011,696,11/23/2011,0.44,12/26/2011,1,1/20/2012,1.743094118,,,
12/27/2011,684,11/24/2011,-0.25,12/27/2011,-0.46,1/26/2012,0.625464706,,,
12/28/2011,686,11/25/2011,0.79,12/28/2011,-0.2,1/27/2012,0.246458824,,,
12/29/2011,692,11/28/2011,0.32,12/29/2011,-0.29,1/30/2012,0.613894118,,,
12/30/2011,692,11/29/2011,-0.06,12/30/2011,0.67,1/31/2012,0.243770588,,,
1/4/2012,699,11/30/2011,-0.4,1/4/2012,1.24,2/1/2012,1.308029412,,,
1/5/2012,691,12/1/2011,0.1,1/5/2012,-0.83,2/2/2012,0.459082353,,,
1/6/2012,676,12/2/2011,0.37,1/6/2012,-1.16,2/3/2012,0.044923529,,,
1/10/2012,675,12/5/2011,-0.22,1/10/2012,0.38,2/6/2012,-0.168729412,,,
1/11/2012,679,12/6/2011,-0.12,1/11/2012,0.3,2/7/2012,1.160376471,,,
1/12/2012,669,12/7/2011,-0.06,1/12/2012,-0.74,2/8/2012,2.369535294,,,
1/13/2012,686,12/8/2011,-0.05,1/13/2012,1.36,2/9/2012,-0.445858824,,,
1/16/2012,689,12/9/2011,0.01,1/16/2012,-1.43,2/10/2012,1.750370588,,,
1/17/2012,702,12/12/2011,0.37,1/17/2012,1.05,2/13/2012,0.992423529,,,
1/18/2012,694,12/13/2011,0.08,1/18/2012,0.99,2/14/2012,-0.582529412,,,
1/19/2012,704,12/14/2011,0.09,1/19/2012,1.04,2/15/2012,1.166841176,,,
1/20/2012,721,12/15/2011,-0.27,1/20/2012,1.47,2/16/2012,0.844217647,,,
1/23/2012,717,12/16/2011,-0.13,1/23/2012,-0.01,2/17/2012,0.572758824,,,
1/24/2012,721,12/19/2011,0.37,1/24/2012,0.22,2/20/2012,0.491794118,,,
1/25/2012,739,12/20/2011,-0.2,1/25/2012,1.12,2/21/2012,0.430141176,,,
1/26/2012,734,12/21/2011,0.22,1/26/2012,-0.39,2/22/2012,0.8632,,,
1/27/2012,728,12/22/2011,0.14,1/27/2012,-0.09,2/23/2012,0.483741176,,,
1/30/2012,726,12/23/2011,-0.1,1/30/2012,-0.54,2/24/2012,-0.2643,,,
1/31/2012,719,12/26/2011,-0.14,1/31/2012,0.11,2/27/2012,-0.350588235,,,
2/1/2012,728,12/27/2011,-0.13,2/1/2012,0.08,2/28/2012,-0.4619,,,
2/2/2012,734,12/28/2011,0.08,2/2/2012,0.76,2/29/2012,-0.573241176,,,
2/3/2012,731,12/29/2011,-0.38,2/3/2012,-0.51,3/1/2012,0.419970588,,,
2/6/2012,755,12/30/2011,-0.94,2/6/2012,1.1,3/2/2012,1.114023529,,,
2/7/2012,756,1/2/2012,-0.01,2/7/2012,-0.13,3/5/2012,0.662170588,,,
2/8/2012,774,1/3/2012,-0.21,2/8/2012,1.1,3/6/2012,-0.162629412,,,
2/9/2012,766,1/4/2012,-0.03,2/9/2012,-0.15,3/7/2012,1.150270588,,,
2/10/2012,757,1/5/2012,0.52,2/10/2012,-0.61,3/8/2012,0.768964706,,,
2/13/2012,759,1/6/2012,-0.19,2/13/2012,0.58,3/9/2012,-0.307294118,,,
2/14/2012,766,1/9/2012,-0.14,2/14/2012,0.59,3/12/2012,0.426517647,,,
2/15/2012,787,1/10/2012,-0.01,2/15/2012,2.3,3/13/2012,-0.558652941,,,
2/16/2012,777,1/11/2012,0,2/16/2012,-0.24,3/14/2012,0.657494118,,,
2/17/2012,793,1/12/2012,-0.12,2/17/2012,1.58,3/15/2012,-0.0952,,,
2/20/2012,808,1/13/2012,0.27,2/20/2012,1.08,3/16/2012,0.023994118,,,
2/21/2012,796,1/16/2012,-0.25,2/21/2012,-0.23,3/19/2012,1.150529412,,,
2/22/2012,814,1/17/2012,0.07,2/22/2012,0.96,3/21/2012,-1.410376471,,,
2/23/2012,827,1/18/2012,-0.01,2/23/2012,0.44,3/22/2012,0.062758824,,,
2/24/2012,829,1/19/2012,0.38,2/24/2012,0.54,3/23/2012,0.780817647,,,
2/27/2012,837,1/20/2012,-0.13,2/27/2012,-0.14,3/26/2012,-0.264517647,,,
2/28/2012,828,1/23/2012,0.01,2/28/2012,0.92,3/27/2012,-0.881941176,,,
2/29/2012,832,1/24/2012,0.84,2/29/2012,0.01,3/28/2012,-0.879111765,,,
3/1/2012,827,1/25/2012,0.14,3/1/2012,-0.16,3/29/2012,-0.622194118,,,
3/2/2012,818,1/26/2012,-0.42,3/2/2012,0.72,3/30/2012,-0.321364706,,,
3/5/2012,810,1/27/2012,-0.97,3/5/2012,-0.8,4/2/2012,0.620758824,,,
3/6/2012,799,1/30/2012,-0.46,3/6/2012,-0.63,4/3/2012,-0.401376471,,,
3/7/2012,800,1/31/2012,-0.1,3/7/2012,-0.64,4/5/2012,0.631911765,,,
3/8/2012,817,2/1/2012,-0.09,3/8/2012,2.01,4/10/2012,0.766382353,,,
3/9/2012,836,2/2/2012,0.03,3/9/2012,1.65,4/11/2012,-1.081447059,,,
3/12/2012,843,2/3/2012,0.5,3/12/2012,-0.4,4/12/2012,0.317558824,,,
3/13/2012,841,2/6/2012,-0.07,3/13/2012,0.09,4/13/2012,1.458735294,,,
3/14/2012,873,2/7/2012,0.27,3/14/2012,1.53,4/16/2012,-0.618070588,,,
3/15/2012,888,2/8/2012,0.36,3/15/2012,0.72,4/17/2012,-0.591388235,,,
3/16/2012,887,2/9/2012,0.82,3/16/2012,0.06,4/18/2012,-0.161764706,,,
3/19/2012,891,2/10/2012,-0.08,3/19/2012,0.12,4/19/2012,0.364641176,,,
3/21/2012,865,2/13/2012,-0.05,3/21/2012,-0.55,4/20/2012,0.704435294,,,
3/22/2012,878,2/14/2012,1.12,3/22/2012,0.4,4/23/2012,-0.004988235,,,
3/23/2012,855,2/15/2012,-0.01,3/23/2012,-1.14,4/24/2012,-0.113158824,,,
3/26/2012,876,2/16/2012,0.65,3/26/2012,0.07,4/25/2012,-1.117782353,,,
3/27/2012,894,2/17/2012,0.77,3/27/2012,2.36,4/26/2012,0.445582353,,,
3/28/2012,893,2/20/2012,0.1,3/28/2012,-0.71,4/27/2012,-1.778376471,,,
3/29/2012,877,2/21/2012,0.14,3/29/2012,-0.67,5/2/2012,-0.618041176,,,
3/30/2012,881,2/22/2012,0.69,3/30/2012,-0.31,5/7/2012,-0.274,,,
4/2/2012,898,2/23/2012,-0.36,4/2/2012,0.26,5/8/2012,-0.007188235,,,
4/3/2012,900,2/24/2012,1.5,4/3/2012,-0.59,5/9/2012,-1.4711,,,
4/4/2012,878,2/27/2012,-0.73,4/4/2012,-2.29,5/10/2012,-0.006447059,,,
4/5/2012,869,2/28/2012,-0.19,4/5/2012,-0.53,5/11/2012,-1.384947059,,,
4/6/2012,856,2/29/2012,0.86,4/6/2012,-0.81,5/14/2012,-0.571941176,,,
4/9/2012,827,3/1/2012,-0.04,4/9/2012,-1.47,5/15/2012,0.779476471,,,
4/10/2012,832,3/2/2012,0.85,4/10/2012,-0.09,5/16/2012,-0.952447059,,,
4/11/2012,833,3/5/2012,-0.31,4/11/2012,-0.83,5/17/2012,-0.5432,,,
4/12/2012,830,3/6/2012,-0.82,4/12/2012,0.7,5/18/2012,-0.671623529,,,
4/13/2012,825,3/7/2012,0.25,4/13/2012,1.19,5/21/2012,-0.0388,,,
4/16/2012,805,3/8/2012,0.58,4/16/2012,-1.74,5/22/2012,0.2488,,,
4/17/2012,804,3/9/2012,1.1,4/17/2012,-0.06,5/23/2012,-0.105458824,,,
4/18/2012,838,3/12/2012,-0.28,4/18/2012,2.14,5/24/2012,-1.8944,,,
4/19/2012,840,3/13/2012,0.86,4/19/2012,-0.82,5/25/2012,-0.6364,,,
4/20/2012,844,3/14/2012,0.95,4/20/2012,-0.28,5/28/2012,-1.469541176,,,
4/23/2012,836,3/15/2012,-0.19,4/23/2012,-0.2,5/29/2012,0.544982353,,,
4/24/2012,831,3/16/2012,-0.17,4/24/2012,-0.78,5/30/2012,0.952041176,,,
4/25/2012,840,3/19/2012,-0.1,4/25/2012,0.98,5/31/2012,-0.101923529,,,
4/26/2012,831,3/20/2012,0.42,4/26/2012,0.01,6/1/2012,-0.490805882,,,
4/27/2012,836,3/21/2012,-0.35,4/27/2012,-0.43,6/4/2012,0.503364706,,,
5/1/2012,802,3/22/2012,-1.04,5/1/2012,-1.78,6/5/2012,0.176470588,,,
5/2/2012,808,3/23/2012,-0.23,5/2/2012,0.31,6/6/2012,0.745535294,,,
5/7/2012,766,3/26/2012,0.57,5/7/2012,-2.78,6/7/2012,-1.361747059,,,
5/8/2012,790,3/27/2012,0.42,5/8/2012,0.69,6/8/2012,-0.809694118,,,
5/9/2012,777,3/28/2012,-0.32,5/9/2012,-1.49,6/11/2012,0.916464706,,,
5/10/2012,778,3/29/2012,-0.53,5/10/2012,-0.39,6/12/2012,-1.222647059,,,
5/11/2012,804,3/30/2012,0.5,5/11/2012,-0.63,6/13/2012,0.740882353,,,
5/14/2012,788,4/2/2012,-0.95,5/14/2012,0.23,6/14/2012,1.069941176,,,
5/15/2012,769,4/3/2012,0.89,5/15/2012,-0.81,6/15/2012,-0.313970588,,,
5/16/2012,752,4/4/2012,-0.42,5/16/2012,-1.12,6/18/2012,0.051752941,,,
5/17/2012,777,4/5/2012,-0.11,5/17/2012,0.86,6/19/2012,-0.625111765,,,
5/18/2012,752,4/6/2012,-0.89,5/18/2012,-2.99,6/20/2012,0.732017647,,,
5/21/2012,743,4/9/2012,-0.18,5/21/2012,0.26,6/21/2012,1.223552941,,,
5/22/2012,776,4/10/2012,-1.01,5/22/2012,1.1,6/22/2012,-0.128394118,,,
5/23/2012,766,4/11/2012,0.24,5/23/2012,-1.98,6/25/2012,-0.286770588,,,
5/24/2012,755,4/12/2012,0.04,5/24/2012,0.08,6/26/2012,-0.879229412,,,
5/25/2012,755,4/13/2012,0.05,5/25/2012,0.2,6/27/2012,-0.288305882,,,
5/28/2012,754,4/16/2012,-0.64,5/28/2012,0.15,6/28/2012,0.010394118,,,
5/29/2012,757,4/17/2012,0.55,5/29/2012,0.74,6/29/2012,-0.051011765,,,
5/30/2012,767,4/18/2012,0.51,5/30/2012,-0.28,7/3/2012,-0.708629412,,,
5/31/2012,758,4/19/2012,0.43,5/31/2012,-1.05,7/4/2012,-0.425588235,,,
6/1/2012,735,4/20/2012,-0.11,6/1/2012,-1.2,7/5/2012,-0.305770588,,,
6/4/2012,709,4/23/2012,-0.42,6/4/2012,-1.71,7/6/2012,-1.390229412,,,
6/5/2012,723,4/24/2012,0.17,6/5/2012,1.04,7/9/2012,-0.829741176,,,
6/6/2012,741,4/25/2012,0.02,6/6/2012,1.81,7/10/2012,-0.876105882,,,
6/7/2012,764,4/26/2012,-0.43,6/7/2012,1.24,7/11/2012,0.195317647,,,
6/8/2012,745,4/27/2012,-0.89,6/8/2012,-2.09,7/12/2012,-0.036558824,,,
6/11/2012,773,4/30/2012,-0.56,6/11/2012,1.96,7/13/2012,-0.072923529,,,
6/12/2012,759,5/1/2012,0.34,6/12/2012,-1.02,7/17/2012,-0.539188235,,,
6/13/2012,750,5/2/2012,0.06,6/13/2012,0.6,7/18/2012,-0.799417647,,,
6/14/2012,745,5/3/2012,0.05,6/14/2012,-0.22,7/19/2012,0.692717647,,,
6/15/2012,740,5/4/2012,-0.41,6/15/2012,0.01,7/20/2012,0.483752941,,,
6/18/2012,762,5/7/2012,0.09,6/18/2012,1.77,7/23/2012,-0.226441176,,,
6/19/2012,746,5/8/2012,-0.06,6/19/2012,-0.75,7/24/2012,0.720717647,,,
6/20/2012,748,5/9/2012,-0.29,6/20/2012,1.11,7/25/2012,-0.521641176,,,
6/21/2012,762,5/10/2012,0.36,6/21/2012,0.82,7/26/2012,0.341335294,,,
6/22/2012,748,5/11/2012,0.01,6/22/2012,-0.29,7/27/2012,0.754841176,,,
6/25/2012,728,5/14/2012,-0.11,6/25/2012,-0.72,7/30/2012,1.200929412,,,
6/26/2012,720,5/15/2012,0.41,6/26/2012,-0.81,7/31/2012,0.944852941,,,
6/27/2012,721,5/16/2012,0.19,6/27/2012,0.77,8/1/2012,-0.686617647,,,
6/28/2012,734,5/17/2012,-1.31,6/28/2012,1.65,8/2/2012,0.925035294,,,
6/29/2012,748,5/18/2012,-0.33,6/29/2012,1.5,8/3/2012,-0.697594118,,,
7/2/2012,743,5/21/2012,0.37,7/2/2012,-0.04,8/6/2012,-0.120964706,,,
7/3/2012,750,5/22/2012,0.82,7/3/2012,0.7,8/7/2012,0.224664706,,,
7/4/2012,757,5/23/2012,-0.61,7/4/2012,0.41,8/8/2012,0.589582353,,,
7/5/2012,750,5/24/2012,0.16,7/5/2012,-0.27,8/9/2012,1.647547059,,,
7/6/2012,746,5/25/2012,0.1,7/6/2012,-0.65,8/10/2012,0.691376471,,,
7/9/2012,728,5/28/2012,-0.26,7/9/2012,-1.37,8/13/2012,-0.077858824,,,
7/10/2012,719,5/29/2012,0.03,7/10/2012,-0.44,8/14/2012,0.429788235,,,
7/11/2012,723,5/30/2012,-0.53,7/11/2012,-0.08,8/15/2012,-0.227423529,,,
7/12/2012,708,5/31/2012,-0.95,7/12/2012,-1.48,8/16/2012,-0.136711765,,,
7/13/2012,711,6/1/2012,-0.38,7/13/2012,0.05,8/17/2012,0.105541176,,,
7/17/2012,700,6/4/2012,0.41,7/17/2012,0.35,8/20/2012,0.408082353,,,
7/18/2012,713,6/5/2012,0.52,7/18/2012,-0.32,8/21/2012,-0.375323529,,,
7/19/2012,728,6/6/2012,0.56,7/19/2012,0.79,8/22/2012,0.385529412,,,
7/20/2012,727,6/7/2012,0.56,7/20/2012,-1.43,8/23/2012,0.098417647,,,
7/23/2012,717,6/8/2012,-0.18,7/23/2012,-1.86,8/24/2012,-1.199723529,,,
7/24/2012,717,6/11/2012,-0.06,7/24/2012,-0.24,8/27/2012,-0.560323529,,,
7/25/2012,699,6/12/2012,0.11,7/25/2012,-1.44,8/28/2012,-0.251264706,,,
7/26/2012,707,6/13/2012,-0.06,7/26/2012,0.92,8/29/2012,-0.200705882,,,
7/27/2012,727,6/14/2012,-0.16,7/27/2012,1.46,8/30/2012,0.356076471,,,
7/30/2012,736,6/15/2012,-0.78,7/30/2012,0.8,8/31/2012,2.028688235,,,
7/31/2012,744,6/18/2012,0.48,7/31/2012,0.69,9/3/2012,-0.763911765,,,
8/1/2012,733,6/19/2012,-0.2,8/1/2012,-0.61,9/4/2012,-0.834729412,,,
8/2/2012,750,6/20/2012,0.75,8/2/2012,0.13,9/5/2012,0.050652941,,,
8/3/2012,738,6/21/2012,0.93,8/3/2012,-1.13,9/6/2012,-0.427517647,,,
8/6/2012,754,6/22/2012,0.19,8/6/2012,2,9/7/2012,0.946535294,,,
8/7/2012,768,6/25/2012,-0.96,8/7/2012,0.88,9/10/2012,-0.302388235,,,
8/8/2012,778,6/26/2012,-0.18,8/8/2012,0.88,9/11/2012,0.984752941,,,
8/9/2012,778,6/27/2012,0.25,8/9/2012,1.1,9/12/2012,-0.517923529,,,
8/10/2012,773,6/28/2012,-0.33,8/10/2012,-0.97,9/13/2012,-0.424282353,,,
8/13/2012,771,6/29/2012,0.42,8/13/2012,-0.07,9/14/2012,0.285876471,,,
8/14/2012,768,7/2/2012,-0.35,8/14/2012,0.5,9/18/2012,-1.1551,,,
8/15/2012,769,7/3/2012,0.35,8/15/2012,-0.05,9/19/2012,0.755917647,,,
8/16/2012,783,7/4/2012,0.11,8/16/2012,1.88,9/20/2012,-0.255176471,,,
8/17/2012,795,7/5/2012,0.05,8/17/2012,0.77,9/21/2012,-0.599205882,,,
8/20/2012,789,7/6/2012,-0.33,8/20/2012,0.09,9/24/2012,0.462729412,,,
8/21/2012,791,7/9/2012,-0.13,8/21/2012,-0.16,9/25/2012,0.098111765,,,
8/22/2012,782,7/10/2012,-0.16,8/22/2012,-0.27,9/26/2012,1.214382353,,,
8/23/2012,777,7/11/2012,0.42,8/23/2012,0.51,9/27/2012,-0.464417647,,,
8/24/2012,765,7/12/2012,-0.56,8/24/2012,-1.17,9/28/2012,-0.583335294,,,
8/27/2012,767,7/13/2012,-0.16,8/27/2012,0.16,10/3/2012,-0.956517647,,,
8/28/2012,751,7/16/2012,-0.39,8/28/2012,-0.57,10/4/2012,0.119605882,,,
8/29/2012,750,7/17/2012,0.24,8/29/2012,0.4,10/5/2012,0.507852941,,,
8/30/2012,741,7/18/2012,-0.33,8/30/2012,-0.95,10/9/2012,0.711623529,,,
8/31/2012,730,7/19/2012,-0.27,8/31/2012,-1.6,10/10/2012,0.425358824,,,
9/3/2012,729,7/20/2012,-0.13,9/3/2012,-0.63,10/11/2012,1.146194118,,,
9/4/2012,736,7/23/2012,-0.11,9/4/2012,-0.1,10/12/2012,0.603423529,,,
9/5/2012,722,7/24/2012,-0.28,9/5/2012,-1.09,10/15/2012,0.320041176,,,
9/6/2012,722,7/25/2012,-0.03,9/6/2012,0.01,10/16/2012,-0.404494118,,,
9/7/2012,751,7/26/2012,0.06,9/7/2012,2.2,10/17/2012,-0.391347059,,,
9/10/2012,748,7/27/2012,0.32,9/10/2012,-0.03,10/18/2012,0.807811765,,,
9/11/2012,741,7/30/2012,-0.36,9/11/2012,-0.7,10/19/2012,-0.124794118,,,
9/12/2012,740,7/31/2012,-0.08,9/12/2012,1.73,10/22/2012,-0.775247059,,,
9/13/2012,736,8/1/2012,0.41,9/13/2012,0.39,10/24/2012,-0.900311765,,,
9/14/2012,738,8/2/2012,-0.25,9/14/2012,1.83,10/25/2012,0.738905882,,,
9/18/2012,701,8/3/2012,0.29,9/18/2012,-0.39,10/26/2012,-0.131241176,,,
9/19/2012,727,8/6/2012,-0.28,9/19/2012,1.19,10/29/2012,-0.045470588,,,
9/20/2012,702,8/7/2012,0.46,9/20/2012,-1.57,10/30/2012,0.908247059,,,
9/21/2012,701,8/8/2012,-0.23,9/21/2012,0.25,10/31/2012,-0.586829412,,,
9/24/2012,682,8/9/2012,0.18,9/24/2012,-0.45,11/1/2012,-0.545970588,,,
9/25/2012,682,8/10/2012,-0.37,9/25/2012,0.25,11/2/2012,0.645311765,,,
9/26/2012,664,8/13/2012,0.05,9/26/2012,-2.03,11/5/2012,-0.180141176,,,
9/27/2012,663,8/14/2012,0.54,9/27/2012,0.48,11/6/2012,-1.040035294,,,
9/28/2012,665,8/15/2012,0.32,9/28/2012,-0.89,11/7/2012,-0.408711765,,,
10/1/2012,655,8/16/2012,0.46,10/1/2012,-0.83,11/8/2012,-1.039558824,,,
10/2/2012,660,8/17/2012,0.26,10/2/2012,-0.12,11/9/2012,2.547094118,,,
10/3/2012,646,8/20/2012,-0.16,10/3/2012,-0.45,11/12/2012,1.961788235,,,
10/4/2012,679,8/21/2012,-0.18,10/4/2012,0.89,11/13/2012,0.382258824,,,
10/5/2012,669,8/22/2012,-0.9,10/5/2012,0.44,11/14/2012,-0.108923529,,,
10/9/2012,656,8/23/2012,-0.11,10/9/2012,-1.06,11/15/2012,1.261629412,,,
10/10/2012,664,8/24/2012,0.23,10/10/2012,-1.98,11/16/2012,1.649082353,,,
10/11/2012,656,8/27/2012,0.09,10/11/2012,-0.58,11/19/2012,0.490935294,,,
10/12/2012,666,8/28/2012,-0.29,10/12/2012,-0.15,11/20/2012,-0.905011765,,,
10/15/2012,675,8/29/2012,0.25,10/15/2012,0.51,11/21/2012,0.156476471,,,
10/16/2012,682,8/30/2012,-0.1,10/16/2012,1.44,11/22/2012,0.970429412,,,
10/17/2012,675,8/31/2012,-0.31,10/17/2012,1.21,11/26/2012,0.513835294,,,
10/18/2012,698,9/3/2012,-0.17,10/18/2012,2,11/27/2012,-0.407629412,,,
10/19/2012,709,9/4/2012,0.22,10/19/2012,0.22,11/28/2012,-0.066358824,,,
10/22/2012,704,9/5/2012,-0.05,10/22/2012,0.09,11/29/2012,0.205152941,,,
10/23/2012,702,9/6/2012,0.6,10/23/2012,0.04,11/30/2012,0.837052941,,,
10/24/2012,690,9/7/2012,-0.79,10/24/2012,-0.67,12/3/2012,0.0725,,,
10/25/2012,703,9/10/2012,0.06,10/25/2012,1.13,12/4/2012,0.602382353,,,
10/26/2012,685,9/11/2012,-0.66,10/26/2012,-1.35,12/5/2012,0.813441176,,,
10/29/2012,670,9/12/2012,0.12,10/29/2012,-0.04,12/6/2012,0.935970588,,,
10/30/2012,653,9/13/2012,-0.48,10/30/2012,-0.98,12/7/2012,0.001570588,,,
10/31/2012,668,9/14/2012,1.16,10/31/2012,0.98,12/10/2012,0.383429412,,,
11/1/2012,672,9/17/2012,0.41,11/1/2012,0.21,12/11/2012,0.797170588,,,
11/2/2012,686,9/18/2012,0.14,11/2/2012,1.17,12/12/2012,1.474058824,,,
11/5/2012,691,9/19/2012,-0.56,11/5/2012,-0.48,12/13/2012,0.237688235,,,
11/6/2012,677,9/20/2012,-0.18,11/6/2012,-0.36,12/14/2012,-0.680923529,,,
11/7/2012,705,9/21/2012,-0.09,11/7/2012,-0.03,12/17/2012,-0.044029412,,,
11/8/2012,697,9/24/2012,-0.41,11/8/2012,-1.51,12/18/2012,1.005994118,,,
11/9/2012,698,9/25/2012,-0.06,11/9/2012,-0.9,12/19/2012,1.202158824,,,
11/12/2012,688,9/26/2012,-0.06,11/12/2012,-0.93,12/20/2012,0.282352941,,,
11/13/2012,687,9/27/2012,-0.18,11/13/2012,-0.18,12/21/2012,2.294964706,,,
