,ann.ret.5,ann.std.5,downrisk.5,drawdown.5,sharpe.5,sortino.5,inforatio.5,alpha.5,beta.5,corr.bhf.5,corr.bidx.5,omega.5,wl.5,skewness.5,kurtosis.5
IVMAOPP.KY.Equity,0.020482707,0.147307625,0.123002072,-0.335574069,0.105104587,0.125873547,0.150935178,-0.004874209,0.992604116,0.713431046,0.664548421,1.181898104,0.616666667,-0.767825436,1.289622988
JABEMX1.KY.Equity,0.065082074,0.0561783,0.030215279,-0.095842535,1.069489009,1.988466649,0.159160799,0.003183136,0.296796724,NA,0.520290365,2.486904767,0.65,0.412300777,0.655234367
K2AARFA.AU.Equity,0.061225694,0.140552705,0.161511171,-0.374746561,0.400032813,0.348122633,-0.013735833,0.001086367,0.636991414,NA,0.446323384,1.518273487,0.7,-2.619620701,11.66152822
KINGSMD.KY.Equity,0.075900755,0.216611721,0.140181772,-0.388058606,0.327317258,0.505777275,0.157268627,0.008785912,-0.104574438,0.078677525,-0.047612323,1.480532693,0.55,0.628599769,4.787566486
KKSPCFA.KY.Equity,0.091410458,0.008447227,NA,0,10.2294465,NA,1.0840589,0.007295173,0.003164059,NA,0.036888049,Inf,1,1.08604494,1.88151932
KNIASPR.VI.Equity,0.03503986,0.071409028,0.047420309,-0.095561915,0.420673142,0.633480904,-0.537790235,0.002121754,0.127383226,0.285199116,0.175927978,1.59199895,0.5,0.595625133,2.996497378
KNOSSPA.KY.Equity,0.065111251,0.229415996,0.157037899,-0.450924136,0.262018567,0.382781806,0.251208403,0.001410383,0.796405495,0.300882766,0.342362618,1.384630829,0.583333333,0.292552489,2.767895489
KOMOFUN.KY.Equity,0.02771685,0.195501575,0.155492962,-0.393630694,0.116197787,0.146095683,0.066089556,-0.002723432,0.874459748,0.373830505,0.441128737,1.228413259,0.533333333,-0.142374408,2.455559101
KONDORA.KY.Equity,0.000308307,0.062690491,0.042945137,-0.091020685,-0.074838997,-0.109248538,-0.508918283,0.001799234,-0.214136847,-0.240757227,-0.33687247,1.029163024,0.533333333,0.003833596,1.635300807
LBNCHPO.KY.Equity,0.117759929,0.17313575,0.119508535,-0.309682874,0.651280446,0.943530342,0.5774006,0.004712721,0.773481002,0.547315857,0.440594108,1.800183775,0.566666667,0.13381226,2.147810251
LEGCHNA.KY.Equity,0.138797575,0.304178982,0.229232957,-0.465546517,0.439864627,0.583675122,0.380002854,0.004382445,1.364991845,0.544683361,0.442564569,1.630142541,0.583333333,0.255820374,4.40396478
LHASTRF.KY.Equity,0.036853545,0.002060353,NA,0,15.46023801,NA,-0.063829234,0.003017396,0.000427737,0.067017941,0.020474397,Inf,1,-1.145388174,7.671176758
LUASVAL.KY.Equity,0.079625909,0.170250839,0.151897246,-0.31813029,0.438329173,0.49129205,0.446589813,-7.53E-05,1.020635333,0.66328403,0.591230904,1.578003101,0.683333333,-0.472453221,3.420989394
LWLASDF.NT.Equity,0.048064091,0.023189102,0.061051082,-0.033309,1.857083194,0.705378008,0.020678483,0.003900604,0.005473121,0.077251007,0.023276994,6.672494843,0.966666667,-1.403054684,21.2564979
LYNASIA.KY.Equity,0.048695091,0.149547622,0.092080973,-0.258302973,0.292181782,0.474528982,0.163239981,-0.001233028,0.812243657,0.567116016,0.535651846,1.341784925,0.566666667,0.021720692,-0.348409884
MERINHE.KY.Equity,0.027240289,0.109444033,0.065016488,-0.181070204,0.203211523,0.342071517,0.082325019,0.001011502,0.23023212,NA,0.207171063,1.279208441,0.483333333,0.41319083,1.215066012
MERINTF.KY.Equity,0.023323063,0.094033307,0.057680026,-0.162795028,0.194857162,0.317667392,0.024963264,0.00055536,0.23169066,NA,0.242651,1.273554592,0.55,0.326863108,1.600596399
MIDASEQ.KY.Equity,0.021173996,0.090358139,0.03610699,-0.133505036,0.178998771,0.447946385,0.263931846,0.002096537,-0.003931492,0.101714021,-0.004291073,1.281183539,0.5,2.814340296,14.14233337
NAVABRT.KY.Equity,0.070579291,0.003709915,NA,0,17.67676186,NA,0.567683332,0.00568524,0.001969047,0.053832107,0.052344106,Inf,1,-1.46130868,1.891469886
NAVASIA.KY.Equity,0.05150455,0.122435673,0.091568855,-0.240935744,0.379828434,0.507864273,0.281933284,-0.000772667,0.749233395,NA,0.602648979,1.431964671,0.6,-0.551330944,0.300794847
NAVYILD.KY.Equity,0.051916716,0.12671373,0.085058242,-0.189486499,0.370257553,0.551583418,0.03235311,-0.0020357,0.919674589,0.694196565,0.715791109,1.409590294,0.55,-0.422027415,0.596018951
NEWHBAS.KY.Equity,0.058013184,0.117212033,0.093060453,-0.237297129,0.452284482,0.569663936,0.086610936,-0.000900005,0.820237492,0.695176016,0.690149544,1.552821181,0.633333333,-0.381440317,1.2984408
NHINDIA.MP.Equity,0.125213981,0.200542173,0.131771398,-0.301294865,0.599444889,0.912291909,0.605061837,0.003328946,1.099213803,NA,0.539798568,1.672392737,0.6,-0.165190982,-0.024022015
NORASXD.KY.Equity,0.058902426,0.137393904,0.066090978,-0.170275906,0.392320356,0.815579173,0.173942159,0.005117175,0.056039206,0.244098134,0.040225393,1.454203048,0.5,0.619823837,0.355081847
NTADUSA.KY.Equity,0.093887746,0.136583658,0.115183666,-0.331938914,0.650793421,0.771704435,0.517627774,0.001880403,0.850723395,0.684746164,0.614278653,1.722752904,0.633333333,-0.994231764,1.714931869
NTASIAN.KY.Equity,0.094538534,0.136756947,0.115182321,-0.331508458,0.654727503,0.777363518,0.525184825,0.001921843,0.852092626,0.684712675,0.614487705,1.728273465,0.633333333,-0.986619916,1.70395693
OCTAPAF.KY.Equity,0.05477157,0.070900254,0.036294747,-0.088387441,0.701994241,1.371316085,0.17695614,0.002754428,0.252614703,0.423520557,0.351387755,1.885855332,0.566666667,0.772752657,1.726923714
OPAFFRA.VI.Equity,-0.00744522,0.167819045,0.119500661,-0.507913232,-0.074158569,-0.104143526,0.034058975,-0.004833714,0.714426344,0.494000132,0.419847918,1.029520897,0.566666667,-0.313470383,0.179651324
PANGOLN.KY.Equity,0.071920478,0.113344133,0.086124413,-0.235695348,0.590418539,0.777020997,0.427079765,0.001251874,0.67533763,0.539832119,0.587621519,1.640102759,0.633333333,-0.761311101,1.358218687
PANNOTI.VI.Equity,0.049410121,0.13397877,0.064388506,-0.176476724,0.33147133,0.689721254,0.229608383,0.000859833,0.519729641,NA,0.382029385,1.426255849,0.5,1.481369073,5.340767276
PASINLD.KY.Equity,0.276592442,0.30649372,0.180353094,-0.454491997,0.886127263,1.50589289,0.591816788,0.017295697,0.93828287,0.277464489,0.301917297,2.036399463,0.55,-0.068416363,-0.368254442
PASINLP.US.Equity,0.277645801,0.317972659,0.181941868,-0.47601593,0.857450453,1.49853249,0.56764297,0.017893776,0.905116003,0.251993996,0.280730922,1.997515896,0.55,-0.017865038,-0.440711364
PELAALA.NA.Equity,0.013549584,0.053940485,0.032883905,-0.075236853,0.158500327,0.259992984,-0.135064494,0.00131311,-0.009681659,NA,-0.017676254,1.238257525,0.483333333,0.313549026,1.553463072
PENASEF.AU.Equity,-0.004212284,0.08642527,0.105897016,-0.144441189,-0.106592478,-0.086992854,-0.386505953,-0.00251174,0.332379059,NA,0.378746111,0.995890479,0.7,-2.283887409,5.728700254
PENASEU.KY.Equity,0.03225274,0.051422019,0.048769931,-0.080451663,0.529981912,0.558802104,-0.090583567,0.000867754,0.253506439,NA,0.4855066,1.661346079,0.7,-1.099062038,3.013089515
PERUEQU.KY.Equity,-0.037945236,0.159674187,0.096229238,-0.555876009,-0.268955406,-0.446280536,-0.430919197,-0.006974963,0.635081401,0.427642873,0.392256789,0.871489145,0.466666667,0.852600251,3.362636729
PHALJAM.US.Equity,0.055323098,0.108365265,0.099234726,-0.234483575,0.464384025,0.50711177,0.190546487,0.006209847,-0.16156,-0.070124707,-0.147034597,1.572293621,0.616666667,-1.501786201,7.068334656
PRUENHN.KY.Equity,0.132175546,0.08152702,0.062205905,-0.104183147,1.559918985,2.044428817,1.08004903,0.007857293,0.373564516,0.575322271,0.451897395,3.300288518,0.8,-0.410069112,1.539043811
PSAARFL.KY.Equity,0.093316678,0.100725001,0.068499976,-0.165203372,0.876809893,1.289295008,0.514088854,0.003575303,0.571555604,0.622841229,0.559624852,1.979985572,0.7,-0.488521923,0.229476565
PSFZAR1.SJ.Equity,0.222575881,0.15317174,0.092892898,-0.120052,1.420470128,2.342222991,0.823626686,0.017385624,0.060696382,NA,0.039024687,2.928091082,0.616666667,-0.122799441,0.531245893
