,857 HK Equity,,386 HK Equity,,883 HK Equity,,1088 HK Equity,,2883 HK Equity,,1898 HK Equity,,1171 HK Equity,,384 HK Equity,,3337 HK Equity,,956 HK Equity,,196 HK Equity,,568 HK Equity,,975 HK Equity,,1393 HK Equity,,951 HK Equity,,686 HK Equity,,712 HK Equity,,839 HK Equity,,866 HK Equity,,3303 HK Equity,,842 HK Equity,,,,,,,,,
9/30/2011,1.24199,9/30/2011,0.76,9/30/2011,1.66968,9/30/2011,3.99,9/30/2011,1.29465,9/30/2011,0.91,9/30/2011,2.19885,9/30/2011,0.26,9/30/2011,0.10403,,,9/30/2011,0.09633,9/30/2011,0.24,,,9/30/2011,0.29412,,,9/30/2011,0.13,3/28/2013,0.16489,9/30/2011,0.16,11/23/2012,0.14967,9/30/2011,0.06,,,,,,,,,,,
10/3/2011,1.2109,10/3/2011,0.76,10/3/2011,1.56146,10/3/2011,3.70,10/3/2011,1.15697,10/3/2011,0.90,10/3/2011,1.88505,10/3/2011,0.23,10/3/2011,0.10273,,,10/3/2011,0.08603,10/3/2011,0.23,,,10/3/2011,0.26324,,,10/3/2011,0.12,4/2/2013,0.14686,10/3/2011,0.14,11/26/2012,0.1471,10/3/2011,0.06,,,,,,,,,,,
10/4/2011,1.16125,10/4/2011,0.75,10/4/2011,1.4567,10/4/2011,3.53,10/4/2011,1.13042,10/4/2011,0.85,10/4/2011,1.77785,10/4/2011,0.21,10/4/2011,0.09891,,,10/4/2011,0.08864,10/4/2011,0.22,,,10/4/2011,0.2415,,,10/4/2011,0.12,4/3/2013,0.15074,10/4/2011,0.13,11/27/2012,0.14322,10/4/2011,0.06,,,,,,,,,,,
10/6/2011,1.1951,10/6/2011,0.75,10/6/2011,1.58061,10/6/2011,3.72,10/6/2011,1.33645,10/6/2011,0.91,10/6/2011,1.95842,10/6/2011,0.22,10/6/2011,0.09638,,,10/6/2011,0.08995,10/6/2011,0.23,,,10/6/2011,0.26215,,,10/6/2011,0.12,4/5/2013,0.13908,10/6/2011,0.13,11/28/2012,0.14064,10/6/2011,0.05,,,,,,,,,,,
10/7/2011,1.19644,10/7/2011,0.74,10/7/2011,1.65009,10/7/2011,3.96,10/7/2011,1.31853,10/7/2011,0.97,10/7/2011,2.08189,10/7/2011,0.25,10/7/2011,0.10281,,,10/7/2011,0.09638,10/7/2011,0.24,,,10/7/2011,0.30971,,,10/7/2011,0.12,4/8/2013,0.13781,10/7/2011,0.14,11/29/2012,0.1458,10/7/2011,0.05,,,,,,,,,,,
10/10/2011,1.17978,10/10/2011,0.71,10/10/2011,1.69642,10/10/2011,3.98,10/10/2011,1.32372,10/10/2011,0.98,10/10/2011,2.11538,10/10/2011,0.24,10/10/2011,0.10153,,,10/10/2011,0.09125,10/10/2011,0.24,,,10/10/2011,0.32386,,,10/10/2011,0.12,4/9/2013,0.15327,10/10/2011,0.14,11/30/2012,0.14709,10/10/2011,0.06,,,,,,,,,,,
10/11/2011,1.15926,10/11/2011,0.70,10/11/2011,1.76331,10/11/2011,3.98,10/11/2011,1.38546,10/11/2011,1.05,10/11/2011,2.24913,10/11/2011,0.22,10/11/2011,0.10796,,,10/11/2011,0.09382,10/11/2011,0.25,,,10/11/2011,0.34058,,,10/11/2011,0.12,4/10/2013,0.1739,10/11/2011,0.15,12/3/2012,0.14322,10/11/2011,0.06,,,,,,,,,,,
10/12/2011,1.16209,10/12/2011,0.71,10/12/2011,1.7637,10/12/2011,4.04,10/12/2011,1.39862,10/12/2011,1.05,10/12/2011,2.37045,10/12/2011,0.25,10/12/2011,0.11055,,,10/12/2011,0.09641,10/12/2011,0.27,,,10/12/2011,0.37536,,,10/12/2011,0.12,4/11/2013,0.16621,10/12/2011,0.15,12/4/2012,0.14064,10/12/2011,0.06,,,,,,,,,,,
10/13/2011,1.19315,10/13/2011,0.71,10/13/2011,1.78973,10/13/2011,4.26,10/13/2011,1.49916,10/13/2011,1.09,10/13/2011,2.49174,10/13/2011,0.26,10/13/2011,0.12086,,,10/13/2011,0.099,10/13/2011,0.28,,,10/13/2011,0.43329,,,10/13/2011,0.12,4/12/2013,0.1662,10/13/2011,0.19,12/5/2012,0.14193,10/13/2011,0.06,,,,,,,,,,,
10/14/2011,1.19961,10/14/2011,0.71,10/14/2011,1.70749,10/14/2011,4.19,10/14/2011,1.43748,10/14/2011,1.07,10/14/2011,2.52266,10/14/2011,0.25,10/14/2011,0.117,,,10/14/2011,0.09643,10/14/2011,0.28,,,10/14/2011,0.4153,,,10/14/2011,0.12,4/15/2013,0.15716,10/14/2011,0.18,12/6/2012,0.13935,10/14/2011,0.06,,,,,,,,,,,
10/17/2011,1.24961,10/17/2011,0.72,10/17/2011,1.76386,10/17/2011,4.42,10/17/2011,1.52474,10/17/2011,1.10,10/17/2011,2.69336,10/17/2011,0.25,10/17/2011,0.1247,,,10/17/2011,0.09899,10/17/2011,0.28,,,10/17/2011,0.43711,,,10/17/2011,0.12,4/16/2013,0.17262,10/17/2011,0.19,12/7/2012,0.14322,10/17/2011,0.06,,,,,,,,,,,
10/18/2011,1.22009,10/18/2011,0.71,10/18/2011,1.6765,10/18/2011,4.28,10/18/2011,1.4528,10/18/2011,1.03,10/18/2011,2.49418,10/18/2011,0.23,10/18/2011,0.12342,,,10/18/2011,0.09257,10/18/2011,0.27,,,10/18/2011,0.38056,,,10/18/2011,0.12,4/17/2013,0.16746,10/18/2011,0.17,12/10/2012,0.14193,10/18/2011,0.06,,,,,,,,,,,
10/19/2011,1.24733,10/19/2011,0.72,10/19/2011,1.69483,10/19/2011,4.38,10/19/2011,1.54823,10/19/2011,1.04,10/19/2011,2.40722,10/19/2011,0.23,10/19/2011,0.12859,,,10/19/2011,0.09516,10/19/2011,0.27,,,10/19/2011,0.39477,,,10/19/2011,0.12,4/18/2013,0.17002,10/19/2011,0.17,12/11/2012,0.14322,10/19/2011,0.06,,,,,,,,,,,
10/20/2011,1.2147,10/20/2011,0.70,10/20/2011,1.64274,10/20/2011,4.24,10/20/2011,1.48849,10/20/2011,1.01,10/20/2011,2.31114,10/20/2011,0.22,10/20/2011,0.12725,,,10/20/2011,0.09512,10/20/2011,0.26,,,10/20/2011,0.37534,,,10/20/2011,0.12,4/19/2013,0.17775,10/20/2011,0.17,12/12/2012,0.14451,10/20/2011,0.05,,,,,,,,,,,
10/21/2011,1.20796,10/21/2011,0.71,10/21/2011,1.65003,10/21/2011,4.18,10/21/2011,1.46498,10/21/2011,1.04,10/21/2011,2.32597,10/21/2011,0.23,10/21/2011,0.12337,,,10/21/2011,0.09638,10/21/2011,0.26,,,10/21/2011,0.38166,,,10/21/2011,0.12,4/22/2013,0.18547,10/21/2011,0.17,12/13/2012,0.14322,10/21/2011,0.06,,,,,,,,,,,
10/24/2011,1.25354,10/24/2011,0.73,10/24/2011,1.75881,10/24/2011,4.38,10/24/2011,1.56853,10/24/2011,1.12,10/24/2011,2.42222,10/24/2011,0.24,10/24/2011,0.12857,,,10/24/2011,0.09771,10/24/2011,0.28,,,10/24/2011,0.41142,,,10/24/2011,0.12,4/23/2013,0.18289,10/24/2011,0.18,12/14/2012,0.14709,10/24/2011,0.06,,,,,,,,,,,
