,857 HK Equity,,386 HK Equity,,883 HK Equity,,1088 HK Equity,,2883 HK Equity,,1898 HK Equity,,1171 HK Equity,,384 HK Equity,,3337 HK Equity,,956 HK Equity,,196 HK Equity,,568 HK Equity,,975 HK Equity,,1393 HK Equity,,951 HK Equity,,686 HK Equity,,712 HK Equity,,839 HK Equity,,866 HK Equity,,3303 HK Equity,,842 HK Equity,,,,,,,,,
11/11/2011,1.33962,11/11/2011,0.82,11/11/2011,1.97987,11/11/2011,4.52,11/11/2011,1.57618,11/11/2011,1.29,11/11/2011,2.63554,11/11/2011,0.30,11/11/2011,0.11442,,,11/11/2011,0.09642,11/11/2011,0.33,,,11/11/2011,0.38312,,,11/11/2011,0.11,5/14/2013,0.19326,11/11/2011,0.20,1/8/2013,0.16514,11/11/2011,0.07,,,,,,,,,,,
11/14/2011,1.36471,11/14/2011,0.83,11/14/2011,2.02521,11/14/2011,4.73,11/14/2011,1.60372,11/14/2011,1.35,11/14/2011,2.70499,11/14/2011,0.35,11/14/2011,0.11308,,,11/14/2011,0.09895,11/14/2011,0.34,,,11/14/2011,0.38937,,,11/14/2011,0.11,5/15/2013,0.21773,11/14/2011,0.21,1/9/2013,0.16512,11/14/2011,0.07,,,,,,,,,,,
11/15/2011,1.34149,11/15/2011,0.82,11/15/2011,2.00709,11/15/2011,4.74,11/15/2011,1.59591,11/15/2011,1.33,11/15/2011,2.6984,11/15/2011,0.36,11/15/2011,0.11308,,,11/15/2011,0.09766,11/15/2011,0.33,,,11/15/2011,0.39319,,,11/15/2011,0.11,5/16/2013,0.21767,11/15/2011,0.21,1/10/2013,0.17029,11/15/2011,0.07,,,,,,,,,,,
11/16/2011,1.31839,11/16/2011,0.80,11/16/2011,1.96603,11/16/2011,4.56,11/16/2011,1.53684,11/16/2011,1.32,11/16/2011,2.67277,11/16/2011,0.34,11/16/2011,0.10922,,,11/16/2011,0.0938,11/16/2011,0.33,,,11/16/2011,0.37779,,,11/16/2011,0.11,5/20/2013,0.20871,11/16/2011,0.20,1/11/2013,0.16512,11/16/2011,0.06,,,,,,,,,,,
11/17/2011,1.30741,11/17/2011,0.79,11/17/2011,1.94442,11/17/2011,4.52,11/17/2011,1.58995,11/17/2011,1.31,11/17/2011,2.64564,11/17/2011,0.34,11/17/2011,0.10788,,,11/17/2011,0.09375,11/17/2011,0.33,,,11/17/2011,0.35832,,,11/17/2011,0.11,5/21/2013,0.23064,11/17/2011,0.19,1/14/2013,0.16511,11/17/2011,0.06,,,,,,,,,,,
11/18/2011,1.27876,11/18/2011,0.79,11/18/2011,1.90273,11/18/2011,4.48,11/18/2011,1.5304,11/18/2011,1.28,11/18/2011,2.50103,11/18/2011,0.33,11/18/2011,0.10913,,,11/18/2011,0.09629,11/18/2011,0.31,,,11/18/2011,0.34794,,,11/18/2011,0.11,5/22/2013,0.23062,11/18/2011,0.19,1/15/2013,0.16254,11/18/2011,0.06,,,,,,,,,,,
11/21/2011,1.27473,11/21/2011,0.79,11/21/2011,1.84598,11/21/2011,4.37,11/21/2011,1.50194,11/21/2011,1.22,11/21/2011,2.37744,11/21/2011,0.33,11/21/2011,0.10526,,,11/21/2011,0.09628,11/21/2011,0.31,,,11/21/2011,0.33633,,,11/21/2011,0.11,5/23/2013,0.22028,11/21/2011,0.19,1/16/2013,0.16124,11/21/2011,0.06,,,,,,,,,,,
11/22/2011,1.26288,11/22/2011,0.80,11/22/2011,1.84299,11/22/2011,4.34,11/22/2011,1.48363,11/22/2011,1.21,11/22/2011,2.37689,11/22/2011,0.35,11/22/2011,0.10267,,,11/22/2011,0.09112,11/22/2011,0.31,,,11/22/2011,0.34267,,,11/22/2011,0.11,5/24/2013,0.22154,11/22/2011,0.18,1/17/2013,0.15221,11/22/2011,0.06,,,,,,,,,,,
11/23/2011,1.22918,11/23/2011,0.79,11/23/2011,1.78347,11/23/2011,4.18,11/23/2011,1.45757,11/23/2011,1.15,11/23/2011,2.26847,11/23/2011,0.34,11/23/2011,0.10393,,,11/23/2011,0.09623,11/23/2011,0.32,,,11/23/2011,0.32333,,,11/23/2011,0.11,5/27/2013,0.23056,11/23/2011,0.18,1/18/2013,0.15866,11/23/2011,0.06,,,,,,,,,,,
11/24/2011,1.22245,11/24/2011,0.80,11/24/2011,1.76249,11/24/2011,4.21,11/24/2011,1.45206,11/24/2011,1.17,11/24/2011,2.27302,11/24/2011,0.36,11/24/2011,0.10134,,,11/24/2011,0.09364,11/24/2011,0.32,,,11/24/2011,0.3271,,,11/24/2011,0.11,5/28/2013,0.23184,11/24/2011,0.18,1/21/2013,0.16252,11/24/2011,0.06,,,,,,,,,,,
11/25/2011,1.2044,11/25/2011,0.79,11/25/2011,1.73157,11/25/2011,4.16,11/25/2011,1.40834,11/25/2011,1.11,11/25/2011,2.2318,11/25/2011,0.36,11/25/2011,0.10261,,,11/25/2011,0.09235,11/25/2011,0.32,,,11/25/2011,0.32066,,,11/25/2011,0.10,5/29/2013,0.22798,11/25/2011,0.18,1/22/2013,0.15864,11/25/2011,0.06,,,,,,,,,,,
11/28/2011,1.23278,11/28/2011,0.79,11/28/2011,1.77797,11/28/2011,4.24,11/28/2011,1.37774,11/28/2011,1.12,11/28/2011,2.28853,11/28/2011,0.36,11/28/2011,0.10262,,,11/28/2011,0.09749,11/28/2011,0.33,,,11/28/2011,0.32327,,,11/28/2011,0.11,5/30/2013,0.22541,11/28/2011,0.18,1/23/2013,0.15349,11/28/2011,0.06,,,,,,,,,,,
11/29/2011,1.23878,11/29/2011,0.79,11/29/2011,1.81004,11/29/2011,4.27,11/29/2011,1.44546,11/29/2011,1.14,11/29/2011,2.33893,11/29/2011,0.34,11/29/2011,0.10655,,,11/29/2011,0.09756,11/29/2011,0.34,,,11/29/2011,0.32478,,,11/29/2011,0.11,5/31/2013,0.22028,11/29/2011,0.19,1/24/2013,0.15091,11/29/2011,0.06,,,,,,,,,,,
11/30/2011,1.23039,11/30/2011,0.78,11/30/2011,1.8044,11/30/2011,4.20,11/30/2011,1.47235,11/30/2011,1.13,11/30/2011,2.23684,11/30/2011,0.35,11/30/2011,0.11197,,,11/30/2011,0.09395,11/30/2011,0.33,,,11/30/2011,0.33205,,,11/30/2011,0.11,6/3/2013,0.22545,11/30/2011,0.19,1/25/2013,0.14573,11/30/2011,0.06,,,,,,,,,,,
12/1/2011,1.29999,12/1/2011,0.81,12/1/2011,1.97444,12/1/2011,4.46,12/1/2011,1.60632,12/1/2011,1.22,12/1/2011,2.44552,12/1/2011,0.36,12/1/2011,0.12228,,,12/1/2011,0.09911,12/1/2011,0.34,,,12/1/2011,0.35653,,,12/1/2011,0.11,6/4/2013,0.21905,12/1/2011,0.20,1/28/2013,0.1418,12/1/2011,0.06,,,,,,,,,,,
12/2/2011,1.28486,12/2/2011,0.81,12/2/2011,1.96205,12/2/2011,4.41,12/2/2011,1.57582,12/2/2011,1.20,12/2/2011,2.3663,12/2/2011,0.37,12/2/2011,0.11844,,,12/2/2011,0.09913,12/2/2011,0.34,,,12/2/2011,0.35662,,,12/2/2011,0.11,6/5/2013,0.22162,12/2/2011,0.20,1/29/2013,0.14178,12/2/2011,0.06,,,,,,,,,,,
12/5/2011,1.29735,12/5/2011,0.82,12/5/2011,1.98206,12/5/2011,4.54,12/5/2011,1.60367,12/5/2011,1.21,12/5/2011,2.41451,12/5/2011,0.37,12/5/2011,0.12098,,,12/5/2011,0.0991,12/5/2011,0.34,,,12/5/2011,0.36681,,,12/5/2011,0.11,6/6/2013,0.2216,12/5/2011,0.20,1/30/2013,0.14693,12/5/2011,0.06,,,,,,,,,,,
12/6/2011,1.28403,12/6/2011,0.81,12/6/2011,1.95821,12/6/2011,4.52,12/6/2011,1.56451,12/6/2011,1.19,12/6/2011,2.32103,12/6/2011,0.36,12/6/2011,0.11837,,,12/6/2011,0.09778,12/6/2011,0.33,,,12/6/2011,0.35639,,,12/6/2011,0.11,6/7/2013,0.20483,12/6/2011,0.19,1/31/2013,0.14054,12/6/2011,0.06,,,,,,,,,,,
12/7/2011,1.29175,12/7/2011,0.81,12/7/2011,1.98394,12/7/2011,4.55,12/7/2011,1.60054,12/7/2011,1.22,12/7/2011,2.35706,12/7/2011,0.36,12/7/2011,0.11837,,,12/7/2011,0.09778,12/7/2011,0.33,,,12/7/2011,0.36797,,,12/7/2011,0.11,6/10/2013,0.20479,12/7/2011,0.19,2/1/2013,0.14312,12/7/2011,0.06,,,,,,,,,,,
12/8/2011,1.26802,12/8/2011,0.81,12/8/2011,1.97019,12/8/2011,4.55,12/8/2011,1.5458,12/8/2011,1.21,12/8/2011,2.32256,12/8/2011,0.36,12/8/2011,0.11574,,,12/8/2011,0.09645,12/8/2011,0.33,,,12/8/2011,0.36137,,,12/8/2011,0.11,6/11/2013,0.20735,12/8/2011,0.19,2/4/2013,0.14187,12/8/2011,0.06,,,,,,,,,,,
12/9/2011,1.21685,12/9/2011,0.79,12/9/2011,1.89916,12/9/2011,4.43,12/9/2011,1.46998,12/9/2011,1.17,12/9/2011,2.25894,12/9/2011,0.36,12/9/2011,0.11693,,,12/9/2011,0.09509,12/9/2011,0.32,,,12/9/2011,0.34308,,,12/9/2011,0.11,6/13/2013,0.21124,12/9/2011,0.18,2/5/2013,0.13798,12/9/2011,0.06,,,,,,,,,,,
12/12/2011,1.22191,12/12/2011,0.80,12/12/2011,1.89133,12/12/2011,4.39,12/12/2011,1.44676,12/12/2011,1.16,12/12/2011,2.25366,12/12/2011,0.36,12/12/2011,0.11692,,,12/12/2011,0.09508,12/12/2011,0.32,,,12/12/2011,0.33792,,,12/12/2011,0.11,6/14/2013,0.21003,12/12/2011,0.18,2/6/2013,0.13798,12/12/2011,0.06,,,,,,,,,,,
12/13/2011,1.20849,12/13/2011,0.79,12/13/2011,1.88216,12/13/2011,4.39,12/13/2011,1.4399,12/13/2011,1.16,12/13/2011,2.23185,12/13/2011,0.43,12/13/2011,0.11056,,,12/13/2011,0.09642,12/13/2011,0.32,,,12/13/2011,0.32526,,,12/13/2011,0.11,6/17/2013,0.22423,12/13/2011,0.18,2/7/2013,0.13539,12/13/2011,0.06,,,,,,,,,,,
12/14/2011,1.1972,12/14/2011,0.79,12/14/2011,1.86003,12/14/2011,4.28,12/14/2011,1.4387,12/14/2011,1.14,12/14/2011,2.1375,12/14/2011,0.43,12/14/2011,0.11047,,,12/14/2011,0.09634,12/14/2011,0.32,,,12/14/2011,0.30444,,,12/14/2011,0.11,6/18/2013,0.22039,12/14/2011,0.18,2/8/2013,0.13668,12/14/2011,0.06,,,,,,,,,,,
12/15/2011,1.16176,12/15/2011,0.78,12/15/2011,1.77605,12/15/2011,4.21,12/15/2011,1.38537,12/15/2011,1.10,12/15/2011,2.01509,12/15/2011,0.43,12/15/2011,0.10924,,,12/15/2011,0.09638,12/15/2011,0.31,,,12/15/2011,0.29815,,,12/15/2011,0.11,6/19/2013,0.21788,12/15/2011,0.17,2/14/2013,0.13928,12/15/2011,0.06,,,,,,,,,,,
12/16/2011,1.16393,12/16/2011,0.79,12/16/2011,1.77287,12/16/2011,4.22,12/16/2011,1.46197,12/16/2011,1.11,12/16/2011,2.08119,12/16/2011,0.44,12/16/2011,0.10791,,,12/16/2011,0.09635,12/16/2011,0.30,,,12/16/2011,0.30062,,,12/16/2011,0.11,6/20/2013,0.20636,12/16/2011,0.17,2/15/2013,0.13799,12/16/2011,0.06,,,,,,,,,,,
12/19/2011,1.15477,12/19/2011,0.79,12/19/2011,1.74436,12/19/2011,4.19,12/19/2011,1.41296,12/19/2011,1.09,12/19/2011,2.01667,12/19/2011,0.44,12/19/2011,0.1079,,,12/19/2011,0.10019,12/19/2011,0.31,,,12/19/2011,0.29287,,,12/19/2011,0.11,6/21/2013,0.22556,12/19/2011,0.17,2/18/2013,0.13799,12/19/2011,0.06,,,,,,,,,,,
12/20/2011,1.17186,12/20/2011,0.79,12/20/2011,1.73466,12/20/2011,4.18,12/20/2011,1.41086,12/20/2011,1.07,12/20/2011,2.01735,12/20/2011,0.45,12/20/2011,0.10665,,,12/20/2011,0.09765,12/20/2011,0.30,,,12/20/2011,0.29168,,,12/20/2011,0.11,6/24/2013,0.2101,12/20/2011,0.17,2/19/2013,0.13798,12/20/2011,0.06,,,,,,,,,,,
12/21/2011,1.21182,12/21/2011,0.81,12/21/2011,1.73741,12/21/2011,4.34,12/21/2011,1.50096,12/21/2011,1.09,12/21/2011,2.01755,12/21/2011,0.45,12/21/2011,0.10923,,,12/21/2011,0.09767,12/21/2011,0.30,,,12/21/2011,0.293,,,12/21/2011,0.11,6/25/2013,0.20367,12/21/2011,0.17,2/20/2013,0.13798,12/21/2011,0.06,,,,,,,,,,,
12/22/2011,1.20406,12/22/2011,0.81,12/22/2011,1.71421,12/22/2011,4.34,12/22/2011,1.50347,12/22/2011,1.08,12/22/2011,2.01748,12/22/2011,0.45,12/22/2011,0.11051,,,12/22/2011,0.09638,12/22/2011,0.30,,,12/22/2011,0.29427,,,12/22/2011,0.11,6/26/2013,0.21393,12/22/2011,0.17,2/21/2013,0.13151,12/22/2011,0.06,,,,,,,,,,,
