,151 HK Equity,,322 HK Equity,,1044 HK Equity,,220 HK Equity,,1112 HK Equity,,1025 HK Equity,,1230 HK Equity,,829 HK Equity,,1117 HK Equity,,1700 HK Equity,,1068 HK Equity,,1886 HK Equity,,980 HK Equity,,1006 HK Equity,,1007 HK Equity,,1717 HK Equity,,1338 HK Equity,,2218 HK Equity,,814 HK Equity,,,,
5/19/2010,0.70897,5/19/2010,2.15,5/19/2010,6.97,5/19/2010,0.51922,1/3/2013,3.51,5/19/2010,1.82049,11/13/2012,0.24,10/25/2011,0.5171,12/10/2012,0.26,11/2/2012,0.50837,5/19/2010,2.77,5/19/2010,0.68,5/19/2010,1.82,1/3/2012,0.39,11/9/2012,0.21674,10/20/2011,0.18,7/13/2011,0.17,5/19/2010,0.51281,5/19/2010,1.02,,,,
5/20/2010,0.69974,5/20/2010,2.07,5/20/2010,6.83,5/20/2010,0.50879,1/4/2013,3.64,5/20/2010,1.71987,11/14/2012,0.24,10/26/2011,0.51456,12/11/2012,0.26,11/5/2012,0.51483,5/20/2010,2.65,5/20/2010,0.67,5/20/2010,1.78,1/4/2012,0.40,11/12/2012,0.21676,10/21/2011,0.18,7/14/2011,0.17,5/20/2010,0.49341,5/20/2010,0.98,,,,
5/24/2010,0.74858,5/24/2010,2.04,5/24/2010,6.70,5/24/2010,0.51914,1/7/2013,3.81,5/24/2010,1.74328,11/15/2012,0.24,10/27/2011,0.53924,12/12/2012,0.26,11/6/2012,0.50965,5/24/2010,2.69,5/24/2010,0.68,5/24/2010,1.83,1/5/2012,0.39,11/13/2012,0.21676,10/24/2011,0.18,7/15/2011,0.16,5/24/2010,0.49991,5/24/2010,0.99,,,,
5/25/2010,0.68964,5/25/2010,1.95,5/25/2010,6.48,5/25/2010,0.49736,1/8/2013,3.64,5/25/2010,1.72794,11/16/2012,0.24,10/28/2011,0.559,12/13/2012,0.25,11/7/2012,0.50448,5/25/2010,2.50,5/25/2010,0.65,5/25/2010,1.83,1/6/2012,0.39,11/14/2012,0.21676,10/25/2011,0.19,7/18/2011,0.16,5/25/2010,0.49351,5/25/2010,0.96,,,,
5/26/2010,0.76552,5/26/2010,2.24,5/26/2010,7.18,5/26/2010,0.50563,1/9/2013,3.54,5/26/2010,2.17433,11/19/2012,0.24,10/31/2011,0.5445,12/14/2012,0.25,11/8/2012,0.50572,5/26/2010,2.58,5/26/2010,0.64,5/26/2010,1.85,1/9/2012,0.39,11/15/2012,0.21672,10/26/2011,0.19,7/19/2011,0.16,5/26/2010,0.49534,5/26/2010,0.97,,,,
5/27/2010,0.76898,5/27/2010,2.14,5/27/2010,6.95,5/27/2010,0.51608,1/10/2013,3.66,5/27/2010,1.85378,11/20/2012,0.25,11/1/2011,0.55202,12/17/2012,0.25,11/9/2012,0.50702,5/27/2010,2.66,5/27/2010,0.67,5/27/2010,1.91,1/10/2012,0.39,11/16/2012,0.21672,10/27/2011,0.21,7/20/2011,0.15,5/27/2010,0.51351,5/27/2010,0.95,,,,
5/28/2010,0.75515,5/28/2010,2.21,5/28/2010,7.27,5/28/2010,0.54582,1/11/2013,3.83,5/28/2010,1.89816,11/21/2012,0.26,11/2/2011,0.5533,12/18/2012,0.26,11/12/2012,0.50577,5/28/2010,2.67,5/28/2010,0.68,5/28/2010,1.95,1/11/2012,0.40,11/19/2012,0.21672,10/28/2011,0.20,7/21/2011,0.15,5/28/2010,0.53297,5/28/2010,1.00,,,,
5/31/2010,0.78855,5/31/2010,2.30,5/31/2010,7.28,5/31/2010,0.54582,1/14/2013,3.87,5/31/2010,1.95212,11/22/2012,0.26,11/3/2011,0.54709,12/19/2012,0.26,11/13/2012,0.49674,5/31/2010,2.70,5/31/2010,0.68,5/31/2010,2.02,1/12/2012,0.40,11/20/2012,0.21677,10/31/2011,0.20,7/22/2011,0.15,5/31/2010,0.5394,5/31/2010,1.01,,,,
6/1/2010,0.77016,6/1/2010,2.22,6/1/2010,7.16,6/1/2010,0.54681,1/15/2013,3.84,6/1/2010,1.9254,11/23/2012,0.26,11/4/2011,0.56518,12/20/2012,0.26,11/14/2012,0.49545,6/1/2010,2.70,6/1/2010,0.66,6/1/2010,1.96,1/13/2012,0.40,11/21/2012,0.21676,11/1/2011,0.19,7/25/2011,0.16,6/1/2010,0.53269,6/1/2010,0.95,,,,
6/2/2010,0.78528,6/2/2010,2.19,6/2/2010,7.06,6/2/2010,0.56458,1/16/2013,3.79,6/2/2010,1.87338,11/26/2012,0.26,11/7/2011,0.56507,12/21/2012,0.26,11/15/2012,0.49278,6/2/2010,2.69,6/2/2010,0.66,6/2/2010,1.95,1/16/2012,0.40,11/22/2012,0.21675,11/2/2011,0.20,7/26/2011,0.17,6/2/2010,0.51967,6/2/2010,0.95,,,,
6/3/2010,0.7881,6/3/2010,2.23,6/3/2010,7.18,6/3/2010,0.55834,1/17/2013,3.75,6/3/2010,1.92532,11/27/2012,0.27,11/8/2011,0.56764,12/24/2012,0.26,11/16/2012,0.49666,6/3/2010,2.79,6/3/2010,0.66,6/3/2010,1.99,1/17/2012,0.42,11/23/2012,0.21677,11/3/2011,0.20,7/27/2011,0.16,6/3/2010,0.52625,6/3/2010,0.99,,,,
6/4/2010,0.7701,6/4/2010,2.23,6/4/2010,7.25,6/4/2010,0.5519,1/18/2013,3.80,6/4/2010,1.89958,11/28/2012,0.28,11/9/2011,0.56489,12/27/2012,0.26,11/19/2012,0.49149,6/4/2010,2.86,6/4/2010,0.68,6/4/2010,1.99,1/18/2012,0.41,11/26/2012,0.21677,11/4/2011,0.21,7/28/2011,0.17,6/4/2010,0.53265,6/4/2010,1.07,,,,
6/7/2010,0.75616,6/7/2010,2.20,6/7/2010,7.16,6/7/2010,0.54213,1/21/2013,3.81,6/7/2010,1.83272,11/29/2012,0.29,11/10/2011,0.54753,12/28/2012,0.26,11/20/2012,0.49289,6/7/2010,2.81,6/7/2010,0.66,6/7/2010,1.99,1/19/2012,0.43,11/27/2012,0.21677,11/7/2011,0.20,7/29/2011,0.16,6/7/2010,0.50624,6/7/2010,1.03,,,,
6/8/2010,0.77254,6/8/2010,2.22,6/8/2010,7.34,6/8/2010,0.54193,1/22/2013,3.88,6/8/2010,1.809,11/30/2012,0.30,11/11/2011,0.53096,12/31/2012,0.27,11/21/2012,0.49288,6/8/2010,2.84,6/8/2010,0.69,6/8/2010,1.99,1/20/2012,0.46,11/28/2012,0.21677,11/8/2011,0.20,8/1/2011,0.17,6/8/2010,0.51247,6/8/2010,1.04,,,,
6/9/2010,0.7806,6/9/2010,2.21,6/9/2010,7.40,6/9/2010,0.54988,1/23/2013,3.95,6/9/2010,1.84832,12/3/2012,0.29,11/14/2011,0.53971,1/2/2013,0.29,11/22/2012,0.49285,6/9/2010,2.85,6/9/2010,0.70,6/9/2010,1.99,1/26/2012,0.45,11/29/2012,0.21677,11/9/2011,0.20,8/2/2011,0.16,6/9/2010,0.51912,6/9/2010,1.00,,,,
6/10/2010,0.77384,6/10/2010,2.29,6/10/2010,7.50,6/10/2010,0.55696,1/24/2013,4.19,6/10/2010,1.92498,12/4/2012,0.29,11/15/2011,0.53068,1/3/2013,0.29,11/23/2012,0.49805,6/10/2010,2.84,6/10/2010,0.69,6/10/2010,2.07,1/27/2012,0.46,11/30/2012,0.21677,11/10/2011,0.19,8/3/2011,0.16,6/10/2010,0.50049,6/10/2010,1.01,,,,
6/11/2010,0.80736,6/11/2010,2.31,6/11/2010,7.53,6/11/2010,0.55193,1/25/2013,4.00,6/11/2010,1.89198,12/5/2012,0.28,11/16/2011,0.53584,1/4/2013,0.29,11/26/2012,0.49161,6/11/2010,3.00,6/11/2010,0.70,6/11/2010,2.06,1/30/2012,0.48,12/3/2012,0.21677,11/11/2011,0.19,8/4/2011,0.14,6/11/2010,0.50701,6/11/2010,1.02,,,,
6/14/2010,0.82908,6/14/2010,2.38,6/14/2010,7.60,6/14/2010,0.55443,1/28/2013,4.07,6/14/2010,1.94564,12/6/2012,0.27,11/17/2011,0.55096,1/7/2013,0.29,11/27/2012,0.48386,6/14/2010,3.05,6/14/2010,0.70,6/14/2010,2.07,1/31/2012,0.48,12/4/2012,0.21677,11/14/2011,0.19,8/5/2011,0.14,6/14/2010,0.52619,6/14/2010,1.03,,,,
6/15/2010,0.82397,6/15/2010,2.37,6/15/2010,7.74,6/15/2010,0.5506,1/29/2013,4.19,6/15/2010,1.92517,12/7/2012,0.27,11/18/2011,0.55079,1/8/2013,0.29,11/28/2012,0.48386,6/15/2010,3.08,6/15/2010,0.69,6/15/2010,2.11,2/1/2012,0.49,12/5/2012,0.21677,11/15/2011,0.19,8/8/2011,0.14,6/15/2010,0.5198,6/15/2010,1.03,,,,
6/17/2010,0.81941,6/17/2010,2.47,6/17/2010,8.00,6/17/2010,0.55098,1/30/2013,4.15,6/17/2010,1.9522,12/10/2012,0.28,11/21/2011,0.54943,1/9/2013,0.29,11/29/2012,0.48774,6/17/2010,3.12,6/17/2010,0.67,6/17/2010,2.05,2/2/2012,0.50,12/6/2012,0.21677,11/16/2011,0.18,8/9/2011,0.13,6/17/2010,0.52658,6/17/2010,1.04,,,,
6/18/2010,0.83522,6/18/2010,2.45,6/18/2010,7.90,6/18/2010,0.55253,1/31/2013,4.15,6/18/2010,1.9891,12/11/2012,0.28,11/22/2011,0.54802,1/10/2013,0.29,11/30/2012,0.49161,6/18/2010,3.15,6/18/2010,0.69,6/18/2010,2.03,2/3/2012,0.50,12/7/2012,0.21677,11/17/2011,0.18,8/10/2011,0.13,6/18/2010,0.50756,6/18/2010,1.09,,,,
6/21/2010,0.83516,6/21/2010,2.51,6/21/2010,8.22,6/21/2010,0.58551,2/1/2013,4.20,6/21/2010,2.0332,12/12/2012,0.27,11/23/2011,0.52606,1/11/2013,0.29,12/3/2012,0.48386,6/21/2010,3.22,6/21/2010,0.70,6/21/2010,2.17,2/6/2012,0.50,12/10/2012,0.21677,11/18/2011,0.18,8/11/2011,0.12,6/21/2010,0.52117,6/21/2010,1.21,,,,
6/22/2010,0.83028,6/22/2010,2.55,6/22/2010,8.12,6/22/2010,0.58222,2/4/2013,4.32,6/22/2010,2.00758,12/13/2012,0.27,11/24/2011,0.52464,1/14/2013,0.30,12/4/2012,0.49161,6/22/2010,3.19,6/22/2010,0.70,6/22/2010,2.18,2/7/2012,0.48,12/11/2012,0.21677,11/21/2011,0.17,8/12/2011,0.13,6/22/2010,0.52053,6/22/2010,1.17,,,,
6/23/2010,0.86409,6/23/2010,2.57,6/23/2010,8.37,6/23/2010,0.57863,2/5/2013,4.33,6/23/2010,1.92876,12/14/2012,0.27,11/25/2011,0.53486,1/15/2013,0.33,12/5/2012,0.49032,6/23/2010,3.18,6/23/2010,0.70,6/23/2010,2.22,2/8/2012,0.48,12/12/2012,0.21677,11/22/2011,0.17,8/15/2011,0.13,6/23/2010,0.52077,6/23/2010,1.17,,,,
6/24/2010,0.84088,6/24/2010,2.56,6/24/2010,8.18,6/24/2010,0.5863,2/6/2013,4.55,6/24/2010,1.94147,12/17/2012,0.27,11/28/2011,0.52852,1/16/2013,0.33,12/6/2012,0.48386,6/24/2010,3.20,6/24/2010,0.70,6/24/2010,2.18,2/9/2012,0.49,12/13/2012,0.21677,11/23/2011,0.17,8/16/2011,0.13,6/24/2010,0.5143,6/24/2010,1.15,,,,
6/25/2010,0.83559,6/25/2010,2.52,6/25/2010,8.19,6/25/2010,0.5772,2/7/2013,4.44,6/25/2010,1.83316,12/18/2012,0.27,11/29/2011,0.53402,1/17/2013,0.32,12/7/2012,0.4929,6/25/2010,3.19,6/25/2010,0.70,6/25/2010,2.09,2/10/2012,0.48,12/14/2012,0.21677,11/24/2011,0.17,8/17/2011,0.13,6/25/2010,0.51421,6/25/2010,1.16,,,,
6/28/2010,0.84429,6/28/2010,2.55,6/28/2010,8.10,6/28/2010,0.57828,2/8/2013,4.32,6/28/2010,1.83507,12/19/2012,0.27,11/30/2011,0.53669,1/18/2013,0.33,12/10/2012,0.49677,6/28/2010,3.09,6/28/2010,0.70,6/28/2010,2.03,2/13/2012,0.48,12/17/2012,0.21677,11/25/2011,0.17,8/18/2011,0.13,6/28/2010,0.5076,6/28/2010,1.15,,,,
6/29/2010,0.82997,6/29/2010,2.51,6/29/2010,7.94,6/29/2010,0.57687,2/14/2013,4.34,6/29/2010,1.83981,12/20/2012,0.27,12/1/2011,0.54059,1/21/2013,0.33,12/11/2012,0.50322,6/29/2010,3.03,6/29/2010,0.68,6/29/2010,2.03,2/14/2012,0.47,12/18/2012,0.21677,11/28/2011,0.17,8/19/2011,0.12,6/29/2010,0.50107,6/29/2010,1.13,,,,
6/30/2010,0.84763,6/30/2010,2.47,6/30/2010,8.16,6/30/2010,0.57151,2/15/2013,4.37,6/30/2010,1.80314,12/21/2012,0.26,12/2/2011,0.53171,1/22/2013,0.32,12/12/2012,0.51096,6/30/2010,3.17,6/30/2010,0.69,6/30/2010,2.04,2/15/2012,0.48,12/19/2012,0.21677,11/29/2011,0.18,8/22/2011,0.11,6/30/2010,0.50087,6/30/2010,1.16,,,,
7/2/2010,0.83267,7/2/2010,2.41,7/2/2010,7.85,7/2/2010,0.56709,2/18/2013,4.33,7/2/2010,1.75772,12/24/2012,0.27,12/5/2011,0.53027,1/23/2013,0.31,12/13/2012,0.49806,7/2/2010,3.10,7/2/2010,0.69,7/2/2010,2.03,2/16/2012,0.48,12/20/2012,0.21677,11/30/2011,0.18,8/23/2011,0.11,7/2/2010,0.49396,7/2/2010,1.12,,,,
7/5/2010,0.8251,7/5/2010,2.43,7/5/2010,8.06,7/5/2010,0.56461,2/19/2013,4.35,7/5/2010,1.69896,12/27/2012,0.27,12/6/2011,0.53265,1/24/2013,0.32,12/14/2012,0.50709,7/5/2010,3.07,7/5/2010,0.69,7/5/2010,2.08,2/17/2012,0.48,12/21/2012,0.21677,12/1/2011,0.18,8/24/2011,0.11,7/5/2010,0.48762,7/5/2010,1.06,,,,
7/6/2010,0.84738,7/6/2010,2.44,7/6/2010,8.04,7/6/2010,0.56364,2/20/2013,4.35,7/6/2010,1.72558,12/28/2012,0.26,12/7/2011,0.53008,1/25/2013,0.31,12/17/2012,0.50063,7/6/2010,3.17,7/6/2010,0.69,7/6/2010,2.07,2/20/2012,0.48,12/24/2012,0.21676,12/2/2011,0.18,8/25/2011,0.13,7/6/2010,0.50073,7/6/2010,1.05,,,,
7/7/2010,0.84077,7/7/2010,2.47,7/7/2010,8.11,7/7/2010,0.56479,2/21/2013,4.25,7/7/2010,1.76625,12/31/2012,0.26,12/8/2011,0.53884,1/28/2013,0.32,12/18/2012,0.49677,7/7/2010,3.12,7/7/2010,0.69,7/7/2010,2.13,2/21/2012,0.50,12/27/2012,0.21672,12/5/2011,0.18,8/26/2011,0.13,7/7/2010,0.50061,7/7/2010,1.04,,,,
7/8/2010,0.86165,7/8/2010,2.51,7/8/2010,8.30,7/8/2010,0.56758,2/22/2013,4.29,7/8/2010,1.73614,1/2/2013,0.29,12/9/2011,0.53325,1/29/2013,0.31,12/19/2012,0.51354,7/8/2010,3.13,7/8/2010,0.70,7/8/2010,2.14,2/22/2012,0.51,12/28/2012,0.21672,12/6/2011,0.17,8/29/2011,0.11,7/8/2010,0.50081,7/8/2010,1.08,,,,
7/9/2010,0.84777,7/9/2010,2.48,7/9/2010,8.21,7/9/2010,0.57505,2/25/2013,4.34,7/9/2010,1.74958,1/3/2013,0.30,12/12/2011,0.53579,1/30/2013,0.31,12/20/2012,0.52128,7/9/2010,3.12,7/9/2010,0.70,7/9/2010,2.15,2/23/2012,0.51,12/31/2012,0.21675,12/7/2011,0.18,8/30/2011,0.11,7/9/2010,0.50815,7/9/2010,1.09,,,,
7/12/2010,0.82868,7/12/2010,2.49,7/12/2010,8.42,7/12/2010,0.5739,2/26/2013,4.21,7/12/2010,1.86324,1/4/2013,0.31,12/13/2011,0.53482,1/31/2013,0.31,12/21/2012,0.5187,7/12/2010,3.17,7/12/2010,0.70,7/12/2010,2.19,2/24/2012,0.51,1/2/2013,0.21675,12/8/2011,0.18,8/31/2011,0.12,7/12/2010,0.50184,7/12/2010,1.14,,,,
7/13/2010,0.84266,7/13/2010,2.54,7/13/2010,8.51,7/13/2010,0.56092,2/27/2013,4.30,7/13/2010,1.89631,1/7/2013,0.32,12/14/2011,0.53694,2/1/2013,0.31,12/24/2012,0.52126,7/13/2010,3.22,7/13/2010,0.69,7/13/2010,2.22,2/27/2012,0.50,1/3/2013,0.21675,12/9/2011,0.17,9/1/2011,0.12,7/13/2010,0.50174,7/13/2010,1.09,,,,
7/14/2010,0.83391,7/14/2010,2.55,7/14/2010,8.54,7/14/2010,0.56238,2/28/2013,4.38,7/14/2010,1.8763,1/8/2013,0.31,12/15/2011,0.54747,2/4/2013,0.32,12/27/2012,0.53277,7/14/2010,3.28,7/14/2010,0.69,7/14/2010,2.26,2/28/2012,0.50,1/4/2013,0.21675,12/12/2011,0.17,9/2/2011,0.12,7/14/2010,0.50189,7/14/2010,1.15,,,,
7/15/2010,0.81732,7/15/2010,2.53,7/15/2010,8.29,7/15/2010,0.56762,3/1/2013,4.36,7/15/2010,1.89464,1/9/2013,0.31,12/16/2011,0.54342,2/5/2013,0.31,12/28/2012,0.53536,7/15/2010,3.27,7/15/2010,0.67,7/15/2010,2.29,2/29/2012,0.50,1/7/2013,0.21675,12/13/2011,0.17,9/5/2011,0.12,7/15/2010,0.49554,7/15/2010,1.12,,,,
7/16/2010,0.80307,7/16/2010,2.52,7/16/2010,8.26,7/16/2010,0.56627,3/4/2013,4.36,7/16/2010,1.97936,1/10/2013,0.31,12/19/2011,0.53435,2/6/2013,0.31,12/31/2012,0.53284,7/16/2010,3.29,7/16/2010,0.66,7/16/2010,2.33,3/1/2012,0.49,1/8/2013,0.21675,12/14/2011,0.17,9/6/2011,0.11,7/16/2010,0.48905,7/16/2010,1.13,,,,
7/19/2010,0.81406,7/19/2010,2.48,7/19/2010,8.49,7/19/2010,0.56071,3/5/2013,4.51,7/19/2010,1.99336,1/11/2013,0.34,12/20/2011,0.5371,2/7/2013,0.32,1/2/2013,0.55477,7/19/2010,3.29,7/19/2010,0.65,7/19/2010,2.33,3/2/2012,0.52,1/9/2013,0.21672,12/15/2011,0.17,9/7/2011,0.12,7/19/2010,0.48227,7/19/2010,1.11,,,,
7/20/2010,0.8129,7/20/2010,2.51,7/20/2010,8.31,7/20/2010,0.55951,3/6/2013,4.76,7/20/2010,2.00653,1/14/2013,0.34,12/21/2011,0.53587,2/8/2013,0.32,1/3/2013,0.58315,7/20/2010,3.35,7/20/2010,0.66,7/20/2010,2.37,3/5/2012,0.52,1/10/2013,0.21674,12/16/2011,0.17,9/8/2011,0.12,7/20/2010,0.48234,7/20/2010,1.12,,,,
7/21/2010,0.80757,7/21/2010,2.54,7/21/2010,8.49,7/21/2010,0.55938,3/7/2013,4.68,7/21/2010,2.04465,1/15/2013,0.34,12/22/2011,0.54742,2/14/2013,0.32,1/4/2013,0.59091,7/21/2010,3.38,7/21/2010,0.67,7/21/2010,2.36,3/6/2012,0.50,1/11/2013,0.21672,12/19/2011,0.17,9/9/2011,0.11,7/21/2010,0.48866,7/21/2010,1.12,,,,
7/22/2010,0.80014,7/22/2010,2.46,7/22/2010,8.56,7/22/2010,0.55058,3/8/2013,4.67,7/22/2010,2.04281,1/16/2013,0.33,12/23/2011,0.55295,2/15/2013,0.34,1/7/2013,0.59091,7/22/2010,3.31,7/22/2010,0.67,7/22/2010,2.32,3/7/2012,0.50,1/14/2013,0.21671,12/20/2011,0.17,9/12/2011,0.11,7/22/2010,0.48883,7/22/2010,1.12,,,,
7/23/2010,0.80212,7/23/2010,2.47,7/23/2010,8.68,7/23/2010,0.55234,3/11/2013,4.53,7/23/2010,2.12697,1/17/2013,0.32,12/28/2011,0.55298,2/18/2013,0.35,1/8/2013,0.58832,7/23/2010,3.35,7/23/2010,0.66,7/23/2010,2.29,3/8/2012,0.51,1/15/2013,0.21672,12/21/2011,0.17,9/14/2011,0.10,7/23/2010,0.48926,7/23/2010,1.11,,,,
7/26/2010,0.79583,7/26/2010,2.46,7/26/2010,8.45,7/26/2010,0.56532,3/12/2013,4.40,7/26/2010,2.17372,1/18/2013,0.32,12/29/2011,0.55451,2/19/2013,0.34,1/9/2013,0.59083,7/26/2010,3.28,7/26/2010,0.70,7/26/2010,2.32,3/9/2012,0.51,1/16/2013,0.2167,12/22/2011,0.16,9/15/2011,0.10,7/26/2010,0.47647,7/26/2010,1.10,,,,
7/27/2010,0.80716,7/27/2010,2.43,7/27/2010,8.72,7/27/2010,0.56385,3/13/2013,4.36,7/27/2010,2.14985,1/21/2013,0.34,12/30/2011,0.5794,2/20/2013,0.35,1/10/2013,0.58957,7/27/2010,3.31,7/27/2010,0.70,7/27/2010,2.20,3/12/2012,0.52,1/17/2013,0.21671,12/23/2011,0.17,9/16/2011,0.09,7/27/2010,0.48919,7/27/2010,1.08,,,,
7/28/2010,0.80213,7/28/2010,2.47,7/28/2010,8.50,7/28/2010,0.56523,3/14/2013,4.43,7/28/2010,2.1888,1/22/2013,0.34,1/3/2012,0.57931,2/21/2013,0.34,1/11/2013,0.59082,7/28/2010,3.33,7/28/2010,0.70,7/28/2010,2.20,3/13/2012,0.54,1/18/2013,0.2167,12/28/2011,0.17,9/19/2011,0.09,7/28/2010,0.48926,7/28/2010,1.09,,,,
7/29/2010,0.79324,7/29/2010,2.52,7/29/2010,8.49,7/29/2010,0.56403,3/15/2013,4.45,7/29/2010,2.18914,1/23/2013,0.35,1/4/2012,0.60249,2/22/2013,0.34,1/14/2013,0.59338,7/29/2010,3.34,7/29/2010,0.75,7/29/2010,2.28,3/14/2012,0.52,1/21/2013,0.21669,12/29/2011,0.17,9/20/2011,0.09,7/29/2010,0.49578,7/29/2010,1.09,,,,
7/30/2010,0.78277,7/30/2010,2.54,7/30/2010,8.61,7/30/2010,0.55747,3/18/2013,4.39,7/30/2010,2.18609,1/24/2013,0.36,1/5/2012,0.60013,2/25/2013,0.34,1/15/2013,0.58694,7/30/2010,3.28,7/30/2010,0.77,7/30/2010,2.40,3/15/2012,0.52,1/22/2013,0.21668,12/30/2011,0.16,9/21/2011,0.09,7/30/2010,0.50854,7/30/2010,1.10,,,,
8/2/2010,0.79853,8/2/2010,2.60,8/2/2010,8.83,8/2/2010,0.5551,3/19/2013,4.37,8/2/2010,2.25906,1/25/2013,0.31,1/6/2012,0.59107,2/26/2013,0.32,1/16/2013,0.58046,8/2/2010,3.33,8/2/2010,0.77,8/2/2010,2.31,3/16/2012,0.53,1/23/2013,0.21669,1/3/2012,0.17,9/22/2011,0.08,8/2/2010,0.57958,8/2/2010,1.12,,,,
8/3/2010,0.78731,8/3/2010,2.62,8/3/2010,8.74,8/3/2010,0.55795,3/20/2013,4.62,8/3/2010,2.18282,1/28/2013,0.32,1/9/2012,0.58844,2/27/2013,0.34,1/17/2013,0.56887,8/3/2010,3.41,8/3/2010,0.76,8/3/2010,2.29,3/19/2012,0.52,1/24/2013,0.21669,1/4/2012,0.17,9/23/2011,0.08,8/3/2010,0.54764,8/3/2010,1.16,,,,
8/4/2010,0.79859,8/4/2010,2.59,8/4/2010,8.73,8/4/2010,0.55772,3/21/2013,4.71,8/4/2010,2.2412,1/29/2013,0.33,1/10/2012,0.59492,2/28/2013,0.34,1/18/2013,0.5869,8/4/2010,3.39,8/4/2010,0.76,8/4/2010,2.26,3/20/2012,0.52,1/25/2013,0.21667,1/5/2012,0.17,9/26/2011,0.08,8/4/2010,0.54742,8/4/2010,1.15,,,,
8/5/2010,0.7715,8/5/2010,2.60,8/5/2010,8.87,8/5/2010,0.55512,3/22/2013,5.13,8/5/2010,2.20244,1/30/2013,0.33,1/11/2012,0.57942,3/1/2013,0.34,1/21/2013,0.58817,8/5/2010,3.50,8/5/2010,0.76,8/5/2010,2.29,3/21/2012,0.50,1/28/2013,0.21656,1/6/2012,0.17,9/27/2011,0.09,8/5/2010,0.54095,8/5/2010,1.16,,,,
8/6/2010,0.76521,8/6/2010,2.51,8/6/2010,8.92,8/6/2010,0.55651,3/25/2013,5.14,8/6/2010,2.19256,1/31/2013,0.35,1/12/2012,0.55747,3/4/2013,0.33,1/22/2013,0.58943,8/6/2010,3.45,8/6/2010,0.77,8/6/2010,2.24,3/22/2012,0.49,1/29/2013,0.21653,1/9/2012,0.17,9/28/2011,0.09,8/6/2010,0.54106,8/6/2010,1.19,,,,
8/9/2010,0.7743,8/9/2010,2.50,8/9/2010,8.82,8/9/2010,0.55786,3/26/2013,5.48,8/9/2010,2.2469,2/1/2013,0.35,1/13/2012,0.55107,3/5/2013,0.32,1/23/2013,0.60751,8/9/2010,3.42,8/9/2010,0.77,8/9/2010,2.24,3/23/2012,0.46,1/30/2013,0.21653,1/10/2012,0.18,9/30/2011,0.09,8/9/2010,0.57976,8/9/2010,1.16,,,,
8/10/2010,0.78444,8/10/2010,2.50,8/10/2010,9.15,8/10/2010,0.57062,3/27/2013,5.35,8/10/2010,2.25671,2/4/2013,0.34,1/16/2012,0.52781,3/6/2013,0.34,1/24/2013,0.62298,8/10/2010,3.41,8/10/2010,0.75,8/10/2010,2.18,3/26/2012,0.46,1/31/2013,0.21661,1/11/2012,0.18,10/3/2011,0.09,8/10/2010,0.56031,8/10/2010,1.18,,,,
8/11/2010,0.79828,8/11/2010,2.51,8/11/2010,9.01,8/11/2010,0.55493,3/28/2013,5.21,8/11/2010,2.25321,2/5/2013,0.34,1/17/2012,0.54347,3/7/2013,0.35,1/25/2013,0.60615,8/11/2010,3.44,8/11/2010,0.76,8/11/2010,2.20,3/27/2012,0.48,2/1/2013,0.21661,1/12/2012,0.18,10/4/2011,0.09,8/11/2010,0.52789,8/11/2010,1.25,,,,
8/12/2010,0.81748,8/12/2010,2.44,8/12/2010,9.11,8/12/2010,0.54842,4/2/2013,5.05,8/12/2010,2.15248,2/6/2013,0.35,1/18/2012,0.53342,3/8/2013,0.33,1/28/2013,0.59683,8/12/2010,3.41,8/12/2010,0.75,8/12/2010,2.13,3/28/2012,0.45,2/4/2013,0.21667,1/13/2012,0.18,10/6/2011,0.09,8/12/2010,0.53426,8/12/2010,1.24,,,,
8/13/2010,0.80412,8/13/2010,2.44,8/13/2010,9.06,8/13/2010,0.54809,4/3/2013,5.22,8/13/2010,2.17433,2/7/2013,0.35,1/19/2012,0.53224,3/11/2013,0.34,1/29/2013,0.60062,8/13/2010,3.46,8/13/2010,0.75,8/13/2010,2.20,3/29/2012,0.44,2/5/2013,0.21665,1/16/2012,0.18,10/7/2011,0.10,8/13/2010,0.5275,8/13/2010,1.24,,,,
8/16/2010,0.81704,8/16/2010,2.40,8/16/2010,9.00,8/16/2010,0.55713,4/5/2013,5.04,8/16/2010,2.12815,2/8/2013,0.35,1/20/2012,0.53477,3/12/2013,0.34,1/30/2013,0.59547,8/16/2010,3.49,8/16/2010,0.74,8/16/2010,2.16,3/30/2012,0.44,2/6/2013,0.21665,1/17/2012,0.18,10/10/2011,0.10,8/16/2010,0.5211,8/16/2010,1.22,,,,
8/17/2010,0.8031,8/17/2010,2.46,8/17/2010,8.98,8/17/2010,0.56243,4/8/2013,5.15,8/17/2010,2.12358,2/14/2013,0.34,1/26/2012,0.54662,3/13/2013,0.33,1/31/2013,0.59825,8/17/2010,3.47,8/17/2010,0.74,8/17/2010,2.15,4/2/2012,0.44,2/7/2013,0.21663,1/18/2012,0.18,10/11/2011,0.11,8/17/2010,0.52124,8/17/2010,1.21,,,,
