,151 HK Equity,,322 HK Equity,,1044 HK Equity,,220 HK Equity,,1112 HK Equity,,1025 HK Equity,,1230 HK Equity,,829 HK Equity,,1117 HK Equity,,1700 HK Equity,,1068 HK Equity,,1886 HK Equity,,980 HK Equity,,1006 HK Equity,,1007 HK Equity,,1717 HK Equity,,1338 HK Equity,,2218 HK Equity,,814 HK Equity,,,,
8/31/2009,0.53158,8/31/2009,1.79,8/31/2009,5.54,8/31/2009,0.55609,4/18/2012,2.81,8/31/2009,1.56377,2/27/2012,0.19,2/1/2011,0.67888,3/23/2012,0.31,2/16/2012,0.62161,8/31/2009,1.73,8/31/2009,0.66,8/31/2009,1.08,4/12/2011,0.67,2/23/2012,0.25142,1/27/2011,0.35,10/22/2010,0.45,8/31/2009,0.43223,8/31/2009,0.62,,,,
9/1/2009,0.53155,9/1/2009,1.81,9/1/2009,5.55,9/1/2009,0.55993,4/19/2012,2.83,9/1/2009,1.57659,2/28/2012,0.19,2/2/2011,0.67417,3/26/2012,0.29,2/17/2012,0.62548,9/1/2009,1.73,9/1/2009,0.65,9/1/2009,1.09,4/13/2011,0.67,2/24/2012,0.24632,1/28/2011,0.35,10/25/2010,0.44,9/1/2009,0.41931,9/1/2009,0.62,,,,
9/2/2009,0.52637,9/2/2009,1.79,9/2/2009,5.38,9/2/2009,0.55088,4/20/2012,2.81,9/2/2009,1.54299,2/29/2012,0.20,2/7/2011,0.65781,3/27/2012,0.29,2/20/2012,0.62804,9/2/2009,1.71,9/2/2009,0.66,9/2/2009,1.06,4/14/2011,0.66,2/27/2012,0.23597,1/31/2011,0.34,10/26/2010,0.43,9/2/2009,0.42574,9/2/2009,0.62,,,,
9/3/2009,0.52767,9/3/2009,1.81,9/3/2009,5.58,9/3/2009,0.57927,4/23/2012,2.81,9/3/2009,1.57913,3/1/2012,0.19,2/8/2011,0.64883,3/28/2012,0.29,2/21/2012,0.62805,9/3/2009,1.73,9/3/2009,0.67,9/3/2009,1.12,4/15/2011,0.67,2/28/2012,0.23984,2/1/2011,0.34,10/27/2010,0.42,9/3/2009,0.42575,9/3/2009,0.65,,,,
9/4/2009,0.54319,9/4/2009,1.81,9/4/2009,5.71,9/4/2009,0.61931,4/24/2012,2.77,9/4/2009,1.57409,3/2/2012,0.19,2/9/2011,0.63135,3/29/2012,0.28,2/22/2012,0.62541,9/4/2009,1.75,9/4/2009,0.68,9/4/2009,1.15,4/18/2011,0.67,2/29/2012,0.26046,2/2/2011,0.34,10/28/2010,0.41,9/4/2009,0.43223,9/4/2009,0.65,,,,
9/7/2009,0.56384,9/7/2009,1.86,9/7/2009,5.72,9/7/2009,0.59352,4/25/2012,2.71,9/7/2009,1.64895,3/5/2012,0.19,2/10/2011,0.62068,3/30/2012,0.29,2/23/2012,0.64079,9/7/2009,1.79,9/7/2009,0.68,9/7/2009,1.15,4/19/2011,0.67,3/1/2012,0.25273,2/7/2011,0.35,10/29/2010,0.42,9/7/2009,0.43869,9/7/2009,0.65,,,,
9/8/2009,0.54708,9/8/2009,1.83,9/8/2009,5.68,9/8/2009,0.59998,4/26/2012,2.70,9/8/2009,1.61284,3/6/2012,0.19,2/11/2011,0.61826,4/2/2012,0.29,2/24/2012,0.68351,9/8/2009,1.86,9/8/2009,0.70,9/8/2009,1.19,4/20/2011,0.68,3/2/2012,0.26679,2/8/2011,0.36,11/1/2010,0.47,9/8/2009,0.43869,9/8/2009,0.66,,,,
9/9/2009,0.53158,9/9/2009,1.84,9/9/2009,5.77,9/9/2009,0.59351,4/27/2012,2.69,9/9/2009,1.60764,3/7/2012,0.19,2/14/2011,0.61058,4/3/2012,0.30,2/27/2012,0.66279,9/9/2009,1.81,9/9/2009,0.72,9/9/2009,1.24,4/21/2011,0.68,3/5/2012,0.25505,2/9/2011,0.35,11/2/2010,0.47,9/9/2009,0.45803,9/9/2009,0.65,,,,
9/10/2009,0.53673,9/10/2009,1.89,9/10/2009,5.65,9/10/2009,0.6064,4/30/2012,2.88,9/10/2009,1.55343,3/8/2012,0.19,2/15/2011,0.621,4/5/2012,0.29,2/28/2012,0.67181,9/10/2009,1.94,9/10/2009,0.71,9/10/2009,1.23,4/26/2011,0.67,3/6/2012,0.2396,2/10/2011,0.34,11/3/2010,0.47,9/10/2009,0.45803,9/10/2009,0.64,,,,
9/11/2009,0.53032,9/11/2009,1.91,9/11/2009,5.72,9/11/2009,0.60902,5/2/2012,2.96,9/11/2009,1.56643,3/9/2012,0.19,2/16/2011,0.63861,4/10/2012,0.29,2/29/2012,0.68853,9/11/2009,1.93,9/11/2009,0.70,9/11/2009,1.25,4/27/2011,0.67,3/7/2012,0.2473,2/11/2011,0.34,11/4/2010,0.47,9/11/2009,0.45161,9/11/2009,0.66,,,,
9/14/2009,0.53935,9/14/2009,1.91,9/14/2009,5.80,9/14/2009,0.60644,5/3/2012,2.81,9/14/2009,1.57933,3/12/2012,0.19,2/17/2011,0.62279,4/11/2012,0.29,3/1/2012,0.68341,9/14/2009,1.99,9/14/2009,0.69,9/14/2009,1.24,4/28/2011,0.66,3/8/2012,0.24757,2/14/2011,0.34,11/5/2010,0.46,9/14/2009,0.45806,9/14/2009,0.65,,,,
9/15/2009,0.54451,9/15/2009,1.90,9/15/2009,5.91,9/15/2009,0.60515,5/4/2012,2.94,9/15/2009,1.52256,3/13/2012,0.19,2/18/2011,0.61981,4/12/2012,0.29,3/2/2012,0.69341,9/15/2009,2.01,9/15/2009,0.68,9/15/2009,1.20,4/29/2011,0.67,3/9/2012,0.25399,2/15/2011,0.32,11/8/2010,0.48,9/15/2009,0.45806,9/15/2009,0.65,,,,
9/16/2009,0.53677,9/16/2009,1.91,9/16/2009,5.90,9/16/2009,0.5987,5/7/2012,2.83,9/16/2009,1.54837,3/14/2012,0.19,2/21/2011,0.60574,4/13/2012,0.30,3/5/2012,0.69043,9/16/2009,2.03,9/16/2009,0.68,9/16/2009,1.22,5/3/2011,0.67,3/12/2012,0.26038,2/16/2011,0.32,11/9/2010,0.48,9/16/2009,0.45161,9/16/2009,0.64,,,,
9/17/2009,0.53547,9/17/2009,1.91,9/17/2009,5.85,9/17/2009,0.60644,5/8/2012,2.85,9/17/2009,1.58448,3/15/2012,0.18,2/22/2011,0.58839,4/16/2012,0.29,3/6/2012,0.68918,9/17/2009,1.99,9/17/2009,0.67,9/17/2009,1.22,5/4/2011,0.66,3/13/2012,0.2745,2/17/2011,0.32,11/10/2010,0.47,9/17/2009,0.44515,9/17/2009,0.64,,,,
9/18/2009,0.53932,9/18/2009,1.91,9/18/2009,6.07,9/18/2009,0.59222,5/9/2012,2.71,9/18/2009,1.57409,3/16/2012,0.18,2/23/2011,0.58561,4/17/2012,0.29,3/7/2012,0.6878,9/18/2009,2.01,9/18/2009,0.70,9/18/2009,1.22,5/5/2011,0.67,3/14/2012,0.26541,2/18/2011,0.33,11/11/2010,0.46,9/18/2009,0.45158,9/18/2009,0.61,,,,
