,X2600.HK.Equity,X486.HK.Equity,AA.Equity,AWC.AU.Equity,HNDL.IN.Equity,Y
1860,-0.8043,-0.7286,1.5385,-1.0487,1.3734,0
1861,0,1.6514,-3.8867,-2.7322,-3.5287,1
1862,-2.973,-1.2635,-1.4393,-1.4045,-3.2658,0
1863,6.4067,-3.8391,0.6954,0.8547,-3.2658,1
1864,6.4067,-3.8391,0.6954,0.8547,-3.2658,1
1865,6.4067,-3.8391,0.6954,0.8547,-3.2658,1
1866,-2.356,-5.3232,-5.3867,-3.6723,-4.9291,0
1867,-2.1448,0.2008,-1.4599,0.8798,-1.9531,0
1868,-1.6438,-2.4048,0.6667,3.4884,-5.5777,0
1869,-0.2786,2.0534,1.5453,-2.5281,3.4906,0
1870,0,-0.4024,-1.6667,-0.2882,-2.3721,1
1871,0,-0.4024,-1.6667,-0.2882,-2.3721,1
1872,0,-0.4024,-1.6667,-0.2882,-2.3721,1
1873,1.3966,-0.404,-2.0634,-1.7341,-3.7206,1
1874,1.3774,0.6085,-1.7306,0,5.8754,1
1875,0.5435,0,1.6845,-1.1765,-0.8194,1
1876,0,-0.2016,-2.4096,2.381,-0.6384,1
1877,-2.4324,-1.0101,0.0772,-0.8721,-0.189,0
1878,-2.4324,-1.0101,0.0772,-0.8721,-0.189,0
1879,-2.4324,-1.0101,0.0772,-0.8721,-0.189,0
1880,1.9391,1.0204,0.2313,-0.2933,2.9156,1
1881,-0.2717,0,0.6923,-2.9412,-2.2443,0
1882,-1.0899,-0.6061,-0.9167,2.1212,0.0376,0
1883,1.6529,-0.4065,-0.6939,-2.0772,-2.5207,1
1884,1.897,-0.2041,-1.3975,-0.6061,3.3964,1
1885,1.897,-0.2041,-1.3975,-0.6061,3.3964,1
1886,1.897,-0.2041,-1.3975,-0.6061,3.3964,1
1887,5.5851,1.0225,2.0472,-2.439,-2.0903,1
1888,-3.2746,-2.2267,-0.3086,0.3125,-1.6393,0
1889,3.6458,-1.6563,0.6192,-1.8692,2.4806,1
1890,4.7739,2.5263,1.0769,0,2.4806,1
1891,4.7739,2.5263,1.0769,0,2.4806,1
1892,4.7739,2.5263,1.0769,0,2.4806,1
1893,4.7739,2.5263,1.0769,0,2.4806,1
1894,4.7739,2.5263,1.6743,0,1.8911,1
1895,4.7739,2.5263,0.524,3.1746,1.6704,1
1896,11.7506,7.8029,1.787,0.3077,0.7302,1
1897,9.8712,-1.3333,-3.365,1.8405,1.4136,1
1898,-0.7813,-1.5444,-0.4542,-1.2048,-1.4296,0
1899,-0.7813,-1.5444,-0.4542,-1.2048,-1.4296,0
1900,-0.7813,-1.5444,-0.4542,-1.2048,-1.4296,0
1901,0.3937,-2.9412,1.0646,0.6098,-1.3053,1
1902,-4.1176,-5.2525,0.602,-0.6061,-1.3053,0
1903,-1.0225,-2.5586,-0.2244,-0.6098,-0.698,0
1904,3.3058,2.6258,0.8246,1.227,1.4798,1
1905,5,-0.8529,0.0743,-1.2121,1.8957,1
1906,5,-0.8529,0.0743,-1.2121,1.8957,1
1907,5,-0.8529,0.0743,-1.2121,1.8957,1
1908,-6.4762,-4.086,0.8915,-1.8405,-1.0733,0
1909,-1.4257,-0.8969,-0.4418,0.625,-2.8571,0
1910,3.9256,4.5249,0.3698,0.6211,0.2606,1
1911,2.9821,-3.4632,-2.8003,0,0.2971,1
1912,-1.1583,2.0179,0.2274,-0.6173,-2.8878,0
1913,-1.1583,2.0179,0.2274,-0.6173,-2.8878,0
1914,-1.1583,2.0179,0.2274,-0.6173,-2.8878,0
1915,5.0781,-0.6593,1.7398,1.5528,-0.8387,1
1916,0.9294,3.3186,0.223,0,0.9996,1
1917,-4.6041,-0.2141,0.8902,-1.5291,-0.571,0
1918,-3.4749,0.4292,-1.3235,-4.0373,-1.5314,0
1919,-3.4749,0.4292,5.4396,4.8544,-1.5314,0
1920,-3.4749,0.4292,5.4396,4.8544,-1.5314,0
1921,-3.4749,0.4292,5.4396,4.8544,-1.5314,0
1922,6.4,-3.6325,-0.9894,4.321,3.5381,1
1923,-3.3835,1.1086,-1.3562,0.5917,4.6564,0
1924,-0.9728,3.0702,-0.8683,4.1176,-1.1482,0
1925,-7.0727,-0.4255,0.2926,-1.9774,-2.5045,0
1926,0.2114,-0.2137,0.8023,-2.8818,3.4624,1
1927,0.2114,-0.2137,0.8023,-2.8818,3.4624,1
1928,0.2114,-0.2137,0.8023,-2.8818,3.4624,1
